location_tag,water_location,state,shore_pixels
shizhao,pp_nav_01367,improvable,84
shizhao,pp_nav_01382,improvable,11
staraya_ladoga,pp_nav_00310,navigable,4
palmas,pp_nav_02551,navigable,41
palmas,pp_nav_02553,improvable,51
palmas,pp_nav_02555,improvable,52
kengtawng,pp_nav_01693,barrier,32
jambi,pp_nav_02126,navigable,53
jambi,pp_nav_02139,navigable,58
krasny_bor,pp_nav_00200,navigable,2
donjek,pp_nav_00158,navigable,97
donjek,pp_nav_00165,navigable,21
jerantut,pp_nav_02050,navigable,25
staraya_mayna,pp_nav_00562,navigable,22
staraya_mayna,pp_nav_00576,navigable,13
ouasioto,pp_nav_01095,navigable,4
ouasioto,pp_nav_01102,improvable,15
amrabad,pp_nav_01778,barrier,30
amrabad,pp_nav_01782,navigable,26
imbangala,pp_nav_02356,navigable,38
imbangala,pp_nav_02361,navigable,50
shimian,pp_nav_01398,barrier,62
anipitapiskow,pp_nav_00477,improvable,73
anipitapiskow,pp_nav_00507,improvable,54
anipitapiskow,pp_nav_00530,navigable,1
ankoro,pp_nav_02270,navigable,59
ankoro,pp_nav_02283,navigable,32
tenggarong,pp_nav_02104,navigable,75
tenggarong,pp_nav_02106,navigable,23
lichtenberg,pp_nav_00788,navigable,30
beaupreau,pp_nav_00858,navigable,15
beaupreau,pp_nav_00862,navigable,38
chapeco,pp_nav_02561,navigable,57
chapeco,pp_nav_02565,improvable,38
jaboticabal,pp_nav_02512,navigable,16
saw,pp_nav_01680,navigable,32
saw,pp_nav_01689,navigable,20
mobile,pp_nav_01340,navigable,43
zamyany,pp_nav_00876,navigable,31
zamyany,pp_nav_00894,navigable,56
zamyany,pp_nav_00911,navigable,19
umbra,pp_nav_01991,navigable,35
muang_sing,pp_nav_01673,navigable,36
muang_sing,pp_nav_01681,barrier,49
muang_sing,pp_nav_01692,navigable,3
koyukuk,pp_nav_00090,navigable,41
koyukuk,pp_nav_00098,navigable,95
charagua,pp_nav_01486,navigable,37
tumba_ikoko,pp_nav_02176,navigable,32
tumba_ikoko,pp_nav_02180,navigable,10
tumba_ikoko,pp_nav_02195,navigable,45
bombwi,pp_nav_02466,navigable,32
zhanhe,pp_nav_00763,navigable,19
zhanhe,pp_nav_00766,navigable,86
zhanhe,pp_nav_00773,navigable,53
zhanhe,pp_nav_00776,navigable,29
ahrweiler,pp_nav_00725,improvable,15
ahrweiler,pp_nav_00735,improvable,7
jiyang,pp_nav_01135,navigable,30
jiyang,pp_nav_01145,navigable,54
campo_mourao,pp_nav_02537,navigable,5
minqing,pp_nav_01512,navigable,13
minqing,pp_nav_01530,improvable,17
penaca,pp_nav_00997,improvable,3
penaca,pp_nav_01006,navigable,74
penaca,pp_nav_01015,navigable,25
yun,pp_nav_01265,navigable,18
yun,pp_nav_01266,improvable,16
peribonka,pp_nav_00771,improvable,4
pak_huei_lang,pp_nav_01735,navigable,25
pak_huei_lang,pp_nav_01736,navigable,69
pak_huei_lang,pp_nav_01737,navigable,40
luling,pp_nav_01481,navigable,38
luling,pp_nav_01501,navigable,1
godagari,pp_nav_01599,navigable,18
niagara,pp_nav_01007,barrier,33
niagara,pp_nav_01008,barrier,59
alchan,pp_nav_00835,navigable,54
alchan,pp_nav_00859,navigable,84
alchan,pp_nav_00879,navigable,57
alchan,pp_nav_00900,navigable,19
tanahun,pp_nav_01466,improvable,13
vientiane,pp_nav_01737,navigable,47
vientiane,pp_nav_01742,navigable,3
vientiane,pp_nav_01743,navigable,45
vientiane,pp_nav_01749,navigable,55
jaiba,pp_nav_02433,navigable,68
jaiba,pp_nav_02440,navigable,21
kaharlyk,pp_nav_00739,navigable,39
kaharlyk,pp_nav_00753,navigable,24
st_ambroix,pp_nav_00988,improvable,10
iguazu,pp_nav_02549,navigable,35
iguazu,pp_nav_02551,navigable,58
iguazu,pp_nav_02553,improvable,20
darmstadt,pp_nav_00751,improvable,24
khamra,pp_nav_00276,navigable,49
khamra,pp_nav_00288,navigable,96
khamra,pp_nav_00302,navigable,60
mengmeng,pp_nav_01621,navigable,23
mengmeng,pp_nav_01643,navigable,1
cangwu,pp_nav_01608,navigable,26
cangwu,pp_nav_01629,improvable,64
cangwu,pp_nav_01634,improvable,28
nandu,pp_nav_02498,navigable,1
satapo,pp_nav_01172,navigable,63
satapo,pp_nav_01177,navigable,15
mahoning_oh,pp_nav_01046,improvable,32
karor,pp_nav_01294,navigable,3
karor,pp_nav_01317,navigable,51
karor,pp_nav_01348,navigable,3
pithapuram,pp_nav_01762,navigable,22
agra,pp_nav_01503,navigable,12
sambalpur,pp_nav_01672,navigable,6
sambalpur,pp_nav_01678,improvable,54
shendi,pp_nav_01758,navigable,9
shendi,pp_nav_01765,navigable,92
shendi,pp_nav_01775,navigable,4
pankshin,pp_nav_01891,navigable,77
pankshin,pp_nav_01901,navigable,6
bodebyn,pp_nav_00064,improvable,25
devarakonda,pp_nav_01772,improvable,12
devarakonda,pp_nav_01778,barrier,3
khemchik,pp_nav_00685,navigable,65
kittila,pp_nav_00046,improvable,47
nikopol,pp_nav_01000,navigable,43
nikopol,pp_nav_01001,navigable,21
nikopol,pp_nav_01002,navigable,2
nikopol,pp_nav_01003,navigable,70
bonanza,pp_nav_00119,navigable,2
bonanza,pp_nav_00131,navigable,63
kaiguang,pp_nav_01105,navigable,32
haiyang,pp_nav_01622,navigable,63
torun,pp_nav_00638,navigable,58
taliepacana,pp_nav_01267,navigable,26
quipana,pp_nav_01190,navigable,14
quipana,pp_nav_01193,navigable,84
batang,pp_nav_01360,navigable,25
batang,pp_nav_01390,navigable,9
carasova,pp_nav_00972,improvable,34
carasova,pp_nav_00982,barrier,6
cerwecerna,pp_nav_00928,navigable,40
cerwecerna,pp_nav_00951,navigable,72
cerwecerna,pp_nav_00975,navigable,75
cantagalo,pp_nav_02521,improvable,19
cantagalo,pp_nav_02525,barrier,12
muang_nakhon,pp_nav_01736,navigable,7
muang_nakhon,pp_nav_01748,navigable,92
muang_nakhon,pp_nav_01757,navigable,66
ntiltxitk,pp_nav_00759,navigable,16
ntiltxitk,pp_nav_00764,navigable,36
ntiltxitk,pp_nav_00777,navigable,95
ntiltxitk,pp_nav_00785,improvable,26
ntiltxitk,pp_nav_00790,barrier,35
vukovar,pp_nav_00932,navigable,38
vukovar,pp_nav_00944,navigable,19
vukovar,pp_nav_00958,navigable,1
barretos,pp_nav_02506,improvable,52
barretos,pp_nav_02507,improvable,37
barretos,pp_nav_02511,navigable,38
barretos,pp_nav_02512,navigable,42
magdeburg,pp_nav_00663,navigable,18
casqui,pp_nav_01162,navigable,21
casqui,pp_nav_01175,navigable,39
casqui,pp_nav_01189,navigable,4
emasulia,pp_nav_01077,navigable,30
emasulia,pp_nav_01089,navigable,97
emasulia,pp_nav_01100,improvable,66
emasulia,pp_nav_01101,navigable,97
lanzhou_lanzhou,pp_nav_01500,barrier,92
lanzhou_lanzhou,pp_nav_01529,improvable,28
longvek,pp_nav_01837,navigable,13
liling,pp_nav_01465,navigable,7
coutins,pp_nav_02497,improvable,79
monona,pp_nav_01019,navigable,3
bakongo,pp_nav_02239,navigable,25
krebedje,pp_nav_02001,navigable,48
krebedje,pp_nav_02008,navigable,4
koksharov,pp_nav_00366,navigable,65
koksharov,pp_nav_00381,navigable,42
yaroslavl,pp_nav_00406,navigable,58
yaroslavl,pp_nav_00407,navigable,32
yaroslavl,pp_nav_00411,navigable,51
mirandola,pp_nav_00963,navigable,18
fiorenzuola,pp_nav_00957,navigable,5
fiorenzuola,pp_nav_00959,navigable,14
dalneye_konstantinovo,pp_nav_00483,navigable,11
sariang,pp_nav_01751,barrier,14
ruhptare,pp_nav_00863,navigable,10
ruhptare,pp_nav_00870,navigable,49
ruhptare,pp_nav_00886,improvable,40
hengshan,pp_nav_01465,navigable,7
hengshan,pp_nav_01484,navigable,38
hengshan,pp_nav_01492,navigable,33
mainz,pp_nav_00744,improvable,67
mainz,pp_nav_00751,improvable,42
sylhet,pp_nav_01578,navigable,31
sylhet,pp_nav_01585,navigable,13
qiaojia,pp_nav_01478,navigable,34
qiaojia,pp_nav_01496,navigable,38
nanping,pp_nav_01512,navigable,83
mullheim,pp_nav_00831,improvable,36
grafenau,pp_nav_00793,improvable,12
nonantola,pp_nav_00963,navigable,16
tit_ary,pp_nav_00232,navigable,14
tit_ary,pp_nav_00238,navigable,78
krems,pp_nav_00819,navigable,3
chandpur,pp_nav_01633,navigable,20
pavia,pp_nav_00957,navigable,7
chumikan,pp_nav_00574,improvable,74
bogatye_saby,pp_nav_00467,navigable,19
bogatye_saby,pp_nav_00480,navigable,58
bogatye_saby,pp_nav_00509,navigable,7
hajduszoboszlo,pp_nav_00833,navigable,35
daya_kathyn,pp_nav_01061,improvable,90
daya_kathyn,pp_nav_01071,navigable,42
sletewsi,pp_nav_00785,improvable,64
mukalombo,pp_nav_02283,navigable,50
mukalombo,pp_nav_02286,navigable,10
mukalombo,pp_nav_02291,navigable,34
pahang,pp_nav_02049,navigable,25
pahang,pp_nav_02050,navigable,23
juque,pp_nav_01494,navigable,10
juque,pp_nav_01515,improvable,61
juque,pp_nav_01516,navigable,54
avignon,pp_nav_00988,improvable,15
pokrovskoye,pp_nav_00589,navigable,38
pokrovskoye,pp_nav_00597,navigable,13
ministik,pp_nav_00551,improvable,4
nerekhta,pp_nav_00411,navigable,15
nerekhta,pp_nav_00413,navigable,8
bidzhan,pp_nav_00808,navigable,33
kuozhou,pp_nav_01478,navigable,10
kuozhou,pp_nav_01496,navigable,19
darbhanga,pp_nav_01543,navigable,1
darbhanga,pp_nav_01553,navigable,2
sao_fidelis,pp_nav_02521,improvable,61
sao_fidelis,pp_nav_02522,navigable,31
zahuatan,pp_nav_01739,navigable,35
arangastakh,pp_nav_00169,navigable,6
yuanmou,pp_nav_01516,navigable,23
yuanmou,pp_nav_01528,improvable,13
zhenkang,pp_nav_01602,barrier,17
kasuswapaskau,pp_nav_00412,improvable,28
kasuswapaskau,pp_nav_00418,navigable,126
shoma,pp_nav_02467,navigable,17
shoma,pp_nav_02472,navigable,53
pangu,pp_nav_00609,improvable,2
pangu,pp_nav_00625,navigable,55
pangu,pp_nav_00632,improvable,47
pangu,pp_nav_00640,navigable,28
lipno,pp_nav_00638,navigable,25
lipno,pp_nav_00647,improvable,29
tsivilsk,pp_nav_00494,navigable,6
tsivilsk,pp_nav_00505,navigable,51
sime,pp_nav_01643,navigable,11
sanyyakhtakh,pp_nav_00265,navigable,95
sanyyakhtakh,pp_nav_00268,navigable,54
gunaaxoo,pp_nav_00318,improvable,6
dayao,pp_nav_01515,improvable,14
dayao,pp_nav_01527,barrier,24
dehua_jiujiang,pp_nav_01386,navigable,21
baling,pp_nav_01383,navigable,17
baling,pp_nav_01388,navigable,17
pakrac,pp_nav_00949,navigable,32
mistanipi,pp_nav_00531,barrier,7
mistanipi,pp_nav_00546,improvable,96
mistanipi,pp_nav_00556,improvable,74
pandua,pp_nav_01639,navigable,49
khoja_idat_kala,pp_nav_01087,navigable,26
khoja_idat_kala,pp_nav_01103,navigable,50
khoja_idat_kala,pp_nav_01112,navigable,22
shawanoe,pp_nav_01146,navigable,18
shawanoe,pp_nav_01156,navigable,95
guwahati,pp_nav_01520,navigable,8
guwahati,pp_nav_01533,navigable,33
guwahati,pp_nav_01534,navigable,29
guwahati,pp_nav_01536,navigable,9
sepauk,pp_nav_02095,navigable,42
sepauk,pp_nav_02097,navigable,19
matman,pp_nav_01665,improvable,46
matman,pp_nav_01675,navigable,9
south_juma,pp_nav_02201,navigable,3
jianchang_sichuan,pp_nav_01449,barrier,30
jianchang_sichuan,pp_nav_01469,improvable,22
wujiang_bozhou,pp_nav_01487,improvable,26
barchkend,pp_nav_00973,navigable,20
kikinda,pp_nav_00901,navigable,27
changqing,pp_nav_01152,navigable,29
lussuna,pp_nav_02226,navigable,29
lussuna,pp_nav_02241,improvable,38
lussuna,pp_nav_02244,navigable,45
lussuna,pp_nav_02257,navigable,11
pelly_faro,pp_nav_00184,navigable,26
pelly_faro,pp_nav_00194,improvable,82
pelly_faro,pp_nav_00198,navigable,54
pelly_faro,pp_nav_00209,barrier,42
deloy_ges,pp_nav_00182,navigable,86
youdian,pp_nav_01577,improvable,47
khukhan,pp_nav_01789,navigable,5
tulguur,pp_nav_00808,navigable,3
tulguur,pp_nav_00844,navigable,41
yuechi,pp_nav_01345,navigable,9
yuechi,pp_nav_01356,navigable,6
mengban_weiyuan,pp_nav_01621,navigable,30
mengban_weiyuan,pp_nav_01643,navigable,38
banan,pp_nav_01382,improvable,16
banan,pp_nav_01387,improvable,28
banan,pp_nav_01400,improvable,14
saik_uz,pp_nav_00604,navigable,1
lokera,pp_nav_02379,improvable,18
lokera,pp_nav_02392,navigable,48
lokera,pp_nav_02398,navigable,13
moksobo,pp_nav_01647,navigable,31
srey_sarchhor,pp_nav_01833,navigable,20
srey_sarchhor,pp_nav_01837,navigable,14
srey_sarchhor,pp_nav_01838,navigable,32
srey_sarchhor,pp_nav_01843,navigable,32
dadandang,pp_nav_01468,navigable,20
dadandang,pp_nav_01479,barrier,18
taquara,pp_nav_02555,improvable,11
xiangshan_xinhui,pp_nav_01653,navigable,24
xinhui,pp_nav_01653,navigable,44
gujrat,pp_nav_01252,navigable,26
gujrat,pp_nav_01256,improvable,11
gujrat,pp_nav_01271,navigable,1
gujrat,pp_nav_01274,navigable,44
kara,pp_nav_01548,navigable,26
kara,pp_nav_01554,navigable,33
kataka,pp_nav_01698,navigable,44
kataka,pp_nav_01699,navigable,15
kataka,pp_nav_01701,navigable,28
pakpattan,pp_nav_01353,navigable,4
pakpattan,pp_nav_01366,navigable,37
derawar,pp_nav_01402,navigable,26
derawar,pp_nav_01423,navigable,4
dambwe,pp_nav_02472,navigable,4
dambwe,pp_nav_02479,navigable,50
dambwe,pp_nav_02482,barrier,55
dambwe,pp_nav_02486,barrier,82
dambwe,pp_nav_02487,barrier,47
wanga_bazar,pp_nav_01603,navigable,46
mailsi,pp_nav_01366,navigable,11
mailsi,pp_nav_01381,navigable,33
ismail,pp_nav_00943,navigable,21
ismail,pp_nav_00946,navigable,47
ismail,pp_nav_00950,navigable,20
korti,pp_nav_01734,barrier,32
qerri,pp_nav_01775,navigable,80
qerri,pp_nav_01780,navigable,29
bamba,pp_nav_01763,navigable,72
bamba,pp_nav_01766,navigable,10
porto,pp_nav_01038,barrier,21
gao,pp_nav_01773,navigable,54
gao,pp_nav_01783,navigable,23
gotheye,pp_nav_01799,navigable,7
gotheye,pp_nav_01806,navigable,49
arlal,pp_nav_01771,navigable,2
arlal,pp_nav_01777,navigable,28
kilmez,pp_nav_00431,navigable,25
kilmez,pp_nav_00443,navigable,52
kilmez,pp_nav_00467,navigable,24
azia,pp_nav_01985,navigable,48
viviers,pp_nav_00969,improvable,14
chinon,pp_nav_00861,navigable,4
elgyai,pp_nav_00169,navigable,56
jinglong,pp_nav_01662,improvable,65
massabo,pp_nav_02217,navigable,23
orange,pp_nav_00988,improvable,15
kuanda,pp_nav_00473,navigable,57
kuanda,pp_nav_00501,improvable,40
yunnei,pp_nav_01050,navigable,14
yunnei,pp_nav_01056,navigable,31
yunnei,pp_nav_01058,navigable,3
dobyaz,pp_nav_00520,navigable,34
kherigarh,pp_nav_01432,improvable,15
opaskwayak,pp_nav_00596,navigable,2
quigualtam,pp_nav_01229,navigable,80
quigualtam,pp_nav_01238,navigable,84
quigualtam,pp_nav_01248,navigable,57
branicevo,pp_nav_00972,improvable,49
branicevo,pp_nav_00976,navigable,46
branicevo,pp_nav_00982,barrier,4
dambai,pp_nav_01906,navigable,84
dambai,pp_nav_01933,navigable,38
tyagacho,pp_nav_00293,improvable,24
gongan,pp_nav_01363,navigable,17
gongan,pp_nav_01375,navigable,33
tenasserim,pp_nav_01832,improvable,28
ksituan,pp_nav_00486,navigable,96
ksituan,pp_nav_00493,improvable,26
ksituan,pp_nav_00499,navigable,126
ksituan,pp_nav_00504,barrier,49
hanguang,pp_nav_01612,improvable,14
ust_tsimla,pp_nav_00820,navigable,27
ust_tsimla,pp_nav_00839,navigable,25
ust_tsimla,pp_nav_00842,navigable,18
babana,pp_nav_01856,navigable,15
ikryanoye,pp_nav_00911,navigable,50
zenta,pp_nav_00901,navigable,1
puge,pp_nav_01458,barrier,30
puge,pp_nav_01478,navigable,34
palisema,pp_nav_01184,navigable,10
tezpur,pp_nav_01504,navigable,43
tezpur,pp_nav_01520,navigable,3
kovin,pp_nav_00972,improvable,18
kovin,pp_nav_00976,navigable,26
nudarcha,pp_nav_01076,navigable,95
nudarcha,pp_nav_01077,navigable,58
nudarcha,pp_nav_01080,navigable,84
nudarcha,pp_nav_01083,navigable,76
rudrapur,pp_nav_01531,navigable,26
chinchaga,pp_nav_00492,improvable,94
chinchaga,pp_nav_00493,improvable,36
xuanhua_nanning,pp_nav_01651,navigable,71
xuanhua_nanning,pp_nav_01652,navigable,3
wiesbaden,pp_nav_00751,improvable,29
kunduz,pp_nav_01138,navigable,11
taoyuan,pp_nav_01430,improvable,4
kinabatangan,pp_nav_01986,navigable,79
coiracoentanon,pp_nav_01029,navigable,34
coiracoentanon,pp_nav_01035,navigable,44
coiracoentanon,pp_nav_01037,navigable,38
tis_reka,pp_nav_00280,navigable,50
tis_reka,pp_nav_00290,navigable,92
tis_reka,pp_nav_00301,navigable,24
tis_reka,pp_nav_00311,navigable,84
arnhem,pp_nav_00680,navigable,24
mongyang,pp_nav_01589,navigable,52
mongyang,pp_nav_01604,navigable,30
tayan,pp_nav_02096,navigable,18
tayan,pp_nav_02098,navigable,50
jolom_konob,pp_nav_01776,navigable,21
krasny_yar,pp_nav_00894,navigable,21
phnom_santuk,pp_nav_01827,navigable,20
phnom_santuk,pp_nav_01833,navigable,26
yenotayevka,pp_nav_00845,navigable,63
yenotayevka,pp_nav_00850,navigable,20
yenotayevka,pp_nav_00864,navigable,91
yenotayevka,pp_nav_00876,navigable,20
mohacs,pp_nav_00891,navigable,2
mohacs,pp_nav_00912,navigable,77
mohacs,pp_nav_00932,navigable,8
mahakam,pp_nav_02091,improvable,44
yunkyur,pp_nav_00271,improvable,3
yunkyur,pp_nav_00279,navigable,98
yunkyur,pp_nav_00282,navigable,21
zolotonosha,pp_nav_00762,navigable,7
voghera,pp_nav_00957,navigable,36
ostiglia,pp_nav_00963,navigable,14
romans,pp_nav_00936,navigable,32
chabcha,pp_nav_01168,navigable,52
chabcha,pp_nav_01176,barrier,32
xiangtan,pp_nav_01451,navigable,26
xiangtan,pp_nav_01465,navigable,4
xiangtan,pp_nav_01484,navigable,5
nebesek,pp_nav_00878,barrier,16
vyadhapura,pp_nav_01843,navigable,53
vyadhapura,pp_nav_01852,navigable,68
pontianak,pp_nav_02098,navigable,49
pontianak,pp_nav_02103,navigable,53
liucheng,pp_nav_01575,navigable,17
liucheng,pp_nav_01594,improvable,81
linz,pp_nav_00799,improvable,19
linz,pp_nav_00807,barrier,65
linz,pp_nav_00813,improvable,24
macha,pp_nav_00283,navigable,18
macha,pp_nav_00291,improvable,17
macha,pp_nav_00297,navigable,98
coyaima,pp_nav_02038,navigable,55
imangaq,pp_nav_00162,navigable,95
nichabau,pp_nav_00904,barrier,52
nichabau,pp_nav_00913,navigable,23
nichabau,pp_nav_00922,navigable,9
shwegu,pp_nav_01604,navigable,55
shwegu,pp_nav_01611,navigable,24
shwegu,pp_nav_01624,navigable,8
shwegu,pp_nav_01632,improvable,8
irakinda,pp_nav_00501,improvable,62
irakinda,pp_nav_00534,navigable,111
paxtang,pp_nav_01055,navigable,35
tuyen_quang,pp_nav_01670,navigable,38
kampong_sraka_trey,pp_nav_01847,navigable,67
kampong_sraka_trey,pp_nav_01854,navigable,9
ardatov,pp_nav_00525,navigable,8
ardatov,pp_nav_00547,navigable,51
navidakh,pp_nav_01087,navigable,7
navidakh,pp_nav_01103,navigable,82
navidakh,pp_nav_01112,navigable,31
moana_kassongo,pp_nav_02226,navigable,42
moana_kassongo,pp_nav_02241,improvable,61
moana_kassongo,pp_nav_02244,navigable,8
mawkmai,pp_nav_01706,navigable,52
mawkmai,pp_nav_01710,navigable,45
hmawbi,pp_nav_01759,navigable,19
moana_mussumba,pp_nav_02257,navigable,22
moana_mussumba,pp_nav_02270,navigable,12
ensisheim,pp_nav_00804,improvable,7
ensisheim,pp_nav_00831,improvable,10
emuer,pp_nav_00606,improvable,50
emuer,pp_nav_00609,improvable,45
emuer,pp_nav_00614,navigable,60
emuer,pp_nav_00618,navigable,24
tanah_putih,pp_nav_02077,navigable,50
rastyapino,pp_nav_00471,navigable,65
rastyapino,pp_nav_00487,navigable,47
rastyapino,pp_nav_00497,navigable,4
lanxi,pp_nav_01385,navigable,24
weithali,pp_nav_01674,navigable,31
weithali,pp_nav_01684,navigable,48
nunu,pp_nav_02144,navigable,67
nunu,pp_nav_02154,navigable,20
nunu,pp_nav_02168,navigable,22
baak,pp_nav_01739,navigable,2
baak,pp_nav_01753,navigable,26
baak,pp_nav_01754,navigable,15
baak,pp_nav_01761,navigable,20
seyat,pp_nav_00122,navigable,22
poligus,pp_nav_00207,navigable,92
poligus,pp_nav_00214,barrier,42
rouen,pp_nav_00768,improvable,17
rouen,pp_nav_00774,navigable,33
kara_shilka,pp_nav_00623,navigable,5
moosonee,pp_nav_00714,navigable,28
changning_changning,pp_nav_01429,improvable,24
licheng,pp_nav_01145,navigable,30
licheng,pp_nav_01152,navigable,8
khandyga,pp_nav_00175,navigable,52
khandyga,pp_nav_00181,navigable,85
khandyga,pp_nav_00193,improvable,5
saukiog,pp_nav_01028,navigable,13
peledui,pp_nav_00302,navigable,38
peledui,pp_nav_00308,navigable,41
banlung,pp_nav_01809,navigable,49
kolomna,pp_nav_00559,navigable,29
amersfoort,pp_nav_00678,navigable,34
amersfoort,pp_nav_00680,navigable,22
caratinga,pp_nav_02493,improvable,11
qianwei,pp_nav_01403,barrier,3
qianwei,pp_nav_01410,navigable,55
otrar,pp_nav_01005,navigable,5
otrar,pp_nav_01011,navigable,27
watang,pp_nav_01637,navigable,24
watang,pp_nav_01650,navigable,17
sekkosi,pp_nav_02413,navigable,14
sekkosi,pp_nav_02420,navigable,52
kiya,pp_nav_00311,navigable,12
kiya,pp_nav_00327,navigable,53
kiya,pp_nav_00333,navigable,44
otnabog,pp_nav_00923,navigable,48
siimitalik,pp_nav_00405,improvable,52
siimitalik,pp_nav_00428,barrier,60
tubigarao,pp_nav_01740,navigable,18
tubigarao,pp_nav_01755,navigable,46
tilsit,pp_nav_00560,navigable,25
kyr_uzkand,pp_nav_01005,navigable,3
pengshan,pp_nav_01364,improvable,29
salaspils,pp_nav_00451,navigable,61
salaspils,pp_nav_00464,navigable,24
wakmua_oin,pp_nav_00975,navigable,2
wakmua_oin,pp_nav_00990,navigable,21
wakmua_oin,pp_nav_00994,navigable,20
hatchie,pp_nav_01162,navigable,46
hatchie,pp_nav_01175,navigable,54
gaoyuan_jinan,pp_nav_01126,navigable,6
gaoyuan_jinan,pp_nav_01135,navigable,29
moona_mpanda,pp_nav_02353,navigable,83
germersheim,pp_nav_00788,navigable,8
tuol_ta_mouk,pp_nav_01847,navigable,31
tlacotlalpan,pp_nav_01726,navigable,7
sillanwali,pp_nav_01295,navigable,8
sillanwali,pp_nav_01306,navigable,48
sillanwali,pp_nav_01307,navigable,32
sena,pp_nav_02477,navigable,46
sena,pp_nav_02485,navigable,20
palampet,pp_nav_01721,navigable,49
palampet,pp_nav_01728,navigable,25
naserpur,pp_nav_01542,navigable,2
naserpur,pp_nav_01560,navigable,36
sonepur,pp_nav_01678,improvable,34
sonepur,pp_nav_01690,improvable,35
kapurthala,pp_nav_01323,navigable,11
khurda,pp_nav_01698,navigable,19
khurda,pp_nav_01702,navigable,10
dajal,pp_nav_01377,navigable,32
fatehabad,pp_nav_01323,navigable,21
tungi,pp_nav_02359,navigable,53
