location_tag,river_level,x,y,distance_pixels
ardatov,3,9602,1545,1.0
navidakh,3,10620,2653,1.0
hmawbi,5,12044,3888,1.0
moana_mussumba,4,8913,5169,1.0
ensisheim,3,8034,2037,1.0
emuer,3,13318,1670,1.0
rastyapino,3,9690,1473,1.0
baak,4,3509,3855,1.0
seyat,3,13256,889,1.0
poligus,5,12085,1072,1.0
rouen,3,7730,1946,1.0
moosonee,3,4024,1821,1.0
changning_changning,4,12470,3231,1.0
licheng,3,13026,2748,1.0
khandyga,5,13866,998,1.0
saukiog,3,4383,2438,1.0
amersfoort,4,7922,1775,1.0
iagodnoie,5,14550,1034,1.0
otrar,5,10781,2354,1.0
otnabog,3,4675,2185,1.0
pengshan,3,12418,3137,1.0
salaspils,3,8792,1429,1.0
wakmua_oin,3,3151,2290,1.0
hatchie,5,3609,2805,1.0
gaoyuan_jinan,3,13060,2724,1.0
sillanwali,3,10997,3059,1.0
naserpur,4,10804,3417,1.0
kapurthala,5,11105,3088,1.0
dajal,4,10912,3169,1.0
tungi,4,9530,5426,1.0
fashoda,5,9125,4327,2.23606797749979
qayyarah,3,9660,2794,1.0
kongsvinger,3,8213,1188,1.0
tboung_khmum,5,12497,4168,1.0
zhanggu,3,12328,3106,1.0
banjar,5,12901,5011,2.8284271247461903
yinshan,3,12693,2520,1.0
strasbourg,5,8041,2017,1.0
langqu,3,12266,3329,1.0
shuitejiang,3,12616,3271,1.0
binchuan,5,12284,3383,1.0
solt,4,8554,2118,1.0
doboj,3,8509,2230,1.0
gaoyao,5,12825,3560,1.0
sarahan,3,11234,3064,1.0
basel,3,8037,2073,1.0
shakhty,3,9531,2079,1.0
musi_hilir,4,12471,4977,1.0
nimde,4,11830,828,1.0
lengshuitan,5,12769,3374,1.0
burg,3,8234,1750,1.0
comacchio,3,8246,2242,1.0
tangdan,5,12372,3374,1.0
tombigbee,3,3681,3030,1.0
hachberg,3,8041,2028,1.0
hanyang,5,12890,3128,1.0
scharding,3,8305,2005,1.0
linxiang,5,12853,3175,1.0
khoro,3,13191,907,1.0
chornobyl,5,9077,1830,1.4142135623730951
zhangqiu,3,13029,2739,1.0
menahkwesk,5,4684,2209,1.0
wittenberge,3,8210,1700,1.0
bishan,5,12537,3192,1.0
zhiziluo,3,12189,3303,1.0
niobrara,3,3201,2362,1.0
ingapu,5,12035,3848,1.0
shtax_heen,3,1672,1442,1.0
opimika,5,4077,2108,1.0
quinnipiac,3,4385,2462,1.0
prayag,5,11417,3422,1.0
bohai,3,13066,2717,1.0
maubin,5,12031,3920,1.0
daye,5,12930,3145,1.0
gengma,3,12260,3511,1.0
siyom,5,12012,3259,2.23606797749979
bol_shaya_martynovka,3,9607,2069,1.0
butalin,4,11991,3562,1.0
amazar,3,13238,1675,1.0
koostaaka,3,2991,2035,1.0
zhenxi_lizhou,5,12373,3206,1.0
bulava,5,14067,1720,1.0
khampa,3,13290,890,1.4142135623730951
amonokoa,5,3573,2550,2.23606797749979
voskresenskoye,4,9801,1472,1.0
bihariganj,4,11637,3414,1.0
qianjiang,3,12819,3124,1.0
huaining,5,13026,3125,1.0
yunlong,3,12202,3384,1.0
kreuznach,3,8047,1912,1.0
hehe,3,12741,2638,1.0
kutai_lama,4,13021,4865,1.0
kot_addu,4,10915,3157,1.0
jhang,3,10985,3073,1.0
kohtali,3,11044,2968,1.0
mutota,4,9096,5711,1.0
kalpi,3,11320,3381,1.0
attock,4,10980,2935,1.0
nnewi,4,7996,4521,1.0
shemkhiya,4,9207,3762,1.0
yongping_yongchang,3,12214,3417,1.0
calpista,5,3525,2849,1.0
jiangan,4,12478,3229,1.0
mayen,4,8022,1879,1.0
kolymskoie,3,14911,514,1.0
samarchyk,5,9279,2007,1.0
sumgut_vosh,5,10677,920,1.0
dingyuan_lingzhou,3,12550,2570,1.0
winsen,3,8158,1679,1.0
baja_hungary,4,8552,2155,1.0
brahin,3,9084,1793,1.0
vyatskiye_polyany,3,10001,1453,1.0
nanchong,3,12525,3100,1.0
chepoussa,5,3594,2679,1.0
taihe_taihe,3,12924,3337,1.0
waingmaw,5,12120,3440,1.0
leibo,4,12416,3249,1.0
luzhang,3,12190,3372,1.0
belgrad,4,8625,2252,1.0
naungyo,5,12034,3912,1.0
mukdahan,4,12459,3921,1.0
nanxi,4,12469,3225,1.0
dzingcho,3,12196,3178,1.0
chibwe,3,12164,3364,1.0
salcha,3,994,836,1.0
mong_yai,4,12178,3571,1.0
alessandria,5,8088,2240,1.0
piantouguan,3,12765,2580,1.0
molodo,5,13335,451,1.0
nizhny_novgorod,5,9692,1469,2.23606797749979
mamterilleq,3,333,1133,1.0
horoshino,5,9183,1959,1.0
waawiiyaataanong,5,3907,2410,1.0
skitsetsen,5,2210,1866,1.0
kanna,4,12005,3590,1.0
chochenyo,1,2129,2676,2.0
eldikan,5,13836,1151,1.0
laskarpur,4,11835,3497,1.0
chena,3,951,815,1.0
cuttaway,3,3684,2745,1.0
fort_simpson,4,2166,1055,1.0
muskingum,5,3980,2591,1.0
tournon,5,7910,2243,2.8284271247461903
mengtong,3,12263,3509,1.0
naguatex,5,3416,2970,1.0
guiyang_hengyang,3,12804,3356,1.0
terbyas,3,13206,897,1.0
zhaushikumtobe,3,10798,2418,1.0
gonjo,3,12187,3098,1.0
lijin,3,13082,2701,1.0
wushan,5,12693,3093,1.0
nahanni,5,2068,1182,2.0
youyang,5,12625,3219,1.0
tata,5,8513,2059,1.0
andawaohie,5,4416,2131,1.0
pocasse,3,3123,2195,1.0
utsutigway,3,3795,2855,1.0
okobojo,3,3124,2237,1.0
sochaczew,3,8625,1748,1.4142135623730951
balagachchy,3,13309,880,1.0
xojeli,3,10384,2381,1.0
cernavoda,4,8970,2277,1.0
rechnoye,5,9836,2093,2.0
shuntaneshnanga,3,3344,2550,1.0
ollo,3,13304,1667,1.0
chupanga,4,9318,5849,1.0
bunji,5,11086,2816,1.0
kahlur,3,11187,3073,1.0
uch,5,10926,3196,2.23606797749979
kandiaro,4,10796,3322,1.0
karor_2,4,10915,3064,1.0
tete,5,9192,5709,2.23606797749979
hajner,3,11112,3096,1.0
chiniot,3,11013,3055,1.0
qasr_ibrim,4,9178,3558,1.0
abu_hamed,4,9197,3758,1.0
gondokoro,4,9132,4622,1.0
xiacai,3,13005,2996,1.0
baotong,3,12260,3465,1.0
lungkya,3,12253,2858,1.0
moss,3,8194,1230,1.0
visesav,4,8713,2258,1.0
qlispe,3,2384,2025,1.0
jangipur,5,11703,3474,1.0
bykovo,5,9763,1904,1.0
paru,5,5282,4930,1.0
arkhara,5,13601,1965,1.0
nanhai,5,12831,3566,1.0
thien_truong,4,12525,3709,1.0
manigotagan,3,3345,1885,1.0
chandrabad,5,11711,3481,1.0
balyktykol,3,11252,1851,1.0
cegani,4,8966,2279,1.0
fehervar,4,8554,2085,1.0
charquis,5,3632,2740,1.0
gichthanne,4,3782,2660,1.0
thang_long,4,12511,3686,1.0
ficarolo,3,8206,2240,1.0
velyka_oleksandrivka,3,9241,2077,1.0
kerki,4,10678,2704,1.0
gunnaur,3,11256,3252,1.0
rotterdam,4,7896,1781,1.0
bacs,4,8553,2196,1.0
flix,3,7707,2478,1.0
rohat_kermen,3,9230,2105,1.0
sayniabuli,4,12324,3763,1.0
radom,3,8666,1798,1.0
kelif,1,10684,2702,1.0
shizhu,5,12614,3136,1.0
monghsu,4,12184,3618,1.0
suzhou,3,12332,3239,1.0
piletisipuk,3,4576,1958,1.0
chiang_khong,5,12264,3725,1.0
linxian,3,12734,2698,1.0
chalkyitsik,4,1103,694,1.0
baden,3,8068,1979,1.0
yarensk,3,9892,1054,1.0
mackenzie,5,1811,704,1.0
bankutu,5,8552,5050,1.0
harsova,4,8968,2265,1.0
trogstad,3,8202,1213,1.0
erachimo,5,11693,708,1.0
mamadysh,4,10034,1525,1.0
longyou_jiading,5,12412,3182,1.0
biswan,4,11389,3294,1.0
sabac,3,8575,2241,1.0
sernur,3,9944,1392,1.0
lucheng,3,12512,3465,1.0
isaccea,5,8974,2213,3.1622776601683795
manatara,3,3084,2090,1.0
xuanhua,4,12434,3213,1.0
xunhe,4,13517,1941,1.0
durgyeling,3,12331,3106,1.0
thaungdut,4,12001,3467,1.0
seymchan,3,14635,963,1.0
nuoluo,5,13797,2091,1.0
huaihua,3,12712,3293,1.0
kakisa,4,2304,1082,1.0
atiya,5,11776,3463,1.0
missicabi,3,4096,1829,1.0
arkhan,3,10820,2728,1.0
machang,3,12474,3463,1.0
malykovka,5,9868,1766,1.0
freienwalde,3,8343,1726,1.0
jujin,3,12222,3305,1.0
kuripan,4,12918,4965,1.0
yongshan,4,12410,3262,1.0
tczew,3,8546,1628,1.0
luchow,3,8211,1703,1.4142135623730951
pavlovo,3,9653,1497,1.0
muse,4,12183,3544,1.0
grant_creek,4,722,780,1.0
danubyu,5,12041,3886,1.0
pasho,5,12083,3132,1.0
krivoshchekovo,3,11459,1555,1.0
makanpur,3,11335,3339,1.0
omerkot,4,10898,3220,1.0
muhammad_tur,4,10789,3462,1.0
karur_punjab,3,10984,3166,1.0
sargadwari,3,11269,3275,1.0
arrah,4,11533,3406,1.0
daw_sud,4,9145,3581,1.0
basti,4,11435,3343,1.0
zimnicea,5,8836,2319,1.0
guichi,5,13050,3110,1.0
xiaoshan,5,13161,3155,1.4142135623730951
woking,1,7666,1815,0.0
riga,3,8786,1423,1.0
kraho,4,5507,5289,1.0
gigen,5,8818,2322,1.0
barnaul,3,11431,1660,1.0
lower_aktanyshbash,3,10135,1504,1.0
selpils,3,8861,1454,1.0
ferrette,3,8033,2071,1.4142135623730951
cabinda_kongo,5,8279,5170,1.0
meshchersk,3,9649,1486,1.0
raznezhye,5,9785,1485,1.0
bungu_kongo,5,8310,5135,1.0
malinithan,5,12010,3299,1.0
martaban,4,12135,3917,1.0
korenevo,3,9655,1417,1.0
hedong,3,12715,2858,1.0
angermunde,3,8342,1702,1.0
starodub_votsky,3,9635,1496,1.0
tinnaya,4,13001,1162,1.0
yanchang,3,12717,2763,1.0
ruicheng,3,12711,2882,1.0
kwerba,4,13972,4970,1.0
futian,5,12929,3334,7.810249675906654
shanxian,3,12750,2876,1.0
nong_khay,4,12373,3849,1.0
riverie,3,7909,2197,1.0
shangjin,3,12687,2984,1.0
klewi,4,2550,1150,1.0
lingwu,3,12520,2680,1.0
kamassekuakamat,5,4814,1694,1.0
qubodijon,5,10799,2732,1.0
kath,3,10434,2423,1.0
ayays,3,3496,2891,1.0
kamyshin,5,9772,1873,1.0
qipcarpak,3,488,1055,1.0
khamyab,4,10683,2707,1.0
boduna,5,13365,2214,1.4142135623730951
wachilmezi,5,4419,2133,1.0
machecoul,3,7600,2091,1.0
muktagacha,5,11771,3433,1.0
sutkent,3,10792,2420,1.0
hulin,3,13784,2143,1.0
czersk,3,8653,1768,1.0
wando,3,4075,2969,1.0
weiyuan,3,12259,3516,1.4142135623730951
guastalla,5,8187,2238,3.0
maping,3,12666,3480,1.0
yor,3,13520,1828,1.0
nyzvar,3,10408,2411,1.0
lyuban,3,9149,1233,1.0
zhongli,3,13052,2980,1.0
griesbach,3,8301,2012,1.0
dymer,5,9078,1843,1.0
shiqian,3,12604,3299,1.0
tangkya,3,12183,3093,1.0
mengli,3,12858,3471,1.0
bolghar,4,9918,1574,1.0
myshuryn_rih,5,9251,1994,1.0
casalmaggiore,5,8175,2236,1.0
lensk,4,12898,1160,1.0
htamanthi,5,12013,3457,1.0
yusha,3,12837,3130,1.0
rashid,3,9074,3075,1.0
giza,4,9113,3163,1.0
boli,5,13849,1993,1.0
mikkwa,4,2547,1276,1.0
aizkraukle,3,8831,1448,1.0
chilia,5,9026,2207,1.0
jingling,3,12819,3115,1.0
dannenberg,3,8177,1680,1.0
naxi,5,12487,3232,1.0
yongchuan,5,12511,3212,1.0
muchuan,3,12410,3205,1.0
jiangling,5,12797,3138,1.0
chojna,3,8335,1716,1.0
iguape,3,5526,6218,1.0
swiecie,3,8542,1671,1.0
zhaohua,3,12503,3019,1.0
vilyuy,3,13223,901,1.4142135623730951
srok_khleang,5,12511,4297,1.0
shishou,5,12806,3166,1.0
dinkot,4,10956,2980,1.0
vijayapur,5,11661,3340,2.0
nkee_us,1,2227,2090,1.0
koasati,3,3732,2884,1.0
khosheutovo,5,9859,2114,1.0
chucalissa,5,3597,2829,1.0
moapa,3,2469,2791,1.0
lingling,3,12773,3374,1.0
santo_antonio,5,5249,6273,1.0
blackwater,4,2021,857,1.0
nedong,3,11876,3201,1.0
donglan,3,12576,3463,1.0
isakhel,4,10954,2979,1.0
shahpur,3,10984,3028,1.0
rasyal,3,11096,2969,1.0
chishtian,3,11039,3141,1.0
mankera,5,10973,3089,1.0
chunar,4,11478,3419,1.0
hala,4,10798,3394,1.0
warri,4,7984,4545,1.0
faras,4,9124,3605,1.0
puyang,3,12927,2837,1.0
oohl,3,2046,2462,1.0
shadodkot,4,10800,3297,1.0
kabachischi,4,9861,1484,1.0
lodose,3,8245,1346,2.0
khanda,4,13847,1060,1.0
qikirtajuaq,3,4608,1341,1.0
nytva,5,10254,1337,2.0
yakesa,3,13314,1667,1.0
jinkang,4,12800,3558,2.0
n_pooh_le,5,2300,2050,2.0
yongning_baisheng,5,12261,3288,1.0
mbanza_soyo,5,8266,5177,1.0
xindi,5,12876,3148,1.0
aklaviq,5,1581,568,1.0
calafat,4,8740,2300,1.0
kletskaya,3,9647,1951,1.0
zadian,4,10747,2722,1.0
wuxian_liuzhou,5,12679,3516,2.0
buda,4,8560,2062,1.0
kamla,5,11983,3287,1.0
nazym,5,10711,1008,1.0
yemelyanovo,4,11950,1441,1.0
gongxian,5,12835,2872,1.0
esztergom,4,8543,2056,1.0
jomda,5,12179,3083,1.0
llenllenet_ten,5,2114,1793,1.0
sarapul,5,10127,1499,2.23606797749979
dyryn_ebe,4,14687,610,1.0
taksimo,5,12956,1464,1.0
songzi,5,12764,3127,1.0
yelovo,3,10195,1419,1.0
koroa,3,3571,2974,1.0
gromatukha,3,13509,1722,1.0
lingzhou,3,12532,2662,1.0
samye,3,11849,3198,1.0
tethul,4,2605,1205,1.0
suki,4,14141,5274,1.0
cahokia,4,3587,2631,1.0
fengdu,5,12600,3151,1.0
hogehege,5,3716,2875,1.0
dzhuk,5,14053,1703,1.0
simmern,3,8037,1900,1.0
laish,4,9969,1537,1.0
ethapetha,4,3948,2627,1.0
osa,3,10196,1408,1.0
nehantuck,3,4381,2448,1.0
misha_shipu,3,4947,1684,1.0
mantova,3,8178,2236,1.0
akinka_nup,5,2366,1935,1.0
salay,5,12005,3694,1.0
abrahamtelke,4,8558,2085,1.0
sadiya,5,12047,3284,1.0
damanhur,3,9077,3085,1.0
atfih,4,9116,3164,1.0
qus,4,9183,3383,1.0
qena,4,9148,3373,1.0
nantes,3,7629,2088,1.0
samarra,3,9679,2889,1.0
dayr_aqul,5,9787,3000,1.0
abdas,5,9849,3098,1.0
tabqah,3,9468,2807,1.0
raqqa,3,9471,2805,1.0
jean_marie_river,4,2194,1065,1.0
lyskovo,5,9754,1493,1.4142135623730951
lujiang,3,12191,3417,1.0
chelmno,3,8542,1676,1.0
nandan,3,12576,3455,1.0
shar_yelpuk,3,12189,3103,1.0
bensheim,3,8076,1929,1.0
xingyang,3,12846,2866,1.0
baode,3,12752,2611,1.0
oppenheim,3,8069,1916,1.0
aha_macav,3,2473,2841,1.0
hinthada,5,12035,3858,1.0
birches,5,655,805,1.4142135623730951
bazas,3,7680,2267,1.0
sreepur,5,11742,3499,1.0
tongzhou,3,12709,2863,1.0
kamyskala,3,10674,2254,1.0
birma,5,13514,1845,1.0
hequ,3,12761,2592,1.0
nijmegen,4,7957,1776,1.0
winnee,3,4043,2949,1.0
bir_amur,3,13430,1729,1.0
daklha_gampo,3,11908,3208,1.0
emei,3,12379,3196,1.0
namling,3,11743,3194,1.0
watappo,5,3812,3152,1.0
lauenburg,3,8165,1678,1.0
pabna,5,11745,3502,1.0
wloclawek,3,8550,1719,1.0
hengyang,5,12818,3333,1.0
ryazan,3,9496,1585,1.0
that_phanom,4,12459,3899,1.0
srebrenik,5,8530,2238,1.0
poskatinak,4,3428,1437,1.0
dep,3,13491,1697,1.0
ballia,5,11518,3405,1.0
varanasi,4,11474,3420,1.0
dera_ismail_khan,4,10938,3014,1.0
kashmore,4,10863,3250,1.0
mikindani,4,9528,5425,1.0
windsor,1,7657,1805,0.0
etawah,5,11294,3358,1.0
banihal,3,11111,2964,1.0
kantit,4,11441,3436,1.0
massangano,5,9224,5751,1.0
konch,3,11310,3372,1.0
lapai,4,7977,4362,1.0
ozoro,4,7994,4514,1.0
ed_damer,4,9226,3898,1.0
mandisobi,5,5068,6537,1.0
yingde,5,12857,3494,1.0
nizhny_chir,3,9668,1991,1.0
kaltag,4,463,853,1.0
jiazhou,3,12720,2669,1.0
jiangning,5,13089,3047,1.0
lichiresti,5,8934,2291,1.0
shouchun,5,12993,3015,1.0
jiande,5,13131,3184,1.0
chesnokovka,3,11482,1672,1.0
tarrana,3,9091,3118,1.0
belabo,5,11831,3486,1.0
kansas,5,3378,2609,1.0
badong,5,12713,3095,1.0
callamaco,3,3790,2862,1.4142135623730951
solovtsovo,5,9897,1699,1.0
inowroclaw,3,8540,1708,1.0
gorkovskoye,3,11093,1485,1.0
jekabpils,3,8865,1455,1.0
wenatchi,5,2209,2079,1.0
lanzhou,5,12397,2790,1.0
siberia_abalak,3,10839,1343,1.0
enselxcin,4,2322,1986,1.0
suzun,5,11475,1670,1.0
dingqiang,5,12396,2804,1.0
lewekeomi,4,3799,2650,1.0
vienne,3,7925,2190,1.0
lyubichi,3,9474,1563,1.0
xiangru,3,12530,3090,1.0
karymkary,5,10665,978,1.0
fengjie,5,12678,3095,1.0
chymnaii,4,13866,1028,1.0
diaomen,3,12341,3155,1.0
shilovo,3,9544,1615,1.0
boma,5,8456,4918,1.0
shayang,3,12818,3109,1.0
maganasipi,1,4110,2150,1.0
khulm,4,10775,2731,1.0
lingbao,3,12741,2880,1.0
heves,3,8635,2066,1.0
puqi,5,12864,3165,1.4142135623730951
kagawask,5,4012,1836,1.0
pinglu,3,12749,2872,1.0
thatta,4,10792,3448,1.0
vorontsovo,3,14402,446,1.0
paranaiba,5,5371,5923,1.0
aksay,3,9658,2023,1.0
srednyaya_akhtuba,5,9738,1969,1.0
mianchi,3,12783,2857,1.0
bohan,5,5050,6619,1.0
gostynin,3,8587,1742,1.0
tsangdram,3,11754,3194,1.0
kysyl_syr,4,13605,1024,1.0
qingjian,3,12716,2738,1.0
myitkyina,5,12113,3449,1.4142135623730951
kanawha,5,3951,2628,1.4142135623730951
cherdakly,4,9898,1605,1.0
snk_mip,5,2319,1863,1.4142135623730951
chekmagush,3,10216,1533,1.0
yilong,3,12529,3080,1.0
mingsha,3,12513,2692,1.0
marxa,4,13306,1151,1.0
wanquan,5,12721,2839,1.0
wayustikw,3,4537,1456,1.0
fuchuan_ningxia,3,12450,2726,1.0
uraqai,3,12601,2498,1.0
kinozhesipi,5,4194,2187,2.8284271247461903
solikamsk,3,10260,1204,1.0
perevitska,3,9468,1562,1.0
kungur,3,10220,1394,1.0
jishui,5,12933,3320,1.0
winokapau,3,4825,1693,1.0
kremenskaya,3,9671,1943,1.0
jiangxia,5,12895,3119,1.0
azok,3,9514,2097,1.0
anilco,5,3554,2903,1.0
ramsis,3,9089,3106,1.0
beni_suef,4,9112,3181,1.0
aswan,4,9186,3490,1.0
minya,4,9091,3250,1.0
sharuna,4,9112,3204,1.0
gerger,3,9459,2657,1.0
rahba,3,9529,2853,1.0
khalis,3,9715,2925,1.4142135623730951
karbala,3,9689,2971,1.0
an_nil,3,9721,2978,1.0
al_madar,3,9845,3068,1.0
barqaid,5,9616,2733,3.0
xiangyang,5,12798,3036,1.0
alpo_wa,3,2301,2135,1.0
anhua_anhua,3,12768,3248,1.0
mussimi,4,8915,5184,1.0
tutilcoya,3,3458,2849,1.0
santee,3,4018,2936,1.0
ulakhan_an,4,13523,1099,1.0
dibrugarh,5,12011,3303,1.0
nodaway,3,3371,2572,1.0
coblenz,5,8034,1887,1.0
luorong,5,12681,3489,1.0
caisaboscai,3,4176,1753,1.0
jurbarkas,3,8738,1557,1.0
fengqiu,3,12913,2864,1.0
jigansk,5,13333,691,1.0
bama,3,12586,3495,1.0
suidong,3,12569,3314,1.0
bydgoszcz,3,8520,1689,1.0
lashio,4,12175,3559,1.0
hancheng,3,12722,2810,1.0
chelan,4,2232,2039,1.0
daxunhyuu,3,1096,1148,1.0
kasimov,3,9589,1560,1.0
balagannakh,5,13183,1171,1.4142135623730951
gana_damate,4,8575,5062,1.0
nottaway,3,4100,1831,1.0
igan,4,12769,4714,1.0
ordu_bazar,5,9171,2136,1.4142135623730951
mahu,5,12442,3239,1.0
pitchibourenik,3,4133,1758,1.0
nowe,3,8547,1654,1.0
chandpur_uttar_pradesh,3,11246,3218,1.0
yukte,3,12778,1261,1.0
kotri,4,10800,3408,1.0
sirhind,3,11175,3100,1.0
mithankot,4,10908,3190,1.0
ranikot,4,10780,3372,1.0
khushab,3,10992,3016,1.0
agror,3,11011,2875,1.0
kol,3,11259,3265,1.0
asni,3,11368,3388,1.0
jansath,3,11242,3187,1.0
busal,3,11035,3002,1.0
sitpur,5,10911,3207,1.4142135623730951
pindi_gheb,4,10971,2937,1.0
el_metemma,4,9231,3875,1.0
kom_ombo,4,9190,3459,1.0
tongling,5,13056,3094,1.0
huoqiu,3,12984,3012,1.0
fuyang_hangzhou,3,13156,3153,1.0
shenmu,3,12738,2639,1.0
humati,3,3761,3010,1.0
caniapiscau,5,4514,1580,1.0
inuviq,5,1571,474,1.0
chittaloosa,5,3547,3032,1.0
lutava,3,9086,1821,1.0
tiotoren,1,4097,2365,1.0
linjiang,5,12617,3130,1.0
guangji,5,12944,3159,1.0
scw_exmx,5,2139,1859,1.0
uinkaret,3,2597,2787,1.0
deren,5,14076,1784,1.0
cabo_formoso,4,7968,4577,1.0
kaarendy,5,5202,6267,1.0
baronsk,5,9840,1779,1.0
newenken,5,4593,7065,1.0
okhannoye,3,10211,1374,1.0
