from,to,state,shore
pp_nav_00102,kunovat,navigable,True
pp_nav_00103,glukharinyi,improvable,True
pp_nav_00104,tulita,navigable,True
pp_nav_00104,mahony,navigable,True
pp_nav_00105,salcha,improvable,True
pp_nav_00106,pp_nav_00115,navigable,False
pp_nav_00106,vukyl,navigable,True
pp_nav_00106,pechora,navigable,True
pp_nav_00107,pp_nav_00118,improvable,False
pp_nav_00107,blackwater,navigable,True
pp_nav_00107,tulita,navigable,True
pp_nav_00108,zazhimchar,navigable,True
pp_nav_00108,beryozovo,navigable,True
pp_nav_00109,arkhangelsk,navigable,True
pp_nav_00110,inbatskoye,navigable,True
pp_nav_00111,turu,navigable,True
pp_nav_00112,zazhimchar,navigable,True
pp_nav_00112,beryozovo,navigable,True
pp_nav_00113,pp_nav_00126,navigable,False
pp_nav_00113,ust_pinega,navigable,True
pp_nav_00113,kholmogory,navigable,True
pp_nav_00114,pp_nav_00124,improvable,False
pp_nav_00114,kaltag,improvable,True
pp_nav_00114,ungaliq,improvable,True
pp_nav_00115,pp_nav_00123,navigable,False
pp_nav_00115,vukyl,navigable,True
pp_nav_00115,pechora,navigable,True
pp_nav_00116,pp_nav_00128,navigable,False
pp_nav_00116,inbatskoye,navigable,True
pp_nav_00117,ulakhan_kyuyol,navigable,True
pp_nav_00118,blackwater,improvable,True
pp_nav_00119,bonanza,navigable,True
pp_nav_00119,upper_yukon,navigable,True
pp_nav_00120,pp_nav_00122,navigable,False
pp_nav_00120,khampa,navigable,True
pp_nav_00120,balagachchy,navigable,True
pp_nav_00121,inner_onega_bay,navigable,False
pp_nav_00121,pp_nav_00129,navigable,False
pp_nav_00121,village_onega,navigable,True
pp_nav_00121,nyonoksa,navigable,True
pp_nav_00122,seyat,navigable,True
pp_nav_00122,balagachchy,navigable,True
pp_nav_00123,pp_nav_00130,improvable,False
pp_nav_00123,vukyl,navigable,True
pp_nav_00124,pp_nav_00140,navigable,False
pp_nav_00124,kaltag,navigable,True
pp_nav_00124,ungaliq,navigable,True
pp_nav_00124,grayling,navigable,True
pp_nav_00125,pp_nav_00136,navigable,False
pp_nav_00125,sumgut_vosh,navigable,True
pp_nav_00125,beryozovo,navigable,True
pp_nav_00126,pp_nav_00133,navigable,False
pp_nav_00126,kholmogory,navigable,True
pp_nav_00126,siya,navigable,True
pp_nav_00127,pp_nav_00132,navigable,False
pp_nav_00127,khoro,navigable,True
pp_nav_00127,terbyas,navigable,True
pp_nav_00127,vilyuy,navigable,True
pp_nav_00128,inbatskoye,navigable,True
pp_nav_00129,pp_nav_00138,navigable,False
pp_nav_00129,malye_oserki,navigable,True
pp_nav_00129,village_onega,navigable,True
pp_nav_00129,nyonoksa,navigable,True
pp_nav_00130,pp_nav_00142,improvable,False
pp_nav_00130,vukyl,improvable,True
pp_nav_00131,bonanza,navigable,True
pp_nav_00132,pp_nav_00134,navigable,False
pp_nav_00132,khoro,navigable,True
pp_nav_00132,terbyas,navigable,True
pp_nav_00132,byuteydyakh,navigable,True
pp_nav_00133,pp_nav_00155,navigable,False
pp_nav_00133,siya,navigable,True
pp_nav_00134,pp_nav_00137,navigable,False
pp_nav_00134,byuteydyakh,navigable,True
pp_nav_00135,pp_nav_00139,navigable,False
pp_nav_00135,pp_nav_00145,navigable,False
pp_nav_00135,batamay,navigable,True
pp_nav_00135,segyan_kyuyol,navigable,True
pp_nav_00136,pp_nav_00151,navigable,False
pp_nav_00136,sumgut_vosh,navigable,True
pp_nav_00137,ynakhsyt,navigable,True
pp_nav_00137,byuteydyakh,navigable,True
pp_nav_00138,malye_oserki,navigable,True
pp_nav_00139,pp_nav_00146,navigable,False
pp_nav_00139,kele,navigable,True
pp_nav_00139,batamay,navigable,True
pp_nav_00139,segyan_kyuyol,navigable,True
pp_nav_00140,unalakleet,navigable,True
pp_nav_00140,grayling,navigable,True
pp_nav_00141,pp_nav_00147,navigable,False
pp_nav_00141,pp_nav_00152,navigable,False
pp_nav_00141,barayy,navigable,True
pp_nav_00141,tukulan,navigable,True
pp_nav_00142,pp_nav_00153,navigable,False
pp_nav_00142,vukyl,navigable,True
pp_nav_00143,wrigley,navigable,True
pp_nav_00144,pp_nav_00156,navigable,False
pp_nav_00144,inbatskoye,navigable,True
pp_nav_00144,verkhneimbatsk,navigable,True
pp_nav_00145,pp_nav_00160,navigable,False
pp_nav_00145,kele,navigable,True
pp_nav_00145,batamay,navigable,True
pp_nav_00145,khatas,navigable,True
pp_nav_00146,kele,navigable,True
pp_nav_00147,tukulan,navigable,True
pp_nav_00148,pp_nav_00150,improvable,False
pp_nav_00148,ynakhsyt,improvable,True
pp_nav_00148,niurba,improvable,True
pp_nav_00149,yemetsk,navigable,True
pp_nav_00149,siya,navigable,True
pp_nav_00150,pp_nav_00169,navigable,False
pp_nav_00150,bysyttakh,navigable,True
pp_nav_00150,niurba,navigable,True
pp_nav_00151,pp_nav_00167,navigable,False
pp_nav_00151,sumgut_vosh,navigable,True
pp_nav_00151,kaltysyany,navigable,True
pp_nav_00152,pp_nav_00157,improvable,False
pp_nav_00152,barayy,navigable,True
pp_nav_00153,pp_nav_00166,navigable,False
pp_nav_00153,vukyl,navigable,True
pp_nav_00153,troitsko_pechorsk,navigable,True
pp_nav_00154,anundsjo,navigable,True
pp_nav_00154,solatunum,navigable,True
pp_nav_00155,pp_nav_00164,navigable,False
pp_nav_00155,siya,navigable,True
pp_nav_00155,ust_vayenga,navigable,True
pp_nav_00156,pp_nav_00171,navigable,False
pp_nav_00156,verkhneimbatsk,navigable,True
pp_nav_00157,uyana,improvable,True
pp_nav_00157,pp_nav_00168,improvable,False
pp_nav_00157,barayy,improvable,True
pp_nav_00157,bulun,improvable,True
pp_nav_00158,donjek,navigable,True
pp_nav_00158,pp_nav_00165,navigable,False
pp_nav_00159,maymaga,navigable,True
pp_nav_00159,khatas,navigable,True
pp_nav_00160,pp_nav_00180,navigable,False
pp_nav_00160,khatas,navigable,True
pp_nav_00161,buiunda,improvable,True
pp_nav_00161,seymchan,improvable,True
pp_nav_00162,nunam_iqua_cove,navigable,False
pp_nav_00162,imangaq,navigable,True
pp_nav_00163,wrigley,navigable,True
pp_nav_00164,ust_vayenga,navigable,True
pp_nav_00164,sogra,navigable,True
pp_nav_00165,donjek,navigable,True
pp_nav_00165,pp_nav_00170,navigable,False
pp_nav_00165,hucha_hudan,navigable,True
pp_nav_00166,troitsko_pechorsk,navigable,True
pp_nav_00167,pp_nav_00178,navigable,False
pp_nav_00167,karymkary,navigable,True
pp_nav_00167,kaltysyany,navigable,True
pp_nav_00167,vezhakary,navigable,True
pp_nav_00168,uyana,navigable,True
pp_nav_00168,udamik,navigable,True
pp_nav_00169,arangastakh,navigable,True
pp_nav_00169,elgyai,navigable,True
pp_nav_00169,bysyttakh,navigable,True
pp_nav_00170,pp_nav_00174,improvable,False
pp_nav_00170,hucha_hudan,navigable,True
pp_nav_00171,pp_nav_00185,navigable,False
pp_nav_00171,verkhneimbatsk,navigable,True
pp_nav_00172,kysyl_syr,navigable,True
pp_nav_00172,maymaga,navigable,True
pp_nav_00172,khatas,navigable,True
pp_nav_00173,buiunda,improvable,True
pp_nav_00173,pp_nav_00179,improvable,False
pp_nav_00173,seymchan,improvable,True
pp_nav_00174,pp_nav_00184,improvable,False
pp_nav_00174,hucha_hudan,improvable,True
pp_nav_00174,carmacks,improvable,True
pp_nav_00175,khandyga,navigable,True
pp_nav_00175,udamik,navigable,True
pp_nav_00176,pp_nav_00186,navigable,False
pp_nav_00176,sogra,navigable,True
pp_nav_00177,seymchan,navigable,True
pp_nav_00178,pp_nav_00187,navigable,False
pp_nav_00178,nazym,navigable,True
pp_nav_00178,karymkary,navigable,True
pp_nav_00179,seymchan,improvable,True
pp_nav_00180,pp_nav_00192,navigable,False
pp_nav_00180,kysyl_syr,navigable,True
pp_nav_00180,chiryapchi,navigable,True
pp_nav_00180,khatas,navigable,True
pp_nav_00181,pp_nav_00193,improvable,False
pp_nav_00181,khandyga,navigable,True
pp_nav_00181,zhebariki_khaya,navigable,True
pp_nav_00182,deloy_ges,navigable,True
pp_nav_00183,wrigley,navigable,True
pp_nav_00184,pp_nav_00194,improvable,False
pp_nav_00184,pelly_faro,navigable,True
pp_nav_00184,carmacks,navigable,True
pp_nav_00185,pp_nav_00197,navigable,False
pp_nav_00185,bakhtinsky,navigable,True
pp_nav_00185,verkhneimbatsk,navigable,True
pp_nav_00186,nizhnyaya_toyma,navigable,True
pp_nav_00186,sogra,navigable,True
pp_nav_00187,nazym,navigable,True
pp_nav_00188,pp_nav_00202,navigable,False
pp_nav_00188,verkhnyaya_toyma,navigable,True
pp_nav_00188,nizhnyaya_toyma,navigable,True
pp_nav_00189,pp_nav_00201,improvable,False
pp_nav_00189,nazym,improvable,True
pp_nav_00189,bardak,improvable,True
pp_nav_00190,pp_nav_00191,navigable,False
pp_nav_00190,pp_nav_00195,navigable,False
pp_nav_00190,zheshart,navigable,True
pp_nav_00190,ust_vym,navigable,True
pp_nav_00191,pp_nav_00199,navigable,False
pp_nav_00191,ust_sysola,navigable,True
pp_nav_00191,zheshart,navigable,True
pp_nav_00191,ust_vym,navigable,True
pp_nav_00192,pp_nav_00211,navigable,False
pp_nav_00192,kysyl_syr,navigable,True
pp_nav_00192,zhatai,navigable,True
pp_nav_00192,khatas,navigable,True
pp_nav_00193,pp_nav_00206,improvable,False
pp_nav_00193,khandyga,improvable,True
pp_nav_00193,chymnaii,improvable,True
pp_nav_00193,zhebariki_khaya,improvable,True
pp_nav_00194,pp_nav_00198,improvable,False
pp_nav_00194,pelly_faro,improvable,True
pp_nav_00194,carmacks,improvable,True
pp_nav_00195,zheshart,navigable,True
pp_nav_00196,mayya,navigable,True
pp_nav_00196,zhatai,navigable,True
pp_nav_00196,tomtor,navigable,True
pp_nav_00197,pp_nav_00210,navigable,False
pp_nav_00197,bakhtinsky,navigable,True
pp_nav_00198,pelly_faro,navigable,True
pp_nav_00199,ust_sysola,navigable,True
pp_nav_00199,ust_vym,navigable,True
pp_nav_00200,krasny_bor,navigable,True
pp_nav_00200,voznesenskoye,navigable,True
pp_nav_00200,verkhnyaya_toyma,navigable,True
pp_nav_00200,nizhnyaya_toyma,navigable,True
pp_nav_00201,yendyr,improvable,True
pp_nav_00201,bardak,improvable,True
pp_nav_00202,verkhnyaya_toyma,navigable,True
pp_nav_00203,kuzmovka,navigable,True
pp_nav_00204,pp_nav_00219,improvable,False
pp_nav_00204,yarensk,navigable,True
pp_nav_00205,pp_nav_00220,improvable,False
pp_nav_00205,fort_simpson,improvable,True
pp_nav_00206,pp_nav_00215,navigable,False
pp_nav_00206,khanda,navigable,True
pp_nav_00206,chymnaii,navigable,True
pp_nav_00207,pp_nav_00214,barrier,False
pp_nav_00207,poligus,navigable,True
pp_nav_00208,tovisq_ol,barrier,True
pp_nav_00209,pelly_faro,barrier,True
pp_nav_00210,pp_nav_00212,navigable,False
pp_nav_00210,pp_nav_00217,navigable,False
pp_nav_00210,bakhtinsky,navigable,True
pp_nav_00211,pp_nav_00223,navigable,False
pp_nav_00211,tyokhtyur,navigable,True
pp_nav_00211,zhatai,navigable,True
pp_nav_00212,kuzmovka,navigable,True
pp_nav_00212,bakhtinsky,navigable,True
pp_nav_00213,jean_marie_river,improvable,True
pp_nav_00214,pp_nav_00224,barrier,False
pp_nav_00214,poligus,barrier,True
pp_nav_00214,baykit,barrier,True
pp_nav_00215,khanda,navigable,True
pp_nav_00216,pp_nav_00228,navigable,False
pp_nav_00216,verkhnyaya_toyma,navigable,True
pp_nav_00216,uftyuga,navigable,True
pp_nav_00217,pp_nav_00227,navigable,False
pp_nav_00217,bakhtinsky,navigable,True
pp_nav_00217,siberia_bor,navigable,True
pp_nav_00218,yendyr,navigable,True
pp_nav_00219,yarensk,improvable,True
pp_nav_00219,uftyuga,improvable,True
pp_nav_00220,pp_nav_00225,improvable,False
pp_nav_00220,fort_simpson,improvable,True
pp_nav_00221,kakisa,navigable,True
pp_nav_00222,pp_nav_00242,improvable,False
pp_nav_00222,klutina,improvable,True
pp_nav_00222,chitina,improvable,True
pp_nav_00223,pp_nav_00232,navigable,False
pp_nav_00223,tyokhtyur,navigable,True
pp_nav_00223,charang,navigable,True
pp_nav_00224,baykit,navigable,True
pp_nav_00225,fort_simpson,navigable,True
pp_nav_00226,kakisa,navigable,True
pp_nav_00226,tucho,navigable,True
pp_nav_00227,pp_nav_00254,navigable,False
pp_nav_00227,siberia_bor,navigable,True
pp_nav_00227,sulomay,navigable,True
pp_nav_00228,pp_nav_00255,navigable,False
pp_nav_00228,veliky_ustyug,navigable,True
pp_nav_00228,koryazhma,navigable,True
pp_nav_00228,uftyuga,navigable,True
pp_nav_00228,pyras,navigable,True
pp_nav_00229,irtysh,navigable,True
pp_nav_00230,pp_nav_00233,navigable,False
pp_nav_00230,surgut,navigable,True
pp_nav_00231,kakisa,navigable,True
pp_nav_00231,jean_marie_river,navigable,True
pp_nav_00232,pp_nav_00238,navigable,False
pp_nav_00232,tit_ary,navigable,True
pp_nav_00232,ulakhan_an,navigable,True
pp_nav_00232,charang,navigable,True
pp_nav_00233,pp_nav_00235,navigable,False
pp_nav_00233,surgut,navigable,True
pp_nav_00234,yendyr,navigable,True
pp_nav_00234,irtysh,navigable,True
pp_nav_00235,pp_nav_00236,navigable,False
pp_nav_00235,surgut,navigable,True
pp_nav_00236,pp_nav_00239,navigable,False
pp_nav_00236,surgut,navigable,True
pp_nav_00236,megion,navigable,True
pp_nav_00237,pp_nav_00249,navigable,False
pp_nav_00237,yendyr,navigable,True
pp_nav_00237,irtysh,navigable,True
pp_nav_00238,pp_nav_00244,navigable,False
pp_nav_00238,tit_ary,navigable,True
pp_nav_00238,yedey,navigable,True
pp_nav_00239,pp_nav_00245,navigable,False
pp_nav_00239,megion,navigable,True
pp_nav_00240,pp_nav_00250,navigable,False
pp_nav_00240,megion,navigable,True
pp_nav_00241,tumul,navigable,True
pp_nav_00241,pp_nav_00259,navigable,False
pp_nav_00242,pp_nav_00260,navigable,False
pp_nav_00242,chitina,navigable,True
pp_nav_00243,pp_nav_00248,improvable,False
pp_nav_00243,ostrechiny,navigable,True
pp_nav_00244,pp_nav_00252,improvable,False
pp_nav_00244,yedey,navigable,True
pp_nav_00245,pp_nav_00250,navigable,False
pp_nav_00245,megion,navigable,True
pp_nav_00246,turama,navigable,True
pp_nav_00247,korela,navigable,True
pp_nav_00247,jaskis,navigable,True
pp_nav_00248,pp_nav_00251,improvable,False
pp_nav_00248,ostrechiny,improvable,True
pp_nav_00248,vazhiny,improvable,True
pp_nav_00249,pp_nav_00257,navigable,False
pp_nav_00249,irtysh,navigable,True
pp_nav_00250,pp_nav_00261,navigable,False
pp_nav_00250,upper_ob,navigable,True
pp_nav_00250,megion,navigable,True
pp_nav_00251,lodenoye_pole,navigable,True
pp_nav_00251,vazhiny,navigable,True
pp_nav_00251,olonets,navigable,True
pp_nav_00252,yedey,improvable,True
pp_nav_00253,pp_nav_00267,navigable,False
pp_nav_00253,klewi,navigable,True
pp_nav_00253,tu_nedhe,navigable,True
pp_nav_00254,pp_nav_00275,navigable,False
pp_nav_00254,selo_yartsevo,navigable,True
pp_nav_00254,sulomay,navigable,True
pp_nav_00255,veliky_ustyug,navigable,True
pp_nav_00256,nahanni,navigable,True
pp_nav_00257,pp_nav_00273,navigable,False
pp_nav_00257,yukonda,navigable,True
pp_nav_00257,irtysh,navigable,True
pp_nav_00258,pp_nav_00262,navigable,False
pp_nav_00258,pp_nav_00263,navigable,False
pp_nav_00258,lensk,navigable,True
pp_nav_00258,nyuya,navigable,True
pp_nav_00258,chamcha,navigable,True
pp_nav_00259,tumul,navigable,True
pp_nav_00259,pp_nav_00274,navigable,False
pp_nav_00259,eldikan,navigable,True
pp_nav_00260,daxunhyuu,navigable,True
pp_nav_00260,chitina,navigable,True
pp_nav_00261,pp_nav_00269,navigable,False
pp_nav_00261,upper_ob,navigable,True
pp_nav_00262,pp_nav_00276,navigable,False
pp_nav_00262,lensk,navigable,True
pp_nav_00262,chamcha,navigable,True
pp_nav_00263,pp_nav_00272,improvable,False
pp_nav_00263,nyuya,navigable,True
pp_nav_00264,pp_nav_00281,improvable,False
pp_nav_00264,nahanni,improvable,True
pp_nav_00265,pp_nav_00268,navigable,False
pp_nav_00265,sanyyakhtakh,navigable,True
pp_nav_00266,pp_nav_00270,navigable,False
pp_nav_00266,pp_nav_00271,improvable,False
pp_nav_00266,balagannakh,navigable,True
pp_nav_00267,pp_nav_00278,navigable,False
pp_nav_00267,klewi,navigable,True
pp_nav_00267,deskenetlata,navigable,True
pp_nav_00268,pp_nav_00270,navigable,False
pp_nav_00268,sanyyakhtakh,navigable,True
pp_nav_00268,marxa,navigable,True
pp_nav_00269,pp_nav_00277,navigable,False
pp_nav_00269,upper_ob,navigable,True
pp_nav_00270,marxa,navigable,True
pp_nav_00270,balagannakh,navigable,True
pp_nav_00271,pp_nav_00279,improvable,False
pp_nav_00271,yunkyur,improvable,True
pp_nav_00271,balagannakh,improvable,True
pp_nav_00271,olekma,improvable,True
pp_nav_00272,pp_nav_00283,improvable,False
pp_nav_00272,tinnaya,improvable,True
pp_nav_00272,nyuya,improvable,True
pp_nav_00273,pp_nav_00284,navigable,False
pp_nav_00273,yukonda,navigable,True
pp_nav_00273,irtysh,navigable,True
pp_nav_00274,eldikan,navigable,True
pp_nav_00274,ust_maia,navigable,True
pp_nav_00275,sulomay,navigable,True
pp_nav_00276,khamra,navigable,True
pp_nav_00276,pp_nav_00288,navigable,False
pp_nav_00276,lensk,navigable,True
pp_nav_00277,pp_nav_00286,navigable,False
pp_nav_00277,upper_ob,navigable,True
pp_nav_00278,pp_nav_00287,navigable,False
pp_nav_00278,klewi,navigable,True
pp_nav_00279,pp_nav_00282,navigable,False
pp_nav_00279,yunkyur,navigable,True
pp_nav_00280,pp_nav_00290,navigable,False
pp_nav_00280,tis_reka,navigable,True
pp_nav_00280,sulomay,navigable,True
pp_nav_00281,pp_nav_00294,improvable,False
pp_nav_00281,nahanni,improvable,True
pp_nav_00281,ford_liard,improvable,True
pp_nav_00282,pp_nav_00291,improvable,False
pp_nav_00282,yunkyur,navigable,True
pp_nav_00282,daban,navigable,True
pp_nav_00283,pp_nav_00297,navigable,False
pp_nav_00283,macha,navigable,True
pp_nav_00283,tinnaya,navigable,True
pp_nav_00283,patom,navigable,True
pp_nav_00284,pp_nav_00299,navigable,False
pp_nav_00284,yukonda,navigable,True
pp_nav_00284,irtysh,navigable,True
pp_nav_00285,pp_nav_00303,improvable,False
pp_nav_00285,kongsvinger,navigable,True
pp_nav_00285,trogstad,navigable,True
pp_nav_00285,hamar,navigable,True
pp_nav_00285,ski,navigable,True
pp_nav_00285,eidsvoll,navigable,True
pp_nav_00286,upper_ob,navigable,True
pp_nav_00287,pp_nav_00298,navigable,False
pp_nav_00287,klewi,navigable,True
pp_nav_00287,tethul,navigable,True
pp_nav_00288,khamra,navigable,True
pp_nav_00288,pp_nav_00302,navigable,False
