location_tag,raw_material
assosa,goods_gold
budejovice,wheat
manubara,legumes
rushan,legumes
kittaning,lumber
lishan_xinyang,livestock
ramnicu_valcea,salt
liptovsky_mikulas,goods_gold
kobyai,lumber
oheyandewa,maize
sfantu_gheorghe,millet
rozan,millet
nottaway,wild_game
kengdey,salt
olekma,fish
lampung,cloves
volok,millet
tignish,lumber
surab,legumes
kavar,stone
qw_ewt,wild_game
limin,legumes
aschaffenburg,copper
tujun,livestock
mashhad,fruit
crepy,fur
laungshe,medicaments
kiendela,lumber
samara,livestock
sallum,sand
egil,fur
ugashik,fish
kortkeros,iron
charouine,horses
escatawppa,clay
caftacha,maize
tuyandina,fish
garwolin,wool
nosy_bali,sugar
vilyuychan,lumber
sandaran,fish
rabor,copper
yana,lumber
su_naq,fish
tixtla,cotton
dembimbosaage,wild_game
cetatea_tetina,legumes
shimushiru,fish
iziaslav,fruit
poskam,wheat
sitanda,goods_gold
sjenica,livestock
baitan,millet
keowee,clay
manomin,maize
trieste,horses
sete_lagoas,lumber
sitavaka,fruit
nunalla,wild_game
gandamak,legumes
bazas,wine
offenbach,wild_game
conemaugh,stone
hogdal,wild_game
castellon_de_la_plana,salt
yuryev_polsky,salt
vohipeno,saffron
toksovo,fur
azraq,livestock
hvlan,millet
dusseldorf,horses
batete,lumber
khukhragarh,lumber
mbombela,millet
devkot,sugar
chios,medicaments
juhoansi,livestock
ethekwini,millet
myrhorod,wheat
zalari,wild_game
dharmapuri,cotton
ornofay,lumber
mackinac,lumber
digavapi,fish
amga,fur
minxian,sugar
marandet,sand
malukkit,lumber
ika_nepa,fur
lingui,marble
bonndorf,wild_game
mirning,wild_game
pavia,wheat
kakataibo,lumber
siktyakh,fur
nagnes,pearls
whitby,alum
al_khuraybah,livestock
keriya,gems
kele,fish
dong_lakhon,fiber_crops
chimuande,beeswax
reunion,fish
bintang,fish
lucca,cotton
singarh,beeswax
east_cubanacan,maize
adilabad,fruit
turciansky_svaty_martin,iron
boryeong,fish
julu,clay
hassan_karnataka,livestock
mieres,iron
mystras,tin
bondelswarts,livestock
dechang,silk
padise,fiber_crops
dangtu,wheat
khawr_nubt,gems
tses_kiya_trail,wild_game
kalam_hill,rice
kaskinampo,fiber_crops
vat_phou,rice
fasa,wheat
bagaluhan,fish
julfa,wool
tiaoxian,wheat
el_gadarif,ivory
leeds,iron
baykalovo,wild_game
yeremeyevka,wild_game
siyathemba,livestock
dingnan_anshun,fruit
ternate,cloves
pazhaverkadu,dyes
nanan,horses
agen,horses
sancha,clay
chinchilla,wine
deir_ez_zor,wheat
famagusta,wheat
goundi,livestock
chakan_putum,chili
nanxi,legumes
terebovlia,legumes
kherlen,lead
chiniot,cotton
chewalla,cotton
matendere,millet
jarrarah,livestock
alcanices,livestock
petaigan,wild_game
mokowan,fiber_crops
ellur,iron
alakol,fur
tumbuka,fish
bokoro,millet
birzai,lumber
mergen,wild_game
ban_don,lumber
kamien,fish
masalsk,wool
yoko,livestock
gmunden,salt
postojna,lumber
menlu,fur
bingol,livestock
al_bad,fruit
gorodovikovsk,clay
baojing,tea
pampahuaylla,lumber
ribnitz,wild_game
kanker,rice
faras,livestock
chucalissa,clay
tulshun,wool
kastsyukovichy,fiber_crops
halas,legumes
guazoco,fruit
daw_sud,sand
midu,cotton
sandnes,wool
rohrbach,beeswax
klutina,fur
kashatagh,livestock
moona_mpanda,lumber
hudur,iron
leo,livestock
mila,olives
xincheng_jinan,wheat
kibiro,clay
kaikoura,fish
jeonju,cotton
arevalo,lumber
thoulakhom,lumber
mandor,salt
guahaba,cotton
richibucto,lumber
calatanazor,livestock
udgir,cotton
thoubal,lumber
ochechiton,salt
ladik,horses
liangquan,wild_game
shamiram,wool
dinetah,stone
st_pol_de_leon,horses
ndalatando,iron
kwatsaan,cotton
ullensvang,fruit
luotian,pepper
domazlice,fur
aconca_hue,potato
naiman,livestock
lebonghitam,salt
thilane_hot_ine,lumber
reggiocal,cotton
tenamaxtlan,gems
kawenote,fruit
eno,lumber
damaqua,fish
mozhga,lumber
omuthiya,salt
bojano,olives
kengtung,wild_game
monfort_lamaury,wheat
pervouralsk,iron
stavanger,livestock
odoyev,lumber
cattaraugus,fruit
boldyzh,livestock
bogoroditsk,wheat
sartene,lumber
jecheon,alum
kaulas,iron
tysmenytsia,wool
puebla_de_montalban,wheat
quandamooka,wild_game
palestrina,wine
saleesh,lumber
wajuru,wild_game
east_hanos,wild_game
reigate,wheat
conghua,sugar
varsan,medicaments
dep,lumber
bhadrak,sugar
velikiye_luki,lumber
matad,livestock
ostrov_beringa,fish
kabara,livestock
ita_kua_y,fish
gaoyao,fiber_crops
suez,sand
wolvega,livestock
lardeja,lumber
neyasar,wool
bereschany,beeswax
miesbach,lumber
sime,tea
uru_eu_wau_wau,tin
cuxtaque,livestock
simeulue,fruit
mouzon,fur
histahayo,wild_game
almenevo,wild_game
casiste,fruit
bogiston,wild_game
koma_kai,horses
damghan,cotton
fontenay,sand
aburra,maize
cesis,millet
tongliao,wheat
tinnaya,wild_game
luache,fish
velikyi_bereznyi,lumber
banique,wild_game
uzkand,lumber
palazzolo,fruit
zaplyusye,lumber
sixtymile,fur
kldekari,fiber_crops
rouen,legumes
bazer_sakhra,legumes
misgar,wool
barito,lumber
banggai,fish
wapsipinicon,lumber
niyaj,fruit
jaeren,beeswax
yaguana,chili
tullamore,wild_game
wara,livestock
koo,stone
wuping,tea
ust_mil,goods_gold
nerekhta,livestock
xai_xai,millet
sakaka,horses
qijiang,wild_game
ust_ugla,lumber
woi_wurrung,millet
erbach,livestock
letychiv,lumber
nankang,lumber
impakwe,livestock
millioke,salt
tokuma,lumber
neuhaus,sand
keylong,livestock
bhagalpur,elephants
kalala_kazemba,wild_game
wari_peru,livestock
karikkode,rice
tonglu,rice
cantona,medicaments
shetek,stone
nyonoksa,salt
yinggarda,wild_game
nishiusuki,copper
k_omoks,fish
piacenza,wine
asele,lumber
shackamaxon,fiber_crops
witym,lumber
sorgono,fur
ngandi,wild_game
khotchino,lumber
metabetchouane,fur
mpwapwa,livestock
nepisiguit,fish
yaik,fur
bellinzona,iron
demetrias,fish
leibo,wild_game
francavilla,cotton
tsagaan,iron
karpenisi,lumber
medicine_bow,wild_game
shuyang,wine
guangsuoling,livestock
lenape,lumber
lackawanna,fur
bulamu,wild_game
brvenik,lead
congaree,lumber
mehin,wild_game
kyiv,wheat
sagabuyen,livestock
kottarakkara,rice
baleknagiq,fur
vave,fish
suriig,wool
hoan_chau,beeswax
oravsky_podzamok,tin
milkovo,lumber
sarahan,wild_game
murzzuschlag,livestock
talampaya,clay
malindig,lumber
basel,wheat
linhai,livestock
nictaux,fish
guangning_zhaoqing,gems
tawahka,fiber_crops
enzhou,livestock
matanda_aChiwawa,goods_gold
vieng_phouka,millet
nurota,sand
kaiabi,lumber
wakgun,livestock
indore,medicaments
shimohei,fur
kinosao_sipi,fur
kickatus,legumes
chibemba,wild_game
callapa,lead
limassol,sugar
niwa,silk
ngarluma,millet
mondovi,livestock
matupi,elephants
teso,livestock
juxtlahuaca,dyes
sirohi,marble
hinyaa,fish
cheslattat_en,wild_game
manambato,saffron
hateg,lumber
anbang,lumber
salban,fur
katihar,dyes
poltava,clay
amboise,fruit
chishti_sarif,iron
wusa,lumber
orihuela,salt
ksar_es_souk,iron
nerac,wheat
nora_eth,sugar
charolles,clay
thrissur,livestock
soltsy,beeswax
al_dhaid,fish
baurang,stone
kurihara,lead
tuchitua,wild_game
ankober,livestock
kaustby,wild_game
branicevo,horses
antigonish,lumber
zangchen,lead
sutnga,wild_game
gambia,fish
ahuya_yari,fish
mandi,lumber
alencon,wool
pavlovskaya,horses
bagadya,fur
vyada,lumber
el_manaqil,wheat
kundy,goods_gold
cubara,iron
yanchi,salt
mulmuga,lumber
mandisobi,livestock
bhongir,iron
bir,lumber
birma,beeswax
kondapalli,gems
tuoydakh,fur
oristano,wool
irgiz,livestock
ezerenai,lumber
grodkow,lead
senj,legumes
vilaka,fiber_crops
shimen,livestock
picanoc,wild_game
aro,lumber
szamotuly,beeswax
xiuning,tea
kolymskoie,wild_game
pocasse,maize
iwase,legumes
tumba,lumber
longhui,wild_game
tijis,olives
gisors,wheat
huraydah,wheat
nat_oot_en,fish
cobeta,livestock
piachi,legumes
wuping_daning,livestock
lumbi,lumber
ngilukumong,goods_gold
bakele_kongo,ivory
khantayskoye,copper
salay,livestock
cahiague,legumes
wigwomadenek,fur
kelafo,horses
dungkar,livestock
bedale,horses
osa,fur
gugera,sugar
pinoh,wild_game
bani_walid,livestock
sheberghan,fruit
manama,pearls
muskerry,lumber
seddori,iron
yongxin,wild_game
gordes,fiber_crops
chundzha,millet
mixquiahuala,livestock
lyepyel,millet
rostov,wild_game
suixi,sugar
buantan,fish
poreevo,legumes
payubre,maize
kiknur,fur
tukulan,wild_game
kamalia,legumes
zhigalovo,lumber
ramnagar,marble
sukadana_lampung,clay
amalik,fish
birch_creek,wild_game
niena,rice
yeropol_river,wild_game
ilomantsi,fur
ulwas,clay
mogot,wild_game
erie,maize
yuma,fruit
tancitaro,lumber
otakou,wild_game
bakanas,horses
pamunkey,maize
azai,rice
bensheim,marble
huiqi,iron
qompi,lumber
sandare,millet
ras_el_ma,livestock
arta,fruit
huasco,fish
ventspils,salt
vilshana,horses
monaghan,livestock
karawala,sand
kahan,wool
baie_verte,fish
knyazhich_gorodok,fish
cahul,wool
ruyuan,rice
kashigarh,cotton
jerez_de_la_frontera,horses
oparino,fur
worla,legumes
barem,legumes
kisiju,cotton
vastseliina,beeswax
kumai,fish
camarag,millet
chalkyitsik,fur
hazro,clay
tchan_sansan,clay
megri,lumber
langarud,silk
bangkalan_borneo,lumber
trincomalee,pepper
nih_iitkotousi_l,wild_game
amoyeli_gunahita,wild_game
gonjo,wool
ain_salah,sand
viviers,wine
urzhum,wild_game
pujiang,legumes
bilo,stone
motupohue,lumber
mont_de_marsan,legumes
mora_de_rubielos,wool
chuzboy,millet
sasaram,silk
mahallat,livestock
matemba,livestock
tongareva,lumber
msene,beeswax
oohl,fish
novoselitskoye,horses
vallsjo,wild_game
klagenfurt,beeswax
bassein,fiber_crops
berat,wool
el_arish,sand
doeg,stone
anar,legumes
chiusi,mercury
wakmua_oin,maize
elgyai,fur
bolshoye_selo,wild_game
al_jar,wheat
jiliu,fur
kochi,fruit
hotin,livestock
kikinda,clay
hashatjin,legumes
xinchang_yifeng,wild_game
celano,wool
lujiang,livestock
hamdallaye,millet
shchuchye_smolensk,sand
sarangani,fruit
hafik,livestock
waqua,tobacco
dowlatabad,saffron
teruel,wheat
novogrudok,wild_game
al_hirda,fish
kusike,beeswax
neyriz,iron
baalbek,fruit
umm_al_qulban,fruit
siberut,fish
moingwena,fiber_crops
khuzhupai,wild_game
parecis,legumes
shoubak,horses
dawbah,livestock
kamienna_gora,iron
canatlan,wild_game
multnomah,lumber
tenkeli,wild_game
hicayagua,cocoa
dargaz,livestock
damietta,fish
balanggarra,fruit
vicela,medicaments
tulsipur,elephants
nabek,salt
guaimaro,fish
yongshou,wheat
sroda_wielkopolska,millet
martyshkino,millet
yulin,livestock
vik,millet
xuande,alum
araquara,fiber_crops
nnewi,lumber
witset,fur
uchangidurga,millet
umboi,fruit
kwesten,fish
hammershus,fish
patpatar,fruit
karnal,wheat
santo_antao,fish
yellel,livestock
kirando,millet
udya,wild_game
lorelai,livestock
sainapuchi,stone
gawilgarh,cotton
kibrus,wool
bilbao,iron
yeongyang,pepper
longzhou_fengxiang,livestock
cardiff,wheat
roslavl,livestock
toyoura,fish
azrou,dyes
ahuilizapan,beeswax
tawande,clay
dioila,rice
ukomno_om,fruit
qianyou,lumber
goaso,millet
sangay,mercury
yongchun,lumber
tende,ivory
kysyl_syr,lumber
asuf,fruit
yukpa,fish
ouiauirabugu,fish
toek_khmau,fish
khor_fakkan,salt
plzen,wheat
etoho,lumber
tuorbchany,fur
matarjawira,clay
pairindi,fruit
tsesi,lead
namaan,clay
uruguay,fruit
guimaraes,livestock
chikowa,livestock
atrat,lumber
kolhapur,lumber
panchagarh,elephants
wipetikil,fish
ygyatta,wild_game
friedberg,beeswax
rykuul,fish
enare,fur
muang_et,livestock
bailundo,livestock
kriitina,livestock
rharhabe,livestock
ningyang,legumes
paru,fiber_crops
tomtor,lumber
piskorowice,iron
kol_papua,fish
orkdal,fish
mnihaha,clay
yenotayevka,wool
carpio,legumes
anambas_islands,fish
lipsk,wheat
ne_shuta,maize
nagaoka,medicaments
hunfeld,beeswax
cassano,wheat
yap,stone
nutepylmyn,fish
saransk,wheat
bar_le_duc,millet
korostyshiv,fur
tadmur,iron
biala_rawska,millet
drahichyn,wheat
baodi,clay
chunsua,marble
sarybulak,horses
ongamira,salt
kakol_kiej,cocoa
gakona,wild_game
shyrokyne,sand
aullagas,stone
kitamuro,fish
cumumba,fiber_crops
kojur,fish
chakma,lumber
derbeke,fur
penglai,fish
uttarkashi,wild_game
kleve,wheat
natal,goods_gold
mucuri,wild_game
pegas,wild_game
yuyao,rice
haikang,pearls
phongsali,millet
hjo,fiber_crops
tarung,livestock
puna,fish
kebili,fruit
gardez,legumes
bissagos,fish
dongchuan,lumber
ganzhou,goods_gold
vellore,fruit
suonikyla,wild_game
baba,cocoa
slonim,fur
tidni,wild_game
yunggai,stone
mongnai,rice
meletovo,medicaments
zongyang,wheat
gandersheim,millet
segah,lumber
verkhneyarkeyevo,wild_game
buren_khem,lumber
yaoshan,livestock
sambas,fish
ma_amtagila,lumber
bygdea,fish
hulu_segama,fish
nyangwe,lumber
rejaf,livestock
salona,stone
nemaha,maize
suki,lumber
yamakoshi,fish
kars,legumes
chippenham,livestock
qobustan,cotton
feltre,lumber
yueqing,salt
kharyyalakh,wild_game
ambaca,wheat
frankfurt,wheat
wulong,rice
gourma_rharous,livestock
eampepaigosode,fiber_crops
maubeuge,fruit
tesechoacan,maize
puget_theniers,lumber
insterburg,beeswax
itkanaahtuusu,wild_game
khelhghubunt_en,lumber
mong_yawng,legumes
aizkraukle,fiber_crops
kota_pinang,lumber
pecatonica_wi,lumber
joigny,livestock
lokono,fiber_crops
huangping,livestock
xianning_xian,livestock
skalholt,wool
dingxiang,livestock
cine,dyes
arkadak,livestock
an_nil,horses
pantagoras,goods_gold
suktogeja_o_ipa,maize
dymer,wool
upia,maize
xisha,fruit
starodub_votsky,fiber_crops
otavalo,marble
ambriz,fish
carlow,livestock
chilkootg_trail,wild_game
priyutnoye,livestock
anticosti,fish
beaune,wine
narodychi,wild_game
tangasootack,lumber
livadeia,wine
kaniv,horses
chor,wool
chateauneuf_de_randon,iron
ndar,salt
amqui,wild_game
cibadak,horses
dogonbadan,wheat
zinjibar,fish
ulju,iron
tu_sis_nde,fiber_crops
taplejung,wool
frombork,fish
qena,legumes
al_udhaim,wool
liangxian_ruzhou,clay
nyalam,wool
muse,millet
svrljig,legumes
piscataquis,wild_game
storozhynets,lumber
miskolc,stone
kolo,iron
luyi,legumes
jiezhou,medicaments
modasa,millet
ixesi,wild_game
madembe,lumber
dingtao,livestock
lar,stone
ichuna,wild_game
birnin_kebbi,wheat
papamane,goods_gold
north_jeongju,millet
xinfeng_panyu,lumber
guise,wheat
kabachischi,lumber
gokju,rice
mono,fish
marrat,salt
forcalquier,beeswax
nee_tahi_buhn,fur
chamcha,fur
kegaska,fur
brescia,marble
chona_trail,wild_game
fahrej,wool
bong_son,lumber
bundjalung,millet
ntshekane,livestock
apui,elephants
shenqiu,wheat
rajanari,livestock
ckara_ama,copper
kayeli,cloves
al_jawf,fruit
choate,sand
akcasehir,fish
penafiel,wine
koshkar_ata,fish
jaltepec,lumber
tumul,wild_game
kuskatan,cotton
vienna,fiber_crops
jingyang,cotton
jessore,sugar
tugaloo,lumber
yabrin,sand
neriungri,coal
oreos,wine
luujarvi,fur
aowa,legumes
guaduas,cocoa
zadian,fruit
jiaocheng,livestock
sakwatamau,wild_game
manitowi_sakahikanihk,wild_game
biria,fiber_crops
afikpo,livestock
qiantun,fish
yaozhou,copper
tchesha,lumber
alishang,stone
muara_sabak,fiber_crops
scw_exmx,lumber
atacames,lumber
dangyang,rice
murcheh_khvort,lead
ayahciyiniw_sakahikan,lumber
turgut,wool
tahquamenon,fur
chinili,wild_game
chrzanow,lead
kawanuma,wheat
kholunitsky,iron
benewah,fiber_crops
winnee,medicaments
verden,fiber_crops
trollaborg,fur
totobiegosode,fruit
eswawpuddenah,clay
konga,lumber
nilapohuana,wild_game
kukra,salt
ofoti,fish
drohobych,salt
cuito,wild_game
tselgaii,wild_game
egegik,wild_game
pebuenmapu,cotton
winimuc,lumber
bajestan,fruit
shuangshui,lumber
maskikogamak,fur
suma,wild_game
makarato,livestock
stary_tekov,fruit
wolmirstedt,livestock
oristan,dyes
shunning,copper
garadoume,livestock
qishui,rice
gueme_sangan,stone
hilo,lumber
gunzburg,legumes
kezhma,fur
almaden,mercury
kundi,lumber
laran,stone
mitse_adazi,lumber
baochang,livestock
furstenberg,beeswax
shangyou,wild_game
andkhoy,wheat
plieran,lead
giresun,olives
tetrino,fish
el_alamein,fruit
yurakar,chili
tempiopausania,wool
khimni,legumes
kai_theli_ke_hot_inne,fur
lalek_cotaa,maize
nazarovo,fur
mairete,rice
juckasjarvi,iron
muxima,salt
makuda,fish
tralee,fish
umatilla,fruit
orekhovna,fiber_crops
bajwara,cotton
snasa,wild_game
samiram,legumes
karau,lumber
ekenas,fish
tabou,beeswax
bouake,ivory
bordj_bou_arreridj,livestock
atuel,wild_game
cibagalaax,goods_gold
chamcook,fish
monemvasia,iron
ugrovesk,iron
padaividu,millet
rajgir,elephants
mingxi,wild_game
guiping,tea
alashakhan,horses
paramonga,maize
banqiao,wild_game
hiraka_aomori,lumber
stralsund,amber
bria,fruit
izeh,lumber
serzhik,wool
matamba,ivory
kirkenes,fish
salameh,wool
kafia_kinji,copper
anegandi,stone
tollantzinco,gems
caete_brasil,lumber
szolnok,wheat
kamchatka_trail2,wild_game
bares,lumber
altayn_ovor_gobi,wild_game
kuldiga,lumber
taktsang,stone
guangchang,pepper
nenagh,lead
bihar,wine
lianshan,wild_game
zouar,sand
eichstatt,medicaments
burqin,horses
zyyn_tar_nuur,horses
muang_phalan,lumber
quiahuiztlan,sand
dunamase,livestock
condom,livestock
south_andaman,fish
krumlov,medicaments
eruh,legumes
troitskoye_na_shchigrakh,wheat
baniyas,fish
sohra,elephants
savantvadi,fish
chakadee_wakpa,wild_game
lianjiang,salt
cangwu,wild_game
el_metemma,fruit
afmadow,millet
yans,lumber
pocumtuck,stone
seongcheon,cotton
ulu_sysy,wild_game
kealedji,clay
gorizia,clay
wugang,livestock
al_huwaila,pearls
rembarnga,livestock
pustozersk,fish
abiz,fruit
bizerte,gems
xindu,rice
tubigarao,rice
pio_gwut,lumber
wolow,horses
dallol,salt
suntar,wild_game
xunhe,amber
mishkwagokag,lumber
cuauhtolco,sand
carasova,wild_game
mahkato,lumber
bungu,livestock
bezhanitsy,beeswax
uskudar,lumber
bhimber,lumber
silla,dyes
albreda,fish
atfalati,medicaments
kovel,wheat
varde,fish
hulagan,medicaments
tres_pontas,lumber
nebesek,fiber_crops
jaca,wool
bundi,iron
chuvan2,wild_game
nicobar,fish
ust_sheksna,lumber
hawoben,wild_game
pologoye_zaymishche,wool
aroche,lead
xpuhil,lumber
ozurgeti,copper
bogorodskoye_pereyaslavl,fur
mecatina,fur
die,livestock
sarinena,saffron
drogheda,wheat
zbarazh,horses
changping,livestock
zanzibar,fruit
svendborg,wheat
buddahatchie,maize
weshacum,lumber
orvietano,stone
muang_luang_phukha,wild_game
karor_2,wool
machichi,fur
muko,tea
tuchola,wild_game
mugla,marble
qingxiang,wine
preah_khan_kompong_svay,iron
yatsushiro_higo,fruit
kong,saffron
coosaw,cotton
birnin_zamfara,millet
azia,clay
khukhan,rice
toropets,wild_game
khalis,wheat
kazaure,wild_game
guangning,beeswax
pingxiang_pingxiang,lumber
tamberias,potato
alcacer_do_sal,salt
ohktouna,wild_game
adixoodagoorahareesh,maize
twante,rice
nipissu,wild_game
strangnas,sand
ishkoman,fur
uataaq,coal
yanatile,silver
coyle,wild_game
ozanna,wild_game
dehistan,livestock
bokey,salt
mosbach,millet
leshukonskoye,wild_game
koknar,millet
kibengo,lumber
melk,fur
chertanla,livestock
delemont,lumber
qaryat_al_bidh,copper
afsin,horses
ludlow,lead
shiraz,fruit
semiostrov,fish
pinya,fruit
nomatsigenga,medicaments
sumtiin,wild_game
sauzas,livestock
jebba,livestock
sonhat,iron
egilsstadir,lumber
basra,sugar
qihe,wheat
tupik,wild_game
jaintiapur,fruit
bigadic,clay
echiy,tin
kimaama,fish
khemchik,livestock
gana,beeswax
sevede,lumber
zarghun_shahr,beeswax
west_hanos,stone
saarijarvi,wild_game
chibvumani,ivory
nong_khay,lumber
kariyan,horses
el_balyana,fruit
dezadeash_trail,stone
monxoro,sand
tlapacoya,fruit
argamakli_sarai,fruit
bukelon,livestock
kwa_chavira,wild_game
crato,horses
kutlovitsa,goods_gold
newenken,wild_game
kaunas,wool
samba,lumber
saham,fish
rovereto,lumber
kalumpang,stone
killycolly,livestock
wadi_el_melik,goods_gold
kuujjuarapik,wild_game
apica,clay
paredarerme,fish
bardsir,fiber_crops
saarde,horses
sededema,wild_game
nosy_be,sugar
ocro,marble
sirte,fish
khoiniki,fiber_crops
mamadysh,lumber
baraqish,fruit
yanqul,livestock
xincheng,copper
erzin,beeswax
chalco,silver
itajui,legumes
wudjari,millet
kernave,fish
villaines,legumes
bojnord,wool
mandsaur,iron
cawachagamite,wild_game
reydarfjordur,fish
kegen,wild_game
jororo,lumber
tadlyeoan,mercury
ohoi_ewur,cloves
atikaki,lumber
hull,fish
mesudiye,stone
sarlat,lumber
siak,clay
huancachaca,fiber_crops
tetouan,sugar
hornborg,sand
sughar,beeswax
etrek,livestock
pasho,livestock
tianchang,cotton
uist,fish
tongan_lijiang,silk
stratford,livestock
wieruszow,wool
meduxnekeag,lumber
yemilchyne,wool
kachemak,coal
pampa,stone
rarotonga_atoll,fish
bronnitsy,wool
nukanobu,clay
hongyuan,livestock
gorkha,wild_game
mobaye,medicaments
akure,cotton
calcasieu,lumber
tula,medicaments
kitahei,fish
shulan,beeswax
galati,wheat
kaliakra,fish
meshchersk,millet
birali,fish
agh_qala,fiber_crops
natahende,wild_game
mingin_australia,wild_game
jalor,horses
mitic,maize
kikuta,fish
ronglung,wild_game
metabeskega,medicaments
bimbilla,millet
mikulino_tver,millet
barna,clay
chittagong,fish
boutti,livestock
jabar_goemba,rice
taranto,wine
ukhahlamba,iron
isatabu,lumber
kilkenny,stone
karahisar_i_teke,fruit
bula,fish
nansemond,fish
skene,millet
yaguachi,cocoa
faaite_atoll,lumber
mosopeleacipi,lumber
sherwan,wool
squliq,fur
chical_co,wild_game
inverary,lumber
wapinippi,maize
ennis,fiber_crops
apafalaya,legumes
slobodskoy,fur
jiaoxi,salt
chepo,lumber
amal,wild_game
nakenk,fish
kabakama,livestock
bulbancha,legumes
mishan,clay
kukamonga,fish
yashikumne,maize
karakilise,legumes
tlamazolan,maize
qasr_ahnaf,wool
eskippakaithiki,lumber
nunnanen,lumber
huhuhla,beeswax
kassai,lumber
tabasokwia,wild_game
jeungsan,salt
dzibilnocac,fiber_crops
goodpaster,wild_game
manaos,dyes
dharmasraya,cloves
liuyuan,lumber
snt_t_ulix,lumber
sansepolcro,stone
jaburrara,wild_game
braga,lumber
tses_tsembai,wild_game
srisailam,lead
kozluk,livestock
apurlec,wool
north_buganda,clay
lizhou_mahu,fur
koygorodok,wild_game
lokera,lumber
ihara,tea
farasan,fish
chaoyang,rice
tecozautla,legumes
kolumba,lumber
chillan,lumber
turenne,lumber
albarracin,iron
ejea_de_los_caballeros,wheat
forchheim,wheat
cherven,millet
corfu,fruit
sterlibashevo,horses
northway,fur
wicomico,fish
fucheng,lumber
changshe,livestock
lemone,lumber
salylyk,wild_game
elki,maize
hajar,fruit
bislig,goods_gold
kashima,silk
kaingang,maize
qashliq,fur
thung_arra,millet
anajas,lumber
daga_papua,fish
jambi,cloves
gyeongju,iron
savukoski,fur
caconda,livestock
poole,stone
yicheng,silver
colmenar,lumber
muge,stone
marimba,lumber
loigan_sibo,legumes
baicang,marble
uftyuga,wild_game
kostopil,millet
olguydakh,wild_game
houmi,copper
maumee,clay
tecalco,livestock
kizel,iron
tiksi,ivory
apispaha,lumber
tasty,livestock
targoviste_BUL,clay
jubbah,sand
al_khaburah,wheat
jinan,pepper
phon_hong,lumber
nedroma,fish
nicosiasic,beeswax
valencia_de_alcantara,wool
kosice,lead
mathoskabde,fur
jahrom,fruit
pixipixi,beeswax
usman,wheat
leping,rice
kallawaya,beeswax
hatera,salt
kangasniemi,lumber
nisab,medicaments
kosalu,lumber
aleppo,cotton
sangliat_dol,fruit
mstow,millet
vlasovo,legumes
enashimo,lumber
wetarhoo,wild_game
novoaidar,clay
kahmard,stone
chatillonaos,iron
norwich,fruit
mudhaykirah,dyes
neustadt_am_rubenberge,livestock
ulaan,wool
ascolipiceno,wool
qingfeng,clay
lishi,livestock
andarai,goods_gold
oster,coal
narbonne,salt
cavalese,lumber
zhokha,wool
nauhtlan,legumes
mamyn,iron
xoxonal,lumber
julfar,alum
yongfu_fuzhou,livestock
baoji,wheat
kom_ombo,fruit
hulu_lamandau,lumber
bembe_kongo,wool
sho,livestock
jalpaiguri,lumber
benfeld,livestock
hirmata,millet
cofaqui,legumes
mong_hsat,lumber
ketagalan,sugar
linqu,goods_gold
mohko,lumber
haymana,wheat
buhoodle,wild_game
caycos,salt
tootinaowaziibeeng,fur
krychaw,lumber
kuznetsk,coal
otrozhny,goods_gold
gronnedal,fish
yanggu_yanzhou,wheat
nanja,millet
kak,horses
sao_joao_rei,wild_game
ayas,cotton
