location_tag,development
anguthimri,0.000
angwa,3.070
anhandui,0.000
anhayca,0.000
anhialo,33.980
anhua,48.030
anhua_anhua,29.130
anhua_huanjiang,23.150
ani,38.520
ani_south,0.000
aniakchak,0.000
anigiduwagi,0.000
anilco,4.210
anipitapiskow,0.000
aniyutsi,0.960
anji,50.410
anju_nurgan,6.000
anjuj_river,0.000
anka,17.930
ankara,39.040
ankavandra,3.600
ankazobe,5.700
anklam,64.520
ankober,13.800
ankoro,1.940
anlong,52.840
anlu,48.570
ann,20.660
anna_russia,12.440
annaba,45.210
annaburg,82.610
annan,25.040
annecy,42.240
anning,36.360
anoixi,8.290
anomansah,7.040
anping,72.770
anqiu,71.790
anren,38.270
anren_raozhou,50.370
ansai,32.630
ansbach,64.940
anseba,9.460
anso,21.000
ansongo,11.540
ansu,50.860
antabamba,29.750
antalaha,0.000
antalo,13.240
antalya,47.550
antananarivo,5.080
antequera,43.030
antetikala,0.000
anticosti,0.000
antietam,3.790
antigonish,0.000
antinir_pilquinan,1.000
antioch,53.230
antofagasta,3.020
antofalla,1.020
antsiroamandidy,1.840
antsohihy,0.000
antwerp,50.900
anula,0.000
anumagallu,31.330
anundsjo,4.220
anunsu,1.300
anupgarh,24.750
anuradhapura,21.260
anxi,32.130
anxi_dingzhou,58.390
anxiang,39.170
anyang,83.760
anyi,43.710
anyksciai,16.670
anyuan,20.110
anyuan_dingnan,29.060
anyuan_lianzhou,37.910
anyue,50.600
anyuysk,0.000
anzhou,38.530
anzourou,21.780
aoe,0.000
aonin,0.000
aopuni_atoll,0.000
aosta,43.570
aoudaghost,11.580
aouint_yghomane,13.530
aoukale,2.380
aousserd,11.000
aowa,10.180
apafalaya,3.140
apahtoksipisskan,8.000
apalachee,3.710
apan,23.720
apapelgino,0.000
apaqtukowatek,0.000
aparri,10.450
apataki_atoll,0.000
apatzingan,17.500
apeldoorn,42.240
apetowun,0.000
api_api,13.100
apiacas,0.000
apiai,0.020
apiaka,0.000
apica,4.490
apinji,0.000
apispaha,1.020
apolda,53.490
apollonia,3.720
apoquitaua,0.000
apotaka_hacha,3.150
appamatuck,2.400
appingedam,37.900
appleby,28.660
appomattox,6.520
apt,49.840
apucarana,0.850
apui,24.740
apuka,0.000
apure,1.080
apurlec,10.130
apyawa,0.000
apytere,0.130
aq_am,0.000
aqaba,12.080
aqanqmi,0.000
aqca,28.960
aqda,16.980
aqiq_banu_uqayi,18.060
aqmecit,6.900
aqmecit_prybuzhzhya,13.490
aquidauana,0.000
aquila,39.670
aquileia,76.730
aqush,3.780
aqyam_nup,0.000
ar_rabadha,35.950
ar_rabb,15.980
ar_rass,9.550
ar_rawdah,1.950
ar_rayn,7.580
ar_rayyan,3.790
ar_rukai,9.280
ar_ruwailiyyah,26.720
araban,19.370
arabi,10.040
arac,30.770
aracena,31.830
arachan,6.010
aracuai,0.000
arad,47.960
araes,1.130
aragua,0.300
araguaia,0.000
araguari,0.000
araicuahita,5.010
arak,17.180
arakaiu,0.000
aranama,13.230
aranda_de_duero,44.430
arandai,0.000
arangastakh,0.000
araouane,7.010
arapgir,33.480
arapuey,6.270
araquara,1.060
arar,9.230
ararayu_aba,0.000
arari,0.000
araripocone,0.000
araritaguaba,0.160
arasibo,0.000
araska,26.800
aratika_atoll,0.000
aratu,3.010
arauca,8.280
araut,13.710
araya,2.690
arbaji,22.570
arboga,29.090
arbroath,70.040
archar,33.210
arches,34.860
archit,1.110
arcos_de_la_frontera,30.110
arcot,38.570
ardabil,22.710
ardagh,43.900
ardahan,27.210
ardakan,12.750
ardatov,17.710
ardestan,14.540
ardra,44.650
ardtornish,21.140
arechuna,6.080
areia,0.000
arequipa,10.940
arerius,0.000
ares_del_maestre,36.730
aresh,21.850
arevalo,37.060
arezzo,68.580
argada,0.000
argamakli_sarai,14.420
argas,0.000
argaxtaax,0.000
argenta,88.420
argentan,73.970
arges,19.230
arghestan,16.040
argi,8.500
argos,29.590
arguin,8.260
argun,12.900
arguvan,35.800
argyrokastro,20.690
ariano,61.790
ariari,6.990
aribinda,11.180
arica,3.020
ariguani,10.640
arikun,29.050
arilje,15.280
ariste,0.000
aritpa,4.040
ariza,22.140
arjeplog,4.500
arka,3.000
arkaba_tura,0.000
arkadak,18.620
arkat,3.270
arkhan,33.790
arkhangelsk,2.000
arkhangelskoye,17.050
arkhangelskoye_vologda,12.140
arkhara,11.790
arkhyz,12.020
arkvaz,9.720
arlal,11.570
arles,66.160
arlon,27.030
armagh,45.000
armavir,17.570
armizonskoye,0.720
arnay,49.800
arnedo,39.250
arnhem,30.210
arno_atoll,0.000
arnsberg,49.970
arnstadt,32.910
aro,6.110
aroas,0.000
aroche,27.760
arochukwu,6.520
arock,0.000
arona,31.430
aroostook,2.000
arop,0.000
aror,56.710
arque,14.460
arques,49.500
arrah,54.840
arraias,0.000
arran,25.450
arras,61.930
arrayda,43.880
arroio,4.140
arroyo,43.010
ars,28.760
arshgul,24.850
arslanbob,20.830
arsubaniket,20.250
arsuk,0.000
arsuz,30.610
arta,17.730
artah,65.340
artanuji,28.080
artashavan,20.280
arthabaska,1.000
arti,7.710
artush,9.480
artyk,0.000
artyk_ata,26.330
arua,0.000
arua_amazon,0.000
aruamu,7.480
arubeira,0.000
aruja,0.200
arun,8.530
aruni,1.040
aruppukkottai,30.850
arusha,14.710
arut,18.560
arutua_atoll,0.000
arvidsjaur,6.720
aryaru,19.110
arykbalyk,9.440
arylakh,0.000
arzamas,13.990
arzew,32.150
arzgir,5.330
arzu,12.770
as_salafiyah,27.490
as_salif,18.170
as_sib,25.900
as_sulaymi,5.330
as_suwaydirah,11.160
as_suwayriqiyah,10.270
asa,32.950
asadabad,20.130
asadabad_kunar,37.480
asahan,26.160
asahkaiowaipu,0.000
asaita,25.150
asaka,21.140
asakuchi,34.170
asakura,27.300
asanas,22.480
asbo,23.140
aschach,58.180
aschaffenburg,51.360
aschendorf,73.690
ascolipiceno,64.150
asele,6.090
aseptiketiheylhets,3.050
asfan,12.960
asfi,34.790
ash_shamli,2.230
ash_shaqiqah,32.570
ash_shibahah,7.130
ash_shuara,3.490
ash_shuaybah,6.660
ash_shuaybah_hail,11.340
ashalaho,0.000
ashaninka,9.840
ashaval,54.620
ashby,0.000
ashca,0.060
ashca_caycu,0.060
ashchyozek,13.420
ashevo,11.500
asheweig,0.000
asheyi,0.000
ashida,25.900
ashigara,25.940
ashikaga_loc,25.340
ashikita,22.650
ashkamesh,12.060
ashmunayn,45.690
ashmyany,26.190
ashoro,0.000
ashraf,37.410
asht,18.380
ashtabula,0.210
ashuanipi,0.000
ashuapmushuan,2.000
asifabad,24.030
asika,21.790
asila_arabia,8.900
asilah,33.670
asingasta,0.000
asiniike,0.000
asiniwaciy,0.000
asir,16.050
asir_ALG,16.250
asirgarh,40.510
askataliank,0.000
askino,8.100
askiz,0.000
askot,26.810
aslan_horod,10.060
aslanapa,49.500
aslanduz,35.540
asmara,9.790
asmat,0.000
asni,61.430
aso,24.340
asola,82.390
asoqasqoq,0.000
aspa,5.380
aspara,23.030
aspas,15.140
aspet,51.060
aspotogan,0.000
assa,9.360
assab,6.230
assabet,2.110
assan,0.000
assapasca,4.000
assawoman,2.000
assen,25.730
assens,37.850
assereniet,3.450
assinie,5.180
assisi,52.420
assode,4.060
assonet,5.110
assorodus,4.000
assosa,11.790
assunpink,3.090
astara,18.570
astarabad,36.390
asti,78.720
astore,17.760
astorga,27.540
astrakhan,7.760
astrina,18.760
astros,30.070
asuf,12.420
asurini,0.000
asvieja,23.930
aswan,32.770
asyut,61.920
at_tarfawi,10.530
ata_mindanao,10.170
atacames,6.210
atach,16.460
atahachi,3.220
atajal,13.240
atakpame,0.000
atalanti,20.230
atanagunypacam,3.640
atanari,8.070
atanuul,3.960
atar,4.000
atargan,0.000
atarque,6.030
atash,9.030
atbara,12.900
atbasar,9.730
atchafalaya,6.760
atepec,11.190
atfalati,3.000
atfih,38.200
ath,54.770
athabasca,0.000
athani,42.130
athenry,32.150
athens,34.760
athlone,44.920
athmallik,31.830
athy,30.510
atibaia,0.000
atico,4.940
atikaki,0.000
atikokiwam,0.000
atikonak,0.000
atikuan,0.000
atikum,0.000
atikwa,0.000
atinggola,16.980
atishchevo,15.950
atitlan,14.950
atitlan_guatemala,18.140
atiya,53.290
atka,0.000
atkarsk,14.390
atnatuu,0.000
atocpan,15.080
atoj_wasin,0.050
atpazari,56.240
atrakwaye,2.000
atrat,12.790
atri,89.180
atsugewi,0.000
atsuta,0.000
attaock,3.000
attaqua,0.000
attawapiskat,0.000
attendorn,28.030
attequa,0.000
attikamagen,0.000
attock,44.590
atuel,1.050
atzaccan,11.480
atzhaksy,8.250
aubusson,53.850
auccapana,10.880
auch,47.340
augsburg,73.340
aukwatowa,0.000
aulatsivik,0.000
auleta,4.260
aullagas,5.480
aulnay,72.080
aumale,59.450
aundh,31.750
auneau,83.900
aunona,0.000
aupouri,3.000
aupuhkirakanewe,2.170
auqajikuna,0.070
aur_atoll,0.000
aurich,77.240
aurillac,58.350
aurland,7.010
ausa,35.080
austria_baden,59.230
autlan,4.630
autun,52.470
auwe,0.000
auxerre,83.080
auxonne,74.170
auyo,17.130
ava_canoeiro,0.000
avaes,1.140
avaj,29.660
avallon,72.910
aveh,26.670
avellino,63.180
avesta,18.640
avga,4.290
avignon,65.420
avila,32.970
aviles,25.150
avis,27.000
avlayakan,0.000
avlonya,26.160
avnagar,4.850
avraga,4.500
avranches,66.450
awa,31.690
awa_brazil,0.000
awa_shikoku,33.510
awabakal,0.000
awad_bing,0.000
awadh,67.610
awaji,29.670
awajun,8.560
awaran,46.370
aware,8.140
awastara,3.640
awaswas,2.190
awatixa,6.020
awaxaawi_ishiibisha,4.010
awbare,7.120
awbeh,16.860
awen,0.000
awjila,15.280
awka,7.150
awka_etiti,12.070
awlil,7.110
awngthim,0.000
awrtable,11.000
awyi,0.000
awyu,0.000
axawiri,32.920
axim,2.390
axochiapan,18.540
axocopan,21.650
axum,21.260
aya,33.370
ayadaldapa,6.020
ayagoz,17.280
ayahciyiniw_sakahikan,0.000
ayahuacas,10.980
ayamaco,0.000
ayamonte,39.290
ayan,0.000
ayas,56.860
ayasuluk,36.330
ayaviri,46.820
ayay,0.000
ayays,8.550
aybas,10.330
aydhab,24.840
aydincik,30.020
ayerou,25.550
ayish,10.240
aylesbury,50.080
ayllu_yacuchiri,0.000
ayn_tamr,14.650
ayni,10.260
ayntab,45.350
aynuna,7.530
ayo,3.210
ayo_ayo,11.860
ayodhya,49.310
ayopaya,9.010
ayora,18.830
ayr,65.960
aytos,25.680
ayvacik,31.030
ayvu_pora,0.000
az_zilfi,21.200
az_zubayir,5.010
azab,15.380
azadvar,13.140
azai,25.560
azamgarh,58.380
azcapotzalco,28.700
azeevo,19.270
azeffoun,17.970
azemmour,40.470
azghand,14.120
azia,18.120
azilal,12.320
azile,0.000
aznakayevo,19.200
azok,16.940
azougui,7.000
azraq,13.480
azrou,15.580
aztatlan,45.460
azua,0.000
azuaga,23.580
azumi,23.390
azzan,30.810
baak,22.140
baalbek,44.300
baashalapache,5.000
baawitigong,2.500
bab_kot,42.000
baba,15.370
baba_ata,14.900
babadag,12.930
babahuyu,12.880
babana,5.750
babar,18.080
babayevo,9.230
babichas,3.310
babicora,7.880
babimost,33.420
babonoyaba,2.950
baborigame,5.140
babruysk,14.120
babuyan,9.010
babuyan_islands,10.040
babuza,37.170
bac_thai_nguyen,21.060
bacalhieu,0.000
bacau,18.920
baciravan,15.500
backnang,47.300
bacs,30.510
bacuma,5.000
bad_ischl,26.640
bad_rock,0.000
bada,37.090
bada_yaqub,1.960
badabedi,11.700
badajoz,46.960
badam,20.270
badamgarh,37.400
badami,30.870
badau,20.890
baden,52.370
baden_im_aargau,55.350
badenoch,55.900
bades,10.450
badhu,0.370
badi,9.380
badimala,0.000
badimaya,0.000
badiraguato,8.850
badis,16.380
badjidi,0.000
badong,26.810
badozhsky,9.140
badr_hunayn,1.910
badra,11.390
badreh,17.920
badrinath,26.690
badtjala,0.000
badulla,16.270
