location_tag,building,starting_levels,cap_at_start,cap_at_reference_development,starting_ledger_people,maximum_ledger_people
agde,clearing,2,3,3,9291.8,13907.9
agen,clearing,3,5,5,18270.0,20416.6
agh_qala,clearing,0,1,2,256.6,7279.9
agham_kot,clearing,2,3,4,7777.9,13220.9
aghkand,clearing,0,2,3,643.4,7864.3
aghmat,clearing,0,2,3,2.1,10251.0
agikuyu,clearing,1,6,7,3038.5,57374.2
agnam_civol,clearing,0,2,3,0.0,13201.1
agno,clearing,0,6,7,326.6,51291.6
agob,clearing,0,7,8,0.0,29575.1
agoo,clearing,0,5,6,26.7,44136.6
agordat,clearing,0,3,4,87.9,19548.8
agori,clearing,4,9,10,12215.3,110496.2
agouasaque,clearing,0,5,6,34.7,39538.2
agra,clearing,3,6,7,12715.5,18766.8
agramunt,clearing,1,1,2,1901.8,7124.5
agreda,clearing,0,2,3,474.5,14224.7
agror,clearing,1,7,8,3399.1,14139.6
agsu,clearing,0,2,3,147.1,12542.4
aguacadiba,clearing,0,8,9,0.0,77934.6
aguacana,clearing,1,7,8,1579.8,37489.6
aguacay,clearing,0,7,8,0.0,39548.4
aguanish,clearing,0,1,2,0.0,4690.8
aguasabon,clearing,0,1,2,0.0,5052.8
aguere,clearing,0,0,0,480.0,527.6
aguiar,clearing,0,1,2,329.5,949.1
aguilar_de_campoo,clearing,0,1,2,535.0,5362.3
agula,clearing,0,4,5,983.5,26493.0
agulhas,clearing,0,2,3,0.0,15781.0
aguyaq,clearing,0,1,2,0.0,5224.7
aguz,clearing,0,3,4,211.2,7459.3
agvituk,clearing,0,1,2,0.0,326.0
agw_aneq,clearing,0,1,2,0.0,3014.7
agwarmin,clearing,0,4,5,0.0,42499.6
aha_macav,clearing,0,2,3,0.0,1115.5
ahar,clearing,0,2,3,207.4,11425.4
ahaus,clearing,0,3,4,133.0,13897.5
ahe,clearing,0,5,6,0.0,29865.5
ahel,clearing,0,2,3,101.3,5534.5
aheri,clearing,1,8,9,2405.3,47520.4
aheyya_fagg,clearing,0,5,6,0.0,25487.4
ahkwesasne,clearing,0,4,5,0.0,23805.4
ahkwesasne_ny,clearing,0,2,3,0.0,19096.8
ahlat,clearing,1,1,2,5372.2,11759.9
ahmad_khan,clearing,0,2,3,0.0,9065.2
ahmednagar,clearing,2,4,5,8310.5,27910.4
ahna_wate,clearing,0,1,2,0.0,4257.9
ahobalam,clearing,4,7,8,10851.4,71000.8
ahome,clearing,1,6,7,1627.6,24341.8
ahouenro,clearing,0,4,5,0.0,33268.8
ahrweiler,clearing,2,2,3,5874.6,13060.2
ahsenisiipi,clearing,0,5,6,406.0,46144.7
ahtopol,clearing,0,3,4,1238.7,14777.6
ahuacatlan,clearing,0,6,7,173.7,39637.5
ahuilizapan,clearing,0,3,4,0.0,30451.1
ahurei,clearing,0,2,3,0.0,85863.6
ahuya_yari,clearing,0,7,8,818.1,29816.0
ahvaz,clearing,0,3,4,146.3,1985.7
ahwendoe,clearing,0,1,2,0.0,2291.7
aichi,clearing,5,7,8,19248.5,71085.3
aignay,clearing,4,4,5,21624.0,25998.3
aigun,clearing,0,10,11,0.0,59684.6
aikana,clearing,0,7,8,0.0,44954.7
aikhal,clearing,0,1,2,0.0,0.0
aikou,clearing,1,7,8,2863.7,49980.1
ailinglaplap_atoll,clearing,0,5,6,0.0,0.0
aillik,clearing,0,1,2,0.0,97.9
ailuk_atoll,clearing,0,4,5,0.0,0.0
aim_maia,clearing,0,1,2,0.0,0.0
aim_mocoylek,clearing,0,7,8,0.0,34746.9
aimangala,clearing,6,8,9,16979.5,131898.3
aimchan,clearing,0,1,2,0.0,0.0
aimi,clearing,1,6,7,1527.2,40776.4
aimore,clearing,0,6,7,0.0,38168.6
ain_farah,clearing,0,2,3,634.6,16556.1
ain_madhi,clearing,0,0,0,0.0,1181.9
ainsa,clearing,0,2,3,112.9,8329.8
ainu_nik,clearing,0,1,2,0.0,3783.6
air_hitam,clearing,0,5,6,6.3,29365.8
airag_nuur,clearing,0,1,2,0.0,280.0
aire,clearing,3,5,5,12248.7,17095.2
ais,clearing,0,8,9,0.0,27187.5
ait_benhaddou,clearing,0,1,2,0.0,3621.3
ait_daoud,clearing,0,1,2,0.0,7932.2
aita,clearing,0,7,8,1345.5,58737.3
aitbulat,clearing,0,2,3,0.0,0.0
aitutaki_atoll,clearing,0,5,6,0.0,0.0
aiud,clearing,1,4,5,3050.3,17822.7
aivitok,clearing,0,1,2,0.0,1357.1
aiwanj,clearing,0,2,3,474.7,5877.2
aix_en_provence,clearing,1,3,4,4575.3,14001.2
aixe,clearing,3,4,5,11399.4,17634.0
aizkraukle,clearing,0,2,3,1007.1,9514.6
ajaccio,clearing,0,2,3,761.9,6411.1
ajanas,clearing,0,5,6,0.0,43110.7
ajara,clearing,1,5,6,1807.2,27433.1
ajase,clearing,5,6,7,16568.0,30215.1
ajawewesitagun,clearing,0,4,5,0.1,20593.7
ajayameru,clearing,0,5,6,12.1,10674.5
ajehuac_yana,clearing,0,5,6,0.0,17273.7
ajie,clearing,0,8,9,359.2,42147.2
ajim,clearing,0,0,0,2269.0,3170.6
ajmer,clearing,1,3,4,2342.7,5678.4
aju,clearing,4,4,5,16305.8,43130.3
ajuchitlan,clearing,1,7,8,1271.4,33279.9
aka,clearing,0,7,8,31.2,57393.4
akamba,clearing,0,1,2,0.0,1835.5
akan_loc,clearing,0,2,3,14.7,11793.0
akana,clearing,0,7,8,0.0,45644.0
akaray,clearing,0,7,8,0.0,40821.5
akaroa,clearing,0,2,3,0.0,31523.4
akashi,clearing,3,8,9,11587.9,94728.0
akbarpur,clearing,3,8,9,10872.1,38953.9
akcasehir,clearing,3,4,5,10756.6,14736.2
akdagmadeni,clearing,0,1,2,363.5,9734.8
akei,clearing,0,6,7,0.0,28078.2
akhalkalaki,clearing,1,2,3,3344.3,11112.1
akhaltsikhe,clearing,0,2,3,14.9,9145.3
akhisar,clearing,1,2,3,2210.4,10644.5
akhmim,clearing,0,3,4,0.0,0.0
akhsikath,clearing,0,3,4,410.6,7267.4
akhsisek,clearing,0,2,3,10.3,1327.5
akhtar,clearing,0,3,4,6.1,6672.4
aki,clearing,0,5,6,154.4,37418.9
aki_shikoku,clearing,0,6,7,63.7,36456.4
akilasiewakik,clearing,0,1,2,0.0,3971.7
akilonda,clearing,0,8,9,183.3,13335.9
akimel_oodham,clearing,0,3,4,0.0,539.9
akimiski,clearing,0,1,2,0.0,185.9
akinka_nup,clearing,0,1,2,0.0,428.3
akinkumasnuqit,clearing,0,1,2,0.0,9999.4
akishma,clearing,0,1,2,0.0,7.2
akisq_nuk,clearing,0,1,2,0.0,2618.8
akita,clearing,2,4,5,5656.5,60752.8
akita_kumamoto,clearing,1,6,7,3327.0,51583.0
akkajaur,clearing,0,1,2,0.0,6250.9
akkala,clearing,0,1,2,0.0,2014.0
akkesene,clearing,0,2,3,0.4,402.4
akkeshi,clearing,0,2,3,378.3,13108.4
akkol,clearing,0,2,3,7.5,4818.5
akkus,clearing,2,3,4,6024.7,13491.1
aklan,clearing,0,6,7,67.5,46809.2
aklaviq,clearing,0,1,2,0.0,0.0
aklera,clearing,0,6,7,1578.7,2629.6
aknuq_uk,clearing,0,0,0,0.0,52.5
akokpaq,clearing,0,1,2,0.0,6588.0
akola,clearing,3,5,6,10261.1,40685.7
akonolinga,clearing,1,7,8,1460.2,26975.1
akora,clearing,0,5,6,323.1,7591.7
akou,clearing,0,7,8,1355.0,64174.0
akre,clearing,0,1,2,172.2,6842.9
akropong,clearing,3,7,8,6276.2,24111.3
aksaray,clearing,1,2,3,1785.3,6812.3
aksay,clearing,0,1,2,0.0,2525.5
aksay_pointic,clearing,0,1,2,0.5,2348.6
aksehir,clearing,1,1,2,3436.5,9871.7
aksu,clearing,0,0,0,1.9,733.9
aksumbe,clearing,0,1,2,0.0,14.3
aktas_kystagy,clearing,0,1,2,118.3,702.1
akto,clearing,0,0,0,0.0,2.1
akure,clearing,2,6,7,3627.3,32892.1
akwaala,clearing,0,1,2,71.5,3944.3
akwatia,clearing,3,7,8,6907.8,32856.5
akwe,clearing,0,6,7,0.0,29535.8
akwen,clearing,0,7,8,0.0,30100.6
akyab,clearing,0,5,6,1272.2,54660.5
akyazi,clearing,1,4,5,2266.1,12740.9
al_ajfar,clearing,0,2,3,0.0,0.0
al_arah,clearing,0,0,0,308.2,584.6
al_bab,clearing,2,2,3,5038.3,8359.7
al_bayda,clearing,0,1,2,616.2,8669.6
al_bayda_yemen,clearing,0,2,3,1187.7,2790.8
al_burud,clearing,0,2,3,0.0,0.0
al_dhaid,clearing,0,2,3,0.0,0.0
al_ghat,clearing,0,2,3,0.0,0.0
al_ghazalah,clearing,0,2,3,0.0,0.0
al_ghulayfiqah,clearing,1,3,4,1969.1,7456.6
al_hamad,clearing,0,2,3,0.0,0.0
al_haqu,clearing,0,0,0,1.5,864.1
al_harjah,clearing,0,0,0,0.0,62.9
al_hirda,clearing,0,0,0,2.8,1606.1
al_kadwa,clearing,1,3,4,1774.6,8140.2
al_khadra,clearing,0,4,5,0.0,0.0
al_khadra_ALG,clearing,0,3,4,256.5,9757.4
al_khanbarah,clearing,0,2,3,0.0,0.0
al_khosuf,clearing,0,0,0,46.0,1830.5
al_khuimat,clearing,0,0,0,183.4,1117.4
al_khums,clearing,0,3,4,824.1,6357.8
al_khuraybah,clearing,0,2,3,0.0,0.0
al_luhayyah,clearing,0,0,0,1093.0,1824.3
al_madar,clearing,0,3,4,115.2,1132.4
al_mafalis,clearing,0,0,0,268.3,390.9
al_mamtir,clearing,1,4,5,1844.3,8087.5
al_mandab,clearing,0,0,0,22.5,118.4
al_matamma,clearing,0,3,4,191.0,19171.5
al_mazamma,clearing,0,3,4,0.0,9725.7
al_mima,clearing,0,3,4,0.0,0.0
al_mithnab,clearing,0,2,3,0.0,0.0
al_mukalla,clearing,0,2,3,0.0,0.0
al_mukha,clearing,0,0,0,0.3,1.1
al_muthainiyah,clearing,0,2,3,0.0,0.0
al_qara,clearing,1,2,3,1733.3,3310.0
al_qatr,clearing,0,3,4,83.8,629.6
al_qunfudhah,clearing,0,0,0,188.3,373.8
al_quwayrah,clearing,0,1,2,0.0,0.0
al_rusayrisi,clearing,1,5,6,1769.9,25058.8
al_shuqayq,clearing,0,0,0,0.0,13.0
al_sinn,clearing,0,4,5,607.8,5769.9
al_sirrayn,clearing,0,0,0,0.0,658.1
al_tib,clearing,1,2,3,1549.5,3453.5
al_udhaim,clearing,0,2,3,0.0,0.0
alagadyan,clearing,0,1,2,0.0,0.0
alaiye,clearing,0,2,3,347.1,9623.4
alakol,clearing,0,2,3,1014.5,6697.4
alakurti,clearing,0,1,2,0.0,2638.9
alamamas,clearing,0,2,3,0.0,193.0
alamance,clearing,0,7,8,175.6,36711.2
alamarvdasht,clearing,0,3,4,408.4,5872.8
alamganj,clearing,3,8,9,13129.7,79582.8
alapaha,clearing,0,6,7,0.0,30239.5
alapahoochee,clearing,0,7,8,32.3,34538.0
alapayevsk,clearing,0,2,3,0.0,8378.6
alarcon,clearing,2,3,4,4713.1,12965.9
alasehir,clearing,1,2,3,4570.9,14487.8
alashakhan,clearing,0,2,3,0.0,4395.9
alat,clearing,0,0,0,0.6,6.4
alatyr,clearing,1,3,4,2377.3,16053.9
alausi,clearing,0,5,6,927.6,7593.6
alaverdi,clearing,1,2,3,1615.6,15299.5
alawa,clearing,0,4,5,0.0,23469.0
alays,clearing,0,2,3,413.3,9048.4
alazapa,clearing,0,3,4,0.0,11160.8
alba,clearing,4,4,4,17909.1,21333.6
alba_de_aliste,clearing,2,2,3,5348.0,11661.6
alba_de_tormes,clearing,2,2,3,6598.3,10869.7
alba_iulia,clearing,1,4,5,4095.1,19845.1
albacete,clearing,1,2,3,1810.0,5308.1
albarracin,clearing,1,1,2,4674.1,11508.8
albenga,clearing,0,1,2,840.1,8189.1
albi,clearing,4,5,5,19793.5,24194.1
albo,clearing,0,1,2,200.3,1925.0
albreda,clearing,0,6,7,689.4,13480.5
albuquerque,clearing,1,3,4,1655.9,9693.0
alcacer_do_sal,clearing,0,3,4,1225.8,8238.0
alcala_de_henares,clearing,1,4,5,2012.1,11904.8
alcanices,clearing,1,2,3,2073.2,13163.5
alcaniz,clearing,2,2,3,5357.4,7565.6
alcantara,clearing,1,2,3,2457.5,9622.8
alcaraz,clearing,1,1,2,2828.3,8033.6
alcazar_de_san_juan,clearing,1,2,3,1994.1,6645.6
alchan,clearing,1,9,10,1548.5,43613.8
alcobaca,clearing,0,4,5,802.1,10775.4
alcoy,clearing,0,1,2,665.9,8569.2
aldan,clearing,0,1,2,0.0,0.0
alencon,clearing,4,4,4,28306.1,29607.2
aleppo,clearing,1,2,3,4975.5,8478.6
aleria,clearing,1,3,4,3829.4,6671.8
ales,clearing,2,3,4,6756.2,11155.0
aleshtar,clearing,0,1,2,915.0,9229.8
alessandria,clearing,4,7,7,20426.0,21321.3
alexandria,clearing,0,0,0,103.9,779.0
alexandrov_gay,clearing,0,1,2,0.0,1228.6
alexandrovskaya_sloboda,clearing,0,2,3,184.4,9408.2
alexandrovskoye,clearing,0,2,3,0.0,13488.7
alexeyevka,clearing,0,2,3,0.0,10679.3
alexeyevskaya,clearing,0,2,3,0.0,9013.6
alfambra,clearing,1,1,2,5258.4,10137.7
alfeld,clearing,3,5,5,15879.3,20163.6
alfenas,clearing,0,8,9,0.0,44321.1
alferovskaya,clearing,0,2,3,0.0,7588.7
alfta,clearing,0,1,2,18.5,596.6
algeciras,clearing,0,2,3,905.6,7053.8
alghero,clearing,1,1,2,5110.4,5841.1
algiers,clearing,0,4,5,364.1,11379.4
alhambra_location,clearing,1,1,2,1489.9,8457.6
ali_sabieh,clearing,0,2,3,58.1,58.8
aliabad_katul,clearing,1,3,4,1422.8,7961.4
alicante,clearing,1,2,3,2413.6,5615.4
aligurdaz,clearing,0,1,2,1312.6,7862.9
alii,clearing,0,1,2,0.0,0.0
alikovo,clearing,0,2,3,329.8,15507.9
alinchak,clearing,0,1,2,0.0,829.9
alirajpur,clearing,4,7,8,11962.2,55946.2
alishang,clearing,1,1,2,3250.5,5698.3
aliskerovo,clearing,0,1,2,0.0,0.0
alkalawa,clearing,1,3,4,1590.2,14538.6
alkhan_kala,clearing,0,3,4,19.9,14415.7
alkmaar,clearing,0,3,4,0.0,4508.7
allagash,clearing,0,1,2,0.0,13771.4
allakaket,clearing,0,1,2,0.0,749.9
allegheny,clearing,0,2,3,0.0,9814.4
allegre,clearing,1,2,3,3224.6,10619.8
allingsas,clearing,0,1,2,117.6,1507.6
allpas,clearing,2,2,3,8400.7,16912.1
alluyes,clearing,3,4,4,13980.4,18990.3
almaden,clearing,1,2,3,3135.4,12926.4
almalik_chach,clearing,0,2,3,372.9,9087.8
almaliq,clearing,0,2,3,50.1,4060.5
almanzora,clearing,1,2,3,4281.1,8065.5
almaty,clearing,0,2,3,1197.5,17636.5
almazan,clearing,2,2,3,7415.2,16731.7
almenara,clearing,0,7,8,0.0,38080.7
almenevo,clearing,0,2,3,33.0,6551.1
almeria,clearing,1,2,3,3131.6,6785.3
almetyevsk,clearing,3,3,4,10845.4,16022.5
almodovar_del_campo,clearing,1,2,3,3372.7,13168.2
almonaster_la_real,clearing,1,2,3,1755.4,8989.6
almora,clearing,0,6,7,20.3,14903.7
almudevar,clearing,2,4,5,8032.3,11236.5
almunecar,clearing,0,2,3,43.6,8196.8
alnwick,clearing,0,1,2,1396.1,6476.2
alpo_wa,clearing,0,2,3,0.0,20939.6
alpowna,clearing,0,1,2,0.0,3397.0
alpu,clearing,0,8,9,0.0,18300.8
alsfeld,clearing,2,3,4,7385.9,17255.9
alsigontekw,clearing,0,1,2,0.0,2349.2
alstahaug,clearing,0,1,2,15.1,562.6
alta,clearing,0,1,2,0.0,0.0
altaikha,clearing,0,1,2,0.0,0.0
altamaha,clearing,1,6,7,1073.7,33456.6
altamura,clearing,2,2,3,11089.3,14223.8
altan_gadas,clearing,0,1,2,0.1,3078.3
altayn_ovor_gobi,clearing,0,0,0,0.0,157.6
altayskoye,clearing,0,1,2,2.3,4737.0
altdorf,clearing,0,1,2,402.8,1526.9
altena,clearing,2,2,3,5018.7,13492.9
altenburg,clearing,2,4,5,7273.3,17784.1
altenkirchen,clearing,1,2,3,4482.0,11308.4
altinekin,clearing,0,2,3,614.9,5932.0
altintas,clearing,1,1,2,7524.3,8907.2
altit,clearing,0,0,0,0.3,14.6
altun_ha,clearing,0,7,8,34.0,35301.9
altun_kupri,clearing,0,1,2,584.8,5495.8
altyntobe,clearing,0,2,3,61.5,6954.1
altyshevo,clearing,1,3,4,1421.5,15887.3
alubera,clearing,0,5,6,0.0,22396.3
aluksne,clearing,0,2,3,18.3,10963.5
alula,clearing,0,2,3,0.0,0.0
alura,clearing,0,5,6,0.0,9262.1
aluri,clearing,0,2,3,0.0,21032.2
aluutashe,clearing,0,2,3,0.0,19933.6
alvalade,clearing,1,3,4,2174.0,9099.2
alvastra,clearing,1,2,3,1943.8,6742.9
alvdal,clearing,0,1,2,0.1,659.9
alvito,clearing,0,3,4,1225.3,9883.1
alvsby,clearing,0,1,2,0.0,4040.8
alwar,clearing,0,6,7,803.2,8280.4
alxa,clearing,0,1,2,0.0,0.0
aly_kyuyel,clearing,0,1,2,0.0,0.0
alyanbulag,clearing,0,9,10,0.0,3562.9
alymdya,clearing,0,1,2,0.0,0.0
alysardakh,clearing,0,1,2,0.0,2117.4
alytus,clearing,1,4,5,1826.1,14831.5
am_dam,clearing,0,3,4,0.0,23047.7
am_djemena,clearing,0,2,3,0.0,15769.9
amabe,clearing,0,6,7,289.4,46588.0
amadiya,clearing,0,2,3,122.6,8259.8
amaga,clearing,0,6,7,31.9,4814.9
amahami,clearing,0,2,3,0.0,22533.6
amaigbo,clearing,1,5,6,2107.7,24279.4
amaimon,clearing,1,6,7,2261.9,30216.9
amakusa,clearing,0,4,5,831.4,28647.7
amal,clearing,0,1,2,96.5,2083.4
amalik,clearing,0,1,2,0.0,1496.0
amalyk,clearing,0,1,2,0.0,51.0
amami_ooshima,clearing,0,5,6,8.9,24394.7
amangu,clearing,0,1,2,0.0,2055.0
amaravati,clearing,0,4,5,19.5,21015.1
amarbayas_galang,clearing,0,9,10,3.2,2726.4
amarendrapura,clearing,0,4,5,0.0,27405.5
amargosa,clearing,0,2,3,0.0,1487.3
amarkantak,clearing,2,9,10,7875.6,48489.1
amasipukwek,clearing,0,1,2,0.0,4036.3
amasra,clearing,0,4,5,0.0,7769.4
amassing,clearing,0,6,7,0.2,18039.7
amasya,clearing,1,2,3,3523.5,13529.8
amaticoztitlan,clearing,1,7,8,3014.0,53973.6
amaxacotlan,clearing,0,6,7,14.1,26688.9
amaye,clearing,0,6,7,13.0,20190.6
amazar,clearing,0,1,2,0.0,3871.8
ambaca,clearing,0,7,8,0.0,110301.5
ambae,clearing,0,7,8,2.6,25820.7
ambagarh,clearing,2,8,9,6767.6,62052.7
ambalanjakomby,clearing,0,7,8,39.9,39983.9
ambam,clearing,0,6,7,0.1,26165.0
ambarchik,clearing,0,1,2,0.0,0.0
ambat,clearing,0,6,7,0.0,26685.8
ambatomanoina,clearing,0,6,7,3.5,35291.3
ambatondrazaka,clearing,0,6,7,406.2,41336.5
amber_loc,clearing,1,3,4,2133.9,7457.5
amberd,clearing,0,2,3,1096.5,9583.7
amberg,clearing,1,1,2,4503.6,7982.0
ambikapur,clearing,1,8,9,2900.5,46004.9
ambilobe,clearing,0,6,7,126.9,50958.2
amblu_kai,clearing,0,1,2,0.0,12674.6
ambohidray,clearing,0,6,7,194.7,48289.3
amboim,clearing,0,6,7,0.0,67714.6
amboise,clearing,3,5,5,15442.1,21018.5
ambolosy,clearing,0,7,8,0.0,41513.8
ambositra,clearing,0,5,6,14.2,65099.7
ambovontany,clearing,0,5,6,0.0,15789.6
ambraw,clearing,0,5,6,169.8,45097.5
ambriz,clearing,0,6,7,0.0,83036.6
ambrizete,clearing,0,7,8,0.0,58461.3
ambrym,clearing,0,7,8,3.2,37412.4
ambuila,clearing,0,9,10,0.0,42375.2
amchok,clearing,0,1,2,0.0,131.4
amdoukal,clearing,0,0,0,542.4,610.4
