location_tag,good,predicted,target,reason
huari,cotton,-0.0700,,not viable in the efficiency data
ijebu_ode,cotton,-0.2600,-0.3730,predicted below floor -0.2
ilog,cotton,-0.2600,,not viable in the efficiency data
itzamkanac,cotton,-0.2600,-0.3947,predicted below floor -0.2
jiaha,cotton,-0.2500,-0.1922,predicted below floor -0.2
jiaohua,cotton,-0.2600,-0.2661,predicted below floor -0.2
kandong,cotton,-0.2600,0.0007,predicted below floor -0.2
karajia,cotton,-0.0700,,not viable in the efficiency data
kyaukse,cotton,-0.2600,-0.2976,predicted below floor -0.2
lucca,cotton,-0.2500,-0.4023,predicted below floor -0.2
luliang,cotton,0.0700,,not viable in the efficiency data
maheshpur,cotton,-0.4400,-0.4278,predicted below floor -0.2
maukallaqta,cotton,-0.0700,,not viable in the efficiency data
mayapan,cotton,-0.2600,-0.4180,predicted below floor -0.2
menghai,cotton,-0.2800,,not viable in the efficiency data
nanan_quanzhou,cotton,-0.2200,-0.1007,predicted below floor -0.2
nanning,cotton,0.0700,,not viable in the efficiency data
neuse,cotton,-0.3200,,not viable in the efficiency data
noh_peten,cotton,-0.2600,0.2902,predicted below floor -0.2
ocotelolco,cotton,-0.0400,,not viable in the efficiency data
ohoopee,cotton,-0.2200,0.0679,predicted below floor -0.2
oyo_ile,cotton,-0.2600,-0.0928,predicted below floor -0.2
ozoro,cotton,-0.2500,-0.4546,predicted below floor -0.2
pacaca,cotton,-0.2600,,not viable in the efficiency data
pebuenmapu,cotton,-0.2800,,not viable in the efficiency data
peedee,cotton,-0.3200,-0.4126,predicted below floor -0.2
pumpu,cotton,-0.0700,,not viable in the efficiency data
qiubei,cotton,-0.2500,-0.1808,predicted below floor -0.2
rigyal,cotton,0.1300,,not viable in the efficiency data
seqse_qaqa,cotton,-0.0700,,not viable in the efficiency data
shilong,cotton,-0.2000,,not viable in the efficiency data
sicasica,cotton,0.1200,,not viable in the efficiency data
sotk,cotton,-0.2200,,not viable in the efficiency data
talisi,cotton,-0.2200,-0.4086,predicted below floor -0.2
tases,cotton,-0.2600,-0.4214,predicted below floor -0.2
teayotlan,cotton,-0.2600,-0.3052,predicted below floor -0.2
tede,cotton,-0.2600,-0.0211,predicted below floor -0.2
weiqing,cotton,-0.2500,-0.4977,predicted below floor -0.2
wuxi,cotton,-0.3200,-0.2337,predicted below floor -0.2
yangchun,cotton,-0.2800,,not viable in the efficiency data
yeongdong,cotton,-0.3200,-0.4419,predicted below floor -0.2
zhangpu,cotton,-0.2600,-0.1256,predicted below floor -0.2
asir,dyes,0.0200,,not viable in the efficiency data
bades,dyes,-0.3500,-0.0436,predicted below floor -0.2
beni_sabih,dyes,-0.3500,,not viable in the efficiency data
ghariyan,dyes,-0.2000,,not viable in the efficiency data
maxorata,dyes,-0.3500,,not viable in the efficiency data
ouargla,dyes,-0.3500,,not viable in the efficiency data
sehwan,dyes,0.0400,,not viable in the efficiency data
silla,dyes,-0.3500,,not viable in the efficiency data
teguise,dyes,-0.1300,,not viable in the efficiency data
yenecamu,dyes,-0.3500,-0.1942,predicted below floor -0.2
adirondacks,fiber_crops,-0.3200,-0.4783,predicted below floor -0.2
aizkraukle,fiber_crops,-0.3200,-0.3550,predicted below floor -0.2
altan_gadas,fiber_crops,-0.3200,,not viable in the efficiency data
amiskwaciwiy,fiber_crops,-0.3200,-0.4388,predicted below floor -0.2
ashevo,fiber_crops,-0.3200,-0.4009,predicted below floor -0.2
astrina,fiber_crops,-0.3200,-0.3346,predicted below floor -0.2
bakhmach,fiber_crops,-0.3200,-0.2952,predicted below floor -0.2
balikley,fiber_crops,-0.3200,-0.0806,predicted below floor -0.2
bardejov,fiber_crops,-0.3200,-0.3098,predicted below floor -0.2
barza,fiber_crops,-0.3200,-0.1814,predicted below floor -0.2
becaguimec,fiber_crops,-0.3200,,not viable in the efficiency data
belgorod,fiber_crops,-0.3200,-0.3063,predicted below floor -0.2
beljamen,fiber_crops,-0.3200,-0.2466,predicted below floor -0.2
benewah,fiber_crops,-0.3200,-0.3200,predicted below floor -0.2
berlin,fiber_crops,-0.3200,-0.2728,predicted below floor -0.2
biecz,fiber_crops,-0.3200,-0.2530,predicted below floor -0.2
bogorodskoye,fiber_crops,-0.3200,-0.3873,predicted below floor -0.2
boorj,fiber_crops,-0.3200,-0.4778,predicted below floor -0.2
borisogleb,fiber_crops,-0.3200,-0.4556,predicted below floor -0.2
busiyn,fiber_crops,-0.3200,,not viable in the efficiency data
ceepee,fiber_crops,-0.3200,-0.4364,predicted below floor -0.2
chelmno,fiber_crops,-0.3200,-0.2583,predicted below floor -0.2
chernyany,fiber_crops,-0.3200,-0.3086,predicted below floor -0.2
chortolisy,fiber_crops,-0.3200,-0.3127,predicted below floor -0.2
cumumba,fiber_crops,-0.3200,-0.3131,predicted below floor -0.2
deh_kord,fiber_crops,-0.3200,-0.2983,predicted below floor -0.2
dobele,fiber_crops,-0.3200,-0.3462,predicted below floor -0.2
drysvyaty,fiber_crops,-0.3200,-0.3658,predicted below floor -0.2
dubna,fiber_crops,-0.3200,-0.4586,predicted below floor -0.2
durbe,fiber_crops,-0.3200,-0.3461,predicted below floor -0.2
dzierzgon,fiber_crops,-0.3200,-0.3126,predicted below floor -0.2
dzisna,fiber_crops,-0.3200,-0.3748,predicted below floor -0.2
enisala,fiber_crops,-0.3200,-0.0467,predicted below floor -0.2
evur,fiber_crops,-0.1700,,not viable in the efficiency data
fastiv,fiber_crops,-0.3200,-0.2517,predicted below floor -0.2
gawakomitigweia,fiber_crops,-0.3200,-0.4493,predicted below floor -0.2
gdov,fiber_crops,-0.3200,-0.4280,predicted below floor -0.2
golino,fiber_crops,-0.3200,-0.4164,predicted below floor -0.2
gottingen,fiber_crops,-0.3200,-0.2262,predicted below floor -0.2
grodek,fiber_crops,-0.3200,-0.3211,predicted below floor -0.2
hangu_romania,fiber_crops,-0.3200,-0.3710,predicted below floor -0.2
hjo,fiber_crops,-0.3200,-0.3591,predicted below floor -0.2
hlusk,fiber_crops,-0.3200,-0.3239,predicted below floor -0.2
hochelaga,fiber_crops,-0.3200,-0.3705,predicted below floor -0.2
jurchi,fiber_crops,-0.3200,-0.1029,predicted below floor -0.2
kanevskaya,fiber_crops,-0.3200,0.0585,predicted below floor -0.2
kastsyukovichy,fiber_crops,-0.3200,-0.3588,predicted below floor -0.2
katepwewi,fiber_crops,-0.3200,-0.4398,predicted below floor -0.2
kehek_aike,fiber_crops,-0.3200,,not viable in the efficiency data
khoiniki,fiber_crops,-0.3200,-0.2902,predicted below floor -0.2
kholm_tver,fiber_crops,-0.3200,-0.4572,predicted below floor -0.2
kickatari,fiber_crops,-0.3200,-0.1647,predicted below floor -0.2
kldekari,fiber_crops,-0.3200,-0.4254,predicted below floor -0.2
klepiki,fiber_crops,-0.3200,-0.4144,predicted below floor -0.2
koostaaka,fiber_crops,-0.3200,-0.4286,predicted below floor -0.2
koponovo,fiber_crops,-0.3200,-0.4066,predicted below floor -0.2
kopyshche,fiber_crops,-0.3200,-0.3006,predicted below floor -0.2
krasavino,fiber_crops,-0.3200,-0.4948,predicted below floor -0.2
kremenets,fiber_crops,-0.3200,-0.2764,predicted below floor -0.2
kreminna,fiber_crops,-0.3200,-0.2081,predicted below floor -0.2
kulmbach,fiber_crops,-0.3200,-0.2523,predicted below floor -0.2
lelow,fiber_crops,-0.3200,-0.2792,predicted below floor -0.2
lezhnevo,fiber_crops,-0.3200,-0.4572,predicted below floor -0.2
linz,fiber_crops,-0.3200,-0.2012,predicted below floor -0.2
lubartow,fiber_crops,-0.3200,-0.2751,predicted below floor -0.2
luninets,fiber_crops,-0.3200,-0.3441,predicted below floor -0.2
lutava,fiber_crops,-0.3200,-0.2778,predicted below floor -0.2
lyakhovichy,fiber_crops,-0.3200,-0.4190,predicted below floor -0.2
lyubashany,fiber_crops,-0.3200,-0.3641,predicted below floor -0.2
megrino,fiber_crops,-0.3200,-0.4863,predicted below floor -0.2
mezhutka,fiber_crops,-0.3200,,not viable in the efficiency data
minizuahe,fiber_crops,-0.3200,-0.4295,predicted below floor -0.2
minnewaukan,fiber_crops,-0.3200,-0.4070,predicted below floor -0.2
mokowan,fiber_crops,-0.3200,-0.4270,predicted below floor -0.2
mykytyn_rih,fiber_crops,-0.3200,-0.0834,predicted below floor -0.2
nebesek,fiber_crops,-0.3200,-0.4215,predicted below floor -0.2
nikolo_dor,fiber_crops,-0.3200,-0.4529,predicted below floor -0.2
nizhelskoe,fiber_crops,-0.3200,-0.4229,predicted below floor -0.2
oancea,fiber_crops,-0.3200,0.0011,predicted below floor -0.2
okobojo,fiber_crops,-0.3200,-0.3320,predicted below floor -0.2
oleksandrivka,fiber_crops,-0.3200,-0.1805,predicted below floor -0.2
opishnya,fiber_crops,-0.3200,-0.2606,predicted below floor -0.2
orekhovna,fiber_crops,-0.3200,-0.4192,predicted below floor -0.2
ossossane,fiber_crops,-0.3200,-0.3317,predicted below floor -0.2
ostrechiny,fiber_crops,-0.3200,-0.4978,predicted below floor -0.2
oweekeno,fiber_crops,-0.3200,,not viable in the efficiency data
padise,fiber_crops,-0.3200,-0.4112,predicted below floor -0.2
patapsco,fiber_crops,-0.3200,-0.1784,predicted below floor -0.2
pogostishche,fiber_crops,-0.3200,-0.4093,predicted below floor -0.2
pokegama,fiber_crops,-0.3200,-0.4042,predicted below floor -0.2
poughkeepsie,fiber_crops,-0.3200,-0.1745,predicted below floor -0.2
prudnik,fiber_crops,-0.3200,-0.1928,predicted below floor -0.2
pukiupukio,fiber_crops,-0.3200,-0.3298,predicted below floor -0.2
qahqaheh,fiber_crops,-0.3200,0.0119,predicted below floor -0.2
qalancaq,fiber_crops,-0.3200,-0.0952,predicted below floor -0.2
qonirat,fiber_crops,-0.1800,,not viable in the efficiency data
raguli,fiber_crops,-0.3200,-0.1131,predicted below floor -0.2
rakau,fiber_crops,-0.3200,-0.3619,predicted below floor -0.2
rakitnya,fiber_crops,-0.3200,-0.4586,predicted below floor -0.2
raznezhye,fiber_crops,-0.3200,-0.4160,predicted below floor -0.2
revny,fiber_crops,-0.3200,-0.3616,predicted below floor -0.2
rogachevo,fiber_crops,-0.3200,-0.4586,predicted below floor -0.2
rothenburg,fiber_crops,-0.3200,-0.2163,predicted below floor -0.2
rothenburg_oberlausitz,fiber_crops,-0.3200,-0.1785,predicted below floor -0.2
samarchyk,fiber_crops,-0.3200,-0.1717,predicted below floor -0.2
selenge,fiber_crops,-0.3200,-0.4971,predicted below floor -0.2
serebryanye_prudy,fiber_crops,-0.3200,-0.3942,predicted below floor -0.2
shackamaxon,fiber_crops,-0.3200,-0.1907,predicted below floor -0.2
shantsa,fiber_crops,-0.3200,,not viable in the efficiency data
shenga_kurya,fiber_crops,-0.3200,,not viable in the efficiency data
shigony,fiber_crops,-0.3200,-0.4231,predicted below floor -0.2
sogndal,fiber_crops,-0.3200,,not viable in the efficiency data
sokilets,fiber_crops,-0.3200,-0.2170,predicted below floor -0.2
sordavala,fiber_crops,-0.3200,,not viable in the efficiency data
spasskoye,fiber_crops,-0.3200,-0.4821,predicted below floor -0.2
spaxomin,fiber_crops,-0.3200,-0.4683,predicted below floor -0.2
st_martin,fiber_crops,-0.3200,-0.3680,predicted below floor -0.2
starodub_votsky,fiber_crops,-0.3200,-0.4136,predicted below floor -0.2
straupe,fiber_crops,-0.3200,-0.3840,predicted below floor -0.2
svir_beloozero,fiber_crops,-0.3200,-0.4999,predicted below floor -0.2
swidwin,fiber_crops,-0.3200,-0.2820,predicted below floor -0.2
szprotawa,fiber_crops,-0.3200,-0.1927,predicted below floor -0.2
taganrog,fiber_crops,-0.3200,-0.0963,predicted below floor -0.2
talitsa_yelets,fiber_crops,-0.3200,-0.3854,predicted below floor -0.2
teiehonwahkhkwatha,fiber_crops,-0.3200,-0.3424,predicted below floor -0.2
tereshkovichy,fiber_crops,-0.3200,-0.3258,predicted below floor -0.2
tokmak,fiber_crops,-0.3200,-0.0723,predicted below floor -0.2
toniato,fiber_crops,-0.3200,-0.3509,predicted below floor -0.2
tsepina,fiber_crops,-0.3200,0.1089,predicted below floor -0.2
tura,fiber_crops,-0.3200,-0.4908,predicted below floor -0.2
ust_tsimla,fiber_crops,-0.3200,-0.1340,predicted below floor -0.2
vetlitsy,fiber_crops,-0.3200,-0.4229,predicted below floor -0.2
vilaka,fiber_crops,-0.3200,-0.3928,predicted below floor -0.2
vilkmerge,fiber_crops,-0.3200,-0.3354,predicted below floor -0.2
vonnu,fiber_crops,-0.3200,-0.4053,predicted below floor -0.2
voronizh_chernihiv,fiber_crops,-0.3200,-0.3204,predicted below floor -0.2
vorotynsk,fiber_crops,-0.3200,-0.4122,predicted below floor -0.2
vydreya,fiber_crops,-0.3200,-0.3823,predicted below floor -0.2
woonsocket,fiber_crops,-0.3200,-0.3557,predicted below floor -0.2
ya_kti_ki,fiber_crops,-0.3200,,not viable in the efficiency data
yahotyn,fiber_crops,-0.3200,-0.2416,predicted below floor -0.2
yelanets,fiber_crops,-0.3200,-0.1539,predicted below floor -0.2
yiman,fiber_crops,-0.1700,,not viable in the efficiency data
zemlyansk,fiber_crops,-0.3200,-0.3458,predicted below floor -0.2
zhizhets,fiber_crops,-0.3200,-0.4134,predicted below floor -0.2
abiz,fruit,-0.2900,-0.4707,predicted below floor -0.2
abu_qasr,fruit,-0.3600,-0.2979,predicted below floor -0.2
acteon,fruit,-0.0500,,not viable in the efficiency data
adrar,fruit,-0.3600,-0.2609,predicted below floor -0.2
afif,fruit,-0.4400,-0.4294,predicted below floor -0.2
ahel,fruit,-0.4400,-0.4631,predicted below floor -0.2
ailinglaplap_atoll,fruit,-0.0500,,not viable in the efficiency data
ajdabiya,fruit,-0.3600,-0.2478,predicted below floor -0.2
ajim,fruit,-0.5000,-0.2237,predicted below floor -0.2
akola,fruit,-0.4500,-0.4931,predicted below floor -0.2
al_aythamah,fruit,-0.4400,-0.4338,predicted below floor -0.2
al_bad,fruit,-0.4400,-0.4275,predicted below floor -0.2
al_bidda,fruit,-0.4400,-0.4036,predicted below floor -0.2
al_fuqarah,fruit,-0.4400,-0.4325,predicted below floor -0.2
al_ghat,fruit,-0.4400,-0.3673,predicted below floor -0.2
al_ghazalah,fruit,-0.4400,-0.4423,predicted below floor -0.2
al_haddar,fruit,-0.3600,-0.3554,predicted below floor -0.2
al_haqu,fruit,-0.4400,-0.3629,predicted below floor -0.2
al_hawra,fruit,-0.3600,-0.3833,predicted below floor -0.2
al_hufayr,fruit,-0.4400,-0.3965,predicted below floor -0.2
al_hufayrah,fruit,-0.4400,-0.4146,predicted below floor -0.2
al_huwayyit,fruit,-0.3600,-0.3605,predicted below floor -0.2
al_jawf,fruit,-0.3600,-0.2497,predicted below floor -0.2
al_kamil_wal_wafi,fruit,-0.4400,-0.2110,predicted below floor -0.2
al_kharabah,fruit,-0.3600,-0.2402,predicted below floor -0.2
al_khosuf,fruit,-0.3800,-0.3555,predicted below floor -0.2
al_khums,fruit,-0.3600,-0.3892,predicted below floor -0.2
al_laghfiyyah,fruit,-0.4400,-0.4211,predicted below floor -0.2
al_maghib,fruit,-0.4400,-0.4188,predicted below floor -0.2
al_majazah,fruit,-0.3600,-0.3501,predicted below floor -0.2
al_mundassah,fruit,-0.4400,-0.2604,predicted below floor -0.2
al_muthainiyah,fruit,-0.3600,-0.4568,predicted below floor -0.2
al_muwaylih,fruit,-0.4400,-0.4196,predicted below floor -0.2
al_qaiyah,fruit,-0.3600,-0.3483,predicted below floor -0.2
al_qara,fruit,-0.3600,-0.3261,predicted below floor -0.2
al_qunfudhah,fruit,-0.4400,-0.2789,predicted below floor -0.2
al_suman,fruit,-0.3600,-0.3389,predicted below floor -0.2
al_thulayma,fruit,-0.4400,-0.3416,predicted below floor -0.2
al_ukhaydir,fruit,-0.3600,-0.3990,predicted below floor -0.2
al_ula,fruit,-0.3600,-0.3988,predicted below floor -0.2
al_yamamah,fruit,-0.3600,-0.3725,predicted below floor -0.2
albacete,fruit,-0.2300,,not viable in the efficiency data
ali_sabieh,fruit,-0.4400,-0.4495,predicted below floor -0.2
alicante,fruit,-0.2300,-0.2041,predicted below floor -0.2
an_nasifah,fruit,-0.3600,-0.2835,predicted below floor -0.2
anah,fruit,-0.3600,-0.2889,predicted below floor -0.2
anew,fruit,-0.2700,-0.4906,predicted below floor -0.2
angkor_borei,fruit,-0.2500,0.0230,predicted below floor -0.2
ar_rayn,fruit,-0.4400,-0.4082,predicted below floor -0.2
ar_rukai,fruit,-0.3600,-0.3413,predicted below floor -0.2
arar,fruit,-0.4400,-0.3781,predicted below floor -0.2
aratika_atoll,fruit,-0.0500,,not viable in the efficiency data
ardakan,fruit,-0.3600,-0.4969,predicted below floor -0.2
ardestan,fruit,-0.4100,-0.4222,predicted below floor -0.2
ariste,fruit,-0.2400,0.0624,predicted below floor -0.2
arno_atoll,fruit,-0.0500,,not viable in the efficiency data
as_salafiyah,fruit,-0.3800,-0.3888,predicted below floor -0.2
ash_shaqiqah,fruit,-0.4400,-0.3843,predicted below floor -0.2
ash_shibahah,fruit,-0.4400,-0.4349,predicted below floor -0.2
ash_shuaybah_hail,fruit,-0.3600,-0.4078,predicted below floor -0.2
assa,fruit,-0.3600,-0.4127,predicted below floor -0.2
asuf,fruit,-0.3600,,not viable in the efficiency data
auwe,fruit,-0.4400,-0.4758,predicted below floor -0.2
az_zilfi,fruit,-0.4400,-0.4206,predicted below floor -0.2
az_zubayir,fruit,-0.4400,-0.4469,predicted below floor -0.2
bacuma,fruit,-0.2700,-0.3826,predicted below floor -0.2
badr_hunayn,fruit,-0.4400,-0.4293,predicted below floor -0.2
bafq,fruit,-0.3600,-0.4452,predicted below floor -0.2
baghin,fruit,-0.3300,,not viable in the efficiency data
bajdah,fruit,-0.4400,-0.4106,predicted below floor -0.2
bajestan,fruit,-0.3600,-0.4613,predicted below floor -0.2
balanggarra,fruit,-0.1600,,not viable in the efficiency data
bam,fruit,-0.4400,-0.3663,predicted below floor -0.2
bam_esfarayen,fruit,-0.2300,-0.4952,predicted below floor -0.2
bandar_rig,fruit,-0.3600,,not viable in the efficiency data
baraqish,fruit,-0.3600,-0.3220,predicted below floor -0.2
barkdiz,fruit,-0.2300,-0.4502,predicted below floor -0.2
bechar,fruit,-0.3600,-0.4676,predicted below floor -0.2
bengkalis,fruit,-0.2700,,not viable in the efficiency data
bent,fruit,-0.4400,-0.4656,predicted below floor -0.2
berber,fruit,-0.3600,-0.3203,predicted below floor -0.2
beyza,fruit,-0.3100,-0.4554,predicted below floor -0.2
bikini_atoll,fruit,-0.1000,,not viable in the efficiency data
bilghah,fruit,-0.4400,-0.2823,predicted below floor -0.2
bir_al_qurr,fruit,-0.4400,-0.3635,predicted below floor -0.2
birjand,fruit,-0.3700,-0.4961,predicted below floor -0.2
borun,fruit,-0.2400,0.1576,predicted below floor -0.2
bost,fruit,-0.3000,-0.3761,predicted below floor -0.2
brak,fruit,-0.3600,-0.4040,predicted below floor -0.2
bria,fruit,-0.2400,-0.2332,predicted below floor -0.2
bukhara,fruit,-0.2700,-0.4674,predicted below floor -0.2
buraydah,fruit,-0.4400,-0.4242,predicted below floor -0.2
burraq,fruit,-0.2900,-0.4717,predicted below floor -0.2
calkini,fruit,-0.3600,-0.4395,predicted below floor -0.2
cantagalo,fruit,-0.2400,0.1610,predicted below floor -0.2
carteret_atoll,fruit,-0.0500,,not viable in the efficiency data
chehl_dokhtaran,fruit,-0.3600,-0.4572,predicted below floor -0.2
chibuene,fruit,-0.4400,-0.3916,predicted below floor -0.2
chiluane,fruit,-0.2400,-0.4011,predicted below floor -0.2
chuuk,fruit,-0.1700,,not viable in the efficiency data
dangbon,fruit,-0.2400,-0.4891,predicted below floor -0.2
dar_es_salaam,fruit,-0.2500,-0.2297,predicted below floor -0.2
dashahai,fruit,-0.4100,,not viable in the efficiency data
deyhuk,fruit,-0.3600,-0.3933,predicted below floor -0.2
dhahran,fruit,-0.3600,-0.4219,predicted below floor -0.2
dhi_ain,fruit,-0.4400,-0.4445,predicted below floor -0.2
dia,fruit,-0.4200,-0.4459,predicted below floor -0.2
dire_dawa,fruit,-0.5000,-0.4489,predicted below floor -0.2
djanet,fruit,-0.3600,-0.2113,predicted below floor -0.2
dongola,fruit,-0.3600,-0.3901,predicted below floor -0.2
durun,fruit,-0.2700,-0.4876,predicted below floor -0.2
el_alamein,fruit,-0.3000,-0.4588,predicted below floor -0.2
el_bayadh,fruit,-0.2900,-0.4868,predicted below floor -0.2
el_golea,fruit,-0.4400,-0.3739,predicted below floor -0.2
el_guerrara,fruit,-0.4400,-0.4752,predicted below floor -0.2
el_metemma,fruit,-0.3600,-0.2369,predicted below floor -0.2
eleuthera,fruit,-0.4200,-0.2191,predicted below floor -0.2
eqlid,fruit,-0.3700,-0.4807,predicted below floor -0.2
fadak,fruit,-0.3600,-0.3466,predicted below floor -0.2
fahraj_narmashir,fruit,-0.3600,-0.3720,predicted below floor -0.2
fayd,fruit,-0.4400,-0.4071,predicted below floor -0.2
firabr,fruit,-0.4100,-0.4530,predicted below floor -0.2
gafsa,fruit,-0.3800,-0.3674,predicted below floor -0.2
gaiman,fruit,-0.3300,,not viable in the efficiency data
galkayo,fruit,-0.3600,,not viable in the efficiency data
gamrun,fruit,-0.4400,-0.4556,predicted below floor -0.2
gbabiri,fruit,-0.2400,-0.1027,predicted below floor -0.2
ghadames,fruit,-0.4400,-0.1733,predicted below floor -0.2
ghazni,fruit,-0.2300,,not viable in the efficiency data
ghumayqah,fruit,-0.4400,-0.4212,predicted below floor -0.2
gogodala,fruit,-0.1100,,not viable in the efficiency data
gwatar,fruit,-0.3600,-0.4693,predicted below floor -0.2
haapai,fruit,-0.1700,,not viable in the efficiency data
habiyah,fruit,-0.4400,-0.4049,predicted below floor -0.2
hajar,fruit,-0.3600,-0.2748,predicted below floor -0.2
hami,fruit,-0.4100,,not viable in the efficiency data
haylan,fruit,-0.3600,-0.4450,predicted below floor -0.2
hinglaj,fruit,-0.4400,-0.4740,predicted below floor -0.2
hudaida,fruit,-0.3800,-0.3772,predicted below floor -0.2
ibri,fruit,-0.3600,-0.2645,predicted below floor -0.2
igli,fruit,-0.3600,-0.4247,predicted below floor -0.2
itya_mahadu,fruit,-0.3600,-0.4130,predicted below floor -0.2
jagin_zir,fruit,-0.4400,-0.4530,predicted below floor -0.2
jahrom,fruit,-0.4400,-0.4269,predicted below floor -0.2
jilib,fruit,-0.3600,-0.3557,predicted below floor -0.2
jondaq,fruit,-0.3600,-0.4820,predicted below floor -0.2
jumento,fruit,-0.3600,-0.4171,predicted below floor -0.2
kaabu,fruit,-0.2400,-0.3316,predicted below floor -0.2
kabara_atoll,fruit,-0.0500,,not viable in the efficiency data
kabul,fruit,-0.3100,0.1785,predicted below floor -0.2
kaditshwene,fruit,-0.3600,-0.2782,predicted below floor -0.2
kahnuj,fruit,-0.3600,-0.4280,predicted below floor -0.2
kaiama,fruit,-0.2400,-0.4272,predicted below floor -0.2
kandahar,fruit,-0.3600,-0.3299,predicted below floor -0.2
karaj_abi_dulaf,fruit,-0.0800,,not viable in the efficiency data
karbala,fruit,-0.3000,-0.2521,predicted below floor -0.2
karvandar,fruit,-0.4400,-0.4462,predicted below floor -0.2
kaweinag,fruit,-0.2700,-0.1632,predicted below floor -0.2
kebili,fruit,-0.4400,-0.4256,predicted below floor -0.2
kerman,fruit,-0.3300,,not viable in the efficiency data
khamir,fruit,-0.3000,-0.4236,predicted below floor -0.2
khaybar,fruit,-0.3600,-0.4824,predicted below floor -0.2
