location_tag,is_ownable,region,macro_region,natural_target_people,starting_target_people,maximum_target_people,attribute_flat_people,attribute_maximum_info_people,development,starting_model_people,maximum_model_people,start_exceeds_attribute_maximum
adlur,True,deccan_region,south_asia,43053.1,80581.4,227732.4,32100.0,128400.0,36.3,65600.0,241900.0,False
ado_ekiti,True,guinea_region,west_africa,32034.1,39255.9,85415.3,29200.0,93200.0,7.6,34400.0,176000.0,False
adoni,True,deccan_region,south_asia,36586.6,64888.1,151149.6,27500.0,69100.0,33.7,56200.0,95700.0,False
adony,True,carpathia_region,eastern_europe,41348.6,81578.6,132766.2,30300.0,138200.0,48.2,66400.0,139200.0,False
adra,True,iberia_region,western_europe,24287.2,24519.0,52393.6,22800.0,47300.0,19.4,22800.0,54000.0,False
adrada,True,iberia_region,western_europe,25630.5,26409.1,57046.8,22800.0,47300.0,21.3,22800.0,51800.0,False
adranos,True,anatolia_region,middle_east,26844.5,37657.5,109245.3,28900.0,89400.0,23.4,36600.0,95500.0,False
adrar,True,maghreb_region,north_africa,8825.0,8825.0,8825.0,7900.0,9200.0,9.0,7900.0,18400.0,False
adraskan,True,persia_region,middle_east,20428.8,20548.5,42934.1,10800.0,31900.0,18.0,10800.0,44300.0,False
adshusheer,True,east_coast_region,north_america,42385.7,51897.8,256256.4,26500.0,144400.0,4.9,34900.0,244600.0,False
aduma,True,central_africa_region,central_africa,29451.8,29482.6,80417.2,28200.0,76400.0,0.0,28200.0,102000.0,False
adwa,True,ethiopia_region,east_africa,34565.3,34662.0,80874.3,30000.0,56800.0,14.5,30000.0,127300.0,False
adyukh,True,steppes_region,eastern_europe,30415.2,31130.7,155252.1,28400.0,108000.0,10.6,28400.0,110800.0,False
adyumba,True,central_africa_region,central_africa,28493.9,28731.2,76290.3,23100.0,60800.0,0.0,23100.0,175200.0,False
adzera,True,melanesia_region,pacific_islands,25482.4,27622.7,98430.9,24600.0,92800.0,1.0,24600.0,209500.0,False
aekyom,True,melanesia_region,pacific_islands,31848.4,33775.6,109586.3,18900.0,75000.0,0.0,19600.0,221300.0,False
aerzhai,True,north_china_region,east_asia,11219.7,11356.4,23455.9,8100.0,19800.0,31.9,8100.0,37000.0,False
afade,True,sahel_region,west_africa,35201.0,40288.5,68764.5,23900.0,84900.0,20.4,25300.0,78700.0,False
afanasyevo,True,ural_region,eastern_europe,23877.2,25753.5,83255.7,14800.0,45300.0,2.7,14800.0,59400.0,False
afif,True,arabia_region,middle_east,10479.9,10479.9,10479.9,9500.0,10800.0,12.7,9500.0,20000.0,False
afikpo,True,guinea_region,west_africa,34072.1,38770.3,80453.9,38400.0,113100.0,9.8,39100.0,251200.0,False
afmadow,True,somalia_region,east_africa,33289.7,33289.7,63714.3,16600.0,34500.0,13.5,16600.0,46300.0,False
afrera,True,ethiopia_region,east_africa,11084.1,11084.1,11084.1,8900.0,10700.0,9.3,8900.0,19400.0,True
afrin,True,crescent_region,middle_east,40285.0,56328.1,88536.3,25900.0,68400.0,35.0,47200.0,76900.0,False
afsin,True,anatolia_region,middle_east,39826.2,52102.4,79607.3,18000.0,52500.0,42.5,25700.0,66900.0,False
afso,True,maghreb_region,north_africa,29176.9,37195.9,59648.4,12400.0,30500.0,15.4,20100.0,32700.0,True
aga,True,mongolia_region,east_asia,12483.4,12487.4,50235.9,13900.0,41500.0,7.6,13900.0,50800.0,False
agadem,True,sahel_region,west_africa,6260.2,6260.2,6260.2,8900.0,10700.0,8.4,8900.0,19400.0,False
agadez,True,sahel_region,west_africa,6572.5,6700.6,6700.6,9500.0,10800.0,5.2,9500.0,34200.0,False
agadir,True,maghreb_region,north_africa,26395.0,32252.6,59109.8,21900.0,50400.0,24.1,29600.0,62100.0,False
agaes,True,chaco_region,south_america,49093.3,49093.3,83101.2,25800.0,160500.0,1.1,25800.0,328500.0,False
agai_ticutta,True,west_coast_region,north_america,4824.5,4824.5,14286.9,18600.0,54200.0,0.0,18600.0,60500.0,False
agaidika,True,west_coast_region,north_america,3494.3,3494.3,11370.5,9200.0,24000.0,0.0,9200.0,40900.0,False
agar,True,central_india_region,south_asia,26562.8,53207.6,92103.2,23600.0,61800.0,43.5,48100.0,170100.0,False
agaro,True,ethiopia_region,east_africa,27744.6,27817.8,71829.7,30100.0,85300.0,9.5,30100.0,96700.0,False
agartala,True,bengal_region,south_asia,20795.5,100683.6,410983.3,22600.0,140500.0,35.0,101800.0,245800.0,False
agatsuma,True,japan_region,east_asia,24411.4,25770.2,129504.1,26300.0,98100.0,23.5,26300.0,107800.0,False
agawa,True,japan_region,east_asia,28853.8,31761.8,157216.2,18600.0,101600.0,24.0,18600.0,183800.0,False
agawa_superior,True,canada_region,north_america,4602.8,4602.8,35404.2,18800.0,60000.0,0.0,18800.0,83100.0,False
agawam,True,east_coast_region,north_america,34231.6,34231.6,152802.6,18200.0,63500.0,2.1,18200.0,77300.0,False
agayakan,True,east_siberia_region,north_asia,370.6,370.6,370.6,800.0,2200.0,0.0,800.0,21400.0,False
agbonle,True,guinea_region,west_africa,19198.1,20231.7,57973.4,24100.0,62300.0,3.2,24100.0,152800.0,False
agde,True,france_region,western_europe,47499.4,89804.4,106575.2,27300.0,95800.0,69.9,70000.0,112300.0,False
agdez,True,maghreb_region,north_africa,11124.9,11167.2,11207.3,8000.0,7300.0,11.6,8000.0,22500.0,True
agen,True,france_region,western_europe,32835.8,135048.7,147422.6,32800.0,136500.0,82.9,133500.0,150600.0,False
agh_qala,True,khorasan_region,central_asia,29339.6,30644.5,61964.2,15700.0,31100.0,12.1,15700.0,42900.0,False
agham_kot,True,western_india_region,south_asia,25441.8,43322.6,56098.7,8900.0,42200.0,34.4,27000.0,62500.0,True
aghkand,True,persia_region,middle_east,39040.8,42224.4,76688.8,12400.0,30500.0,24.0,12400.0,43100.0,True
aghmat,True,maghreb_region,north_africa,33411.5,33512.1,79348.5,27300.0,63300.0,17.9,27300.0,68500.0,False
agikuyu,True,swahili_coast_region,east_africa,47827.3,52857.2,135598.5,27600.0,81200.0,11.0,32800.0,135200.0,False
agnam_civol,True,guinea_region,west_africa,25643.1,25643.1,42594.5,8900.0,10700.0,3.0,8900.0,28400.0,True
agno,True,indonesia_region,south_east_asia,29837.5,38340.7,264364.3,25600.0,93000.0,10.1,25600.0,114900.0,False
agob,True,melanesia_region,pacific_islands,68645.4,69634.0,182829.1,37100.0,114000.0,0.0,37100.0,260500.0,False
agoo,True,indonesia_region,south_east_asia,30679.7,34517.9,217730.3,21700.0,72700.0,9.4,21700.0,93900.0,False
agordat,True,ethiopia_region,east_africa,29810.4,30011.3,58892.0,22000.0,48500.0,7.4,22000.0,57900.0,False
agori,True,central_india_region,south_asia,39003.4,57954.0,217843.9,27200.0,136800.0,30.3,46800.0,201500.0,False
agouasaque,True,east_coast_region,north_america,53363.6,53615.7,273722.1,30300.0,138200.0,3.0,30300.0,130800.0,False
agra,True,hindustan_region,south_asia,15067.4,50212.9,96254.1,31400.0,93000.0,63.3,49500.0,117500.0,False
agramunt,True,iberia_region,western_europe,37924.8,50283.2,87630.2,22300.0,58400.0,30.6,30000.0,68200.0,False
agreda,True,iberia_region,western_europe,30132.3,32410.3,92917.1,24500.0,80200.0,21.7,24500.0,91000.0,False
agror,True,hindustan_region,south_asia,20447.7,34591.4,74618.8,24000.0,133700.0,22.7,36900.0,126200.0,False
agsu,True,caucasus_region,eastern_europe,30326.9,31568.4,91492.0,22400.0,77800.0,10.8,23100.0,90300.0,False
aguacadiba,True,caribbean_region,north_america,41593.5,41593.5,199013.1,30300.0,123600.0,0.0,30300.0,244700.0,False
aguacana,True,mesoamerica_region,north_america,46124.0,54096.7,244055.5,29400.0,92200.0,8.6,37100.0,161800.0,False
aguacay,True,great_plains_region,north_america,39895.7,39909.0,239017.0,25600.0,137400.0,5.0,25600.0,221800.0,False
aguanish,True,canada_region,north_america,3753.0,3753.0,17926.8,11600.0,46800.0,0.0,11600.0,70400.0,False
aguasabon,True,canada_region,north_america,2952.3,2952.3,12966.5,17300.0,56400.0,0.0,17300.0,74500.0,False
aguere,True,macaronesia_region,north_africa,31862.7,34128.9,34367.3,20900.0,48800.0,7.8,20900.0,46900.0,False
aguiar,True,iberia_region,western_europe,37286.8,40412.6,84863.0,20900.0,26200.0,21.0,20900.0,42200.0,True
aguilar_de_campoo,True,iberia_region,western_europe,27891.0,30392.8,58367.2,29100.0,48300.0,25.6,29100.0,58100.0,False
agula,True,ethiopia_region,east_africa,37277.3,39139.4,86666.8,31500.0,60300.0,13.7,31500.0,134700.0,False
agulhas,True,southern_africa_region,southern_africa,7909.2,7909.9,27820.0,29800.0,69900.0,0.0,29800.0,78000.0,False
aguyaq,True,alaska_region,north_america,3635.1,3635.1,16170.2,1000.0,500.0,0.0,1000.0,29400.0,True
aguz,True,maghreb_region,north_africa,37642.7,39288.2,70449.4,21900.0,50400.0,21.7,22600.0,60700.0,False
agvituk,True,canada_region,north_america,1394.5,1394.5,2552.7,2500.0,7100.0,0.0,2500.0,28700.0,False
agw_aneq,True,alaska_region,north_america,2230.6,2230.6,7015.3,1600.0,3700.0,0.0,1600.0,24400.0,False
agwarmin,True,australia_region,australasia,10997.4,10997.4,68761.0,37800.0,70700.0,0.0,37800.0,88300.0,False
aha_macav,True,aridoamerica_region,north_america,5781.3,6172.2,15497.9,8000.0,7300.0,2.0,8000.0,32900.0,False
ahar,True,persia_region,middle_east,43469.6,44519.4,94372.7,24700.0,73400.0,16.9,24700.0,79500.0,False
ahaus,True,north_german_region,western_europe,35647.2,36552.8,135138.1,30300.0,101300.0,35.5,30300.0,111800.0,False
ahe,True,brazil_region,south_america,25593.4,25601.2,81009.9,23200.0,77800.0,0.0,23200.0,207100.0,False
ahel,True,persia_region,middle_east,17309.9,17815.0,43940.5,8000.0,7300.0,11.9,8000.0,28900.0,True
aheri,True,central_india_region,south_asia,40139.2,61683.9,225885.6,33400.0,106300.0,28.6,58900.0,203200.0,False
aheyya_fagg,True,ethiopia_region,east_africa,31644.7,31670.0,76752.6,32300.0,73900.0,7.6,32300.0,92500.0,False
ahkwesasne,True,canada_region,north_america,38829.7,38829.7,191509.7,28200.0,130400.0,3.0,28200.0,124300.0,False
ahkwesasne_ny,True,east_coast_region,north_america,36137.7,36137.7,166573.7,25600.0,91700.0,2.0,25600.0,101300.0,False
ahlat,True,caucasus_region,eastern_europe,40003.5,62410.3,89035.1,20000.0,81600.0,39.9,42800.0,84300.0,False
ahmad_khan,True,western_india_region,south_asia,15569.5,15569.5,30560.3,10900.0,17200.0,14.1,10900.0,42400.0,False
ahmednagar,True,deccan_region,south_asia,50088.7,75434.0,124178.6,31700.0,68200.0,40.6,59700.0,94800.0,True
ahna_wate,True,east_coast_region,north_america,28483.8,28483.8,106118.8,17700.0,59900.0,0.0,17700.0,73300.0,False
ahobalam,True,deccan_region,south_asia,41436.4,68162.7,177721.5,36500.0,107100.0,31.1,64600.0,122800.0,False
ahome,True,aridoamerica_region,north_america,32040.9,45214.6,185379.5,31400.0,86800.0,12.8,43200.0,109700.0,False
ahouenro,True,east_coast_region,north_america,38605.0,38605.0,206083.4,31500.0,122000.0,1.0,31500.0,129700.0,False
ahrweiler,True,north_german_region,western_europe,27551.0,65976.5,112018.4,25800.0,89200.0,49.7,65400.0,107800.0,False
ahsenisiipi,True,east_coast_region,north_america,56597.4,59147.3,305056.6,30300.0,144400.0,5.3,31000.0,131600.0,False
ahtopol,True,balkan_region,eastern_europe,50909.2,58394.2,124117.4,37600.0,97400.0,31.7,46000.0,112200.0,False
ahuacatlan,True,mesoamerica_region,north_america,37847.5,38645.0,222854.0,27300.0,92100.0,14.0,27300.0,174800.0,False
ahuilizapan,True,mesoamerica_region,north_america,28481.6,28481.6,141700.2,27800.0,95200.0,8.1,27800.0,105000.0,False
ahurei,True,new_zealand_region,australasia,44243.6,44243.6,287932.9,24500.0,76100.0,0.0,24500.0,88900.0,False
ahuya_yari,True,central_america_region,north_america,40103.1,49476.8,271327.5,28500.0,121000.0,6.8,32900.0,300400.0,False
ahvaz,True,persia_region,middle_east,21741.7,24685.1,60928.8,8900.0,42200.0,22.8,9600.0,52700.0,False
ahwar,True,arabia_region,middle_east,11287.7,11287.7,11287.7,8900.0,10700.0,33.2,8900.0,28400.0,True
