attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cocoa,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine,game_key
topography,deltas,0.0,0.0,173,19400.0,False,,,-0.18,,,,,,-0.13,,,,,,,0.12,,,,,,,,ha1300_topo_deltas
topography,floodplains,0.0,0.0,1701,4500.0,False,,,,,,,,,,,,,,,,,,,,,,,,ha1300_topo_floodplains
topography,hills,-700.0,-0.0264135157172801,4327,-3100.0,False,,,,,,,,,,,,,,,,,,,,,,,,hills
topography,mountain_wasteland,-1200.0,-0.0452803126581944,4,-4800.0,False,,,,,,,,,,,,,,,,,,,,,,,,mountain_wasteland
topography,mountains,-1300.0,-0.0490536720463773,2390,-4800.0,False,-0.18,,,,,,,,-0.16,,-0.19,,,-0.16,,,,,,,,,-0.2,mountains
topography,plateau,600.0,0.0226401563290972,2465,1000.0,False,,,,,,,,,,,,,,,,,,,,,,,,plateau
topography,rolling,100.0,0.0037733593881828,382,-4100.0,False,,,,,,,,,,,-0.11,,,,,,,,,,,,,ha1300_topo_rolling
topography,valleys,2500.0,0.0943339847045718,571,6900.0,False,,,,,,,,,,,,,,,,,,,,,,,,ha1300_topo_valleys
topography,wetlands,-600.0,-0.0226401563290972,1268,-4800.0,False,,,,,,,,,,,,,,,,,,,,,,,,wetlands
vegetation,coniferous_forest,-0.0,-0.0,1893,100.0,False,,,-0.15,,,,,,0.14,,-0.16,,,,,,,,,0.2,,,,ha1300_veg_coniferous_forest
vegetation,desert,0.0,0.0,891,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,desert
vegetation,dry_forest,4200.0,0.1584810943036807,870,13600.0,False,,,-0.09,0.12,,-0.09,,,0.25,,,,,,,,,,,,,-0.12,,ha1300_veg_dry_forest
vegetation,farmland,1300.0,0.0490536720463773,931,24100.0,False,,,-0.1,,,,,,0.11,,,,,,,,,,,,,,0.16,farmland
vegetation,forest,-0.0,-0.0,1682,3300.0,False,,,-0.18,,,,,,0.08,,,,,,,,,-0.17,,-0.06,,,,forest
vegetation,jungle,-0.0,-0.0,1806,-0.0,False,-0.09,,-0.19,0.16,,,,,0.31,,-0.13,-0.19,,,0.14,,-0.15,,-0.2,,-0.26,,,jungle
vegetation,marsh,400.0,0.0150934375527314,2241,22400.0,False,,,-0.13,,,,,,,,,,,,,,,,,,,,,ha1300_veg_marsh
vegetation,mixed_forest,-0.0,-0.0,2064,300.0,False,,,-0.21,,,,,,0.12,,-0.19,,,-0.13,,,,-0.15,,,,,,ha1300_veg_mixed_forest
vegetation,savanna,9200.0,0.3471490637128244,2127,1300.0,False,,,,,,,,,0.16,,,,0.09,,,,,,,,,,,ha1300_veg_savanna
vegetation,scrubland,-0.0,-0.0,1214,-0.0,False,,,,,,,,,,-0.13,,,,,,,,,,,,,,ha1300_veg_scrubland
vegetation,sparse,-0.0,-0.0,54,-0.0,False,,,,,,,,,0.22,,,,,,,,,,,,,,,sparse
vegetation,swamp,1300.0,0.0490536720463773,1243,11300.0,False,,,-0.25,,,,,,0.19,,-0.17,,,-0.13,,,,,,,,,,ha1300_veg_swamp
vegetation,thicket,2800.0,0.1056540628691204,929,-0.0,False,,,,,,,0.11,,,-0.11,,,,,,,,,,,,,,ha1300_veg_thicket
vegetation,tundra,0.0,0.0,353,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,ha1300_veg_tundra
vegetation,woods,-0.0,-0.0,136,-0.0,False,,,,,,,,,0.2,,,,,,,,,,,,,,,woods
soil_type,clay,1100.0,0.0415069532700116,881,-0.0,False,,-0.14,,,,,,,,,,,,,,,-0.16,,,,,,,ha1300_soil_is_clay
soil_type,peat,1000.0,0.0377335938818287,144,1300.0,False,,,,,,-0.16,,,,,,,,,,,,,,,,,,ha1300_soil_is_peat
soil_type,sand,900.0,0.0339602344936458,4036,2300.0,False,,,,,,-0.08,,,,,,,,,,,-0.14,,,,,,,ha1300_soil_is_sand
soil_type,silt,200.0,0.0075467187763657,1079,300.0,False,,,,,,,,,,,,,,,,,,,,,,,,ha1300_soil_is_silt
soil_type,stony,0.0,0.0,2744,-0.0,False,,,,,,,,,,,,,,,,,-0.17,,,,,,,ha1300_soil_is_stony
fertility,high,3800.0,0.1433876567509492,4248,16700.0,False,,0.06,,,,,,0.15,,0.18,,0.1,-0.13,0.1,,,,,0.14,,0.11,0.13,,ha1300_fertility_is_high
fertility,low,-4800.0,-0.1811212506327779,3964,-19000.0,False,,-0.25,,,,-0.2,,-0.21,,-0.16,,-0.17,,,-0.38,-0.12,,,-0.19,,,-0.19,,ha1300_fertility_is_low
fertility,very_high,5600.0,0.2113081257382409,4669,28400.0,False,0.19,0.1,0.24,0.17,0.19,0.09,0.16,0.29,,0.41,0.18,0.28,,0.29,,0.16,,,0.23,-0.15,0.31,0.2,0.14,ha1300_fertility_is_very_high
fertility,very_low,-11400.0,-0.4301629702528476,3853,-39800.0,False,,,,-0.22,,-0.26,,-0.33,-0.17,-0.21,-0.08,-0.36,,,-0.47,,,,-0.23,,,-0.3,,ha1300_fertility_is_very_low
river_level,1,-0.0,-0.0,5809,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,1
river_level,2,-0.0,-0.0,2469,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,2
river_level,3,0.0,0.0,1489,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,3
river_level,4,0.0,0.0,437,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,4
river_level,5,0.0,0.0,2476,0.0,False,,,,,,,,,,,,,,,,,,,,0.06,,,-0.08,5
is_coastal,True,0.0,0.0,4419,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
is_adjacent_to_lake,True,0.0,0.0,1486,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
