location_tag,river_level,x,y,distance_pixels,added_source
zolotonosha,5,9139,1934,1.4142135623730951,True
ostiglia,3,8199,2233,4.0,True
heilbronn,1,8109,1966,0.0,True
xiangtan,5,12833,3286,4.123105625617661,False
nebesek,5,4395,2156,8.06225774829855,False
vyadhapura,5,12473,4227,8.54400374531753,False
saintes,2,7661,2194,15.620499351813308,False
shwegu,5,12077,3507,2.23606797749979,False
ardatov,3,9601,1544,0.0,True
ensisheim,3,8035,2037,0.0,True
rouen,3,7735,1951,1.0,True
hoxter,1,8120,1782,0.0,True
meissen,2,8313,1839,0.0,True
wimbee,2,4002,3033,1.0,True
saukiog,3,4383,2435,4.0,False
kolomna,5,9455,1567,7.0710678118654755,False
amersfoort,4,7928,1776,2.0,True
tilsit,3,8696,1564,0.0,True
hatchie,5,3615,2803,7.280109889280518,False
germersheim,3,8072,1960,1.0,True
pontefract,2,7656,1658,1.0,True
sena,5,9304,5840,2.23606797749979,False
cambridge,1,7705,1742,1.4142135623730951,True
naserpur,4,10801,3437,0.0,True
lynn,1,7708,1741,1.0,True
bristol,2,7576,1795,0.0,True
quelimane,5,9366,5834,2.0,False
santarem,2,7294,2605,0.0,True
soumpi,2,7491,3978,0.0,True
mubi,1,8288,4264,1.4142135623730951,True
tboung_khmum,5,12514,4171,5.385164807134504,False
strasbourg,5,8041,2018,0.0,True
dagana,2,6984,3926,0.0,True
manmaw,5,12116,3485,1.4142135623730951,False
solt,4,8555,2118,2.0,True
dzisna,5,8969,1528,5.0990195135927845,False
changshou_changshou,5,12568,3168,1.4142135623730951,False
doboj,3,8514,2245,10.0,False
gaoyao,5,12809,3565,4.0,False
buckeburg,2,8121,1742,24.698178070456937,False
huangmei,5,12969,3173,0.0,True
shakhty,3,9525,2087,1.0,True
musi_hilir,4,12473,4993,4.0,False
burg,3,8234,1751,1.0,True
sagaing,5,12045,3618,5.0,False
hachberg,3,8039,2032,1.4142135623730951,True
hanyang,5,12873,3145,0.0,True
linxiang,5,12852,3176,1.0,True
sinsheim,2,8096,1949,0.0,True
chimgi_tura,5,10704,1412,4.123105625617661,False
wittenberge,3,8209,1701,1.0,True
mantes,2,7761,1971,3.605551275463989,False
ingapu,5,12025,3861,11.704699910719626,False
quinnipiac,3,4387,2463,0.0,True
crepy,1,7819,1950,0.0,True
prayag,5,11406,3415,13.892443989449804,False
chakangrao,5,12250,3969,2.23606797749979,False
beaujeu,2,7906,2175,0.0,True
daye,5,12930,3146,1.4142135623730951,True
dubrajpur,5,11701,3508,4.47213595499958,False
lom,5,8773,2319,3.0,False
lebus,5,8338,1752,24.758836806279895,False
voskresenskoye,4,9799,1468,6.4031242374328485,False
nyuksenitsa,2,9700,1181,7.615773105863909,False
qianjiang,3,12830,3129,1.0,True
huaining,5,13011,3129,2.8284271247461903,False
opatow,2,8684,1852,0.0,True
kreuznach,3,8048,1910,1.0,True
chiramba,4,9242,5765,0.0,True
tulamba,2,10983,3125,1.4142135623730951,True
kidderminster,1,7585,1755,1.0,True
kalpi,3,11336,3396,4.47213595499958,False
cuama,4,9340,5886,0.0,True
nnewi,4,8005,4520,10.04987562112089,False
zuera,3,7650,2447,16.64331697709324,False
maghana,2,7115,4009,1.0,True
verkhny_mamon,2,9528,1903,0.0,True
mayen,4,8023,1878,0.0,True
winsen,3,8151,1678,0.0,True
baja_hungary,4,8549,2165,0.0,True
chepoussa,5,3590,2680,4.0,False
taihe_taihe,3,12923,3337,1.0,True
yoshino,1,13871,2924,1.4142135623730951,True
sokolow,1,8698,1728,0.0,True
dubica,5,8457,2226,2.0,False
balakovo,5,9865,1780,5.385164807134504,False
pescia,1,8180,2320,3.1622776601683795,True
shuyskoye,2,9554,1252,8.06225774829855,False
tindirma,5,7526,3960,9.486832980505138,False
mologa,3,9436,1337,7.280109889280518,False
vysokoye,1,9451,1544,0.0,True
nizhny_novgorod,5,9697,1470,6.082762530298219,False
horoshino,5,9184,1957,3.1622776601683795,False
etampes,2,7802,2007,1.0,True
prasat_pram_lovet,1,12517,4278,1.4142135623730951,True
uglich,2,9436,1374,1.0,True
zielona_gora,2,8387,1771,0.0,True
muskingum,5,3980,2589,3.0,False
tournon,5,7910,2241,2.0,False
yacupipizote,2,4312,4519,15.652475842498529,False
wushan,5,12693,3091,3.0,False
tetamekanch,3,4262,2565,0.0,True
tata,5,8517,2061,0.0,True
andawaohie,5,4409,2129,7.211102550927978,False
bage,2,7915,2144,0.0,True
sochaczew,3,8625,1746,0.0,True
treuenbrietzen,1,8271,1744,0.0,True
rechnoye,5,9834,2093,0.0,True
wesel,5,7996,1800,5.0,False
chupanga,4,9311,5844,0.0,True
uch,5,10928,3194,3.0,False
kandiaro,4,10783,3340,0.0,True
sanlucar_la_mayor,1,7416,2719,0.0,True
phayuhakhiri,3,12247,4001,0.0,True
tutrakan,5,8901,2300,0.0,True
jangipur,5,11698,3470,0.0,True
tamluk,3,11684,3590,7.0710678118654755,False
siegburg,4,8013,1853,2.0,True
bykovo,5,9762,1904,0.0,True
paru,5,5284,4922,9.0,False
nanhai,5,12837,3561,10.0,False
zakroczym,5,8652,1735,4.47213595499958,False
thien_truong,4,12526,3714,1.0,True
yangju,2,13487,2705,0.0,True
cegani,4,8946,2265,25.0,False
fehervar,4,8551,2093,0.0,True
charquis,5,3661,2738,1.4142135623730951,False
osterburg,5,8234,1718,4.0,True
gichthanne,4,3769,2629,34.0,False
ahkwesasne,5,4329,2217,0.0,True
kaisou,1,13845,2904,1.0,True
huanggang,5,12918,3119,2.23606797749979,False
ficarolo,3,8209,2241,1.0,True
wislica,2,8639,1901,8.06225774829855,False
kleve,4,7971,1786,1.0,True
bacs,4,8553,2199,0.0,True
flix,3,7713,2477,1.0,True
radom,3,8666,1796,0.0,True
shizhu,5,12615,3135,1.4142135623730951,True
castellaun,2,8016,1910,0.0,True
dogo,2,7493,3986,0.0,True
ciechanow,3,8603,1747,1.0,True
kaunas,5,8781,1576,3.605551275463989,False
baden,3,8061,1989,1.0,True
harsova,4,8961,2253,0.0,True
palazzolo,1,8141,2200,1.4142135623730951,True
mamadysh,4,10034,1523,1.4142135623730951,False
perg,3,8360,2030,1.0,True
sabac,3,8572,2250,4.123105625617661,False
dhubri,5,11789,3385,3.1622776601683795,False
isaccea,5,8974,2213,3.1622776601683795,True
roermond,2,7968,1823,0.0,True
krosno_odrzanskie,2,8385,1771,0.0,True
htigyaing,5,12066,3518,3.0,False
kabeka,1,3896,4301,1.4142135623730951,True
masolian,5,4369,2173,1.0,False
atiya,5,11791,3489,13.152946437965905,False
malykovka,5,9841,1775,1.0,True
freienwalde,3,8343,1726,1.0,True
dubna,2,9363,1445,1.0,True
phnom_penh,5,12467,4212,4.123105625617661,False
tczew,3,8547,1635,0.0,True
solingen,3,8006,1837,1.0,True
luchow,3,8207,1703,0.0,True
pavlovo,3,9653,1498,1.4142135623730951,True
konstantinovsk,2,9554,2067,0.0,True
sampheak_borak,5,12520,4124,4.0,False
dijkot,2,11024,3100,0.0,True
omerkot,4,10864,3249,0.0,True
muhammad_tur,4,10786,3470,0.0,True
arrah,4,11551,3412,8.94427190999916,False
krakow,1,8601,1904,1.0,True
wanar,2,6999,4088,0.0,True
dia,3,7491,4050,1.0,True
kaedi,5,7078,3949,3.0,False
wujiang_yingtian,5,13090,3028,10.198039027185569,False
zimnicea,5,8849,2324,1.0,True
wuxian,3,13182,3076,6.0,False
guichi,5,13034,3131,11.40175425099138,False
xiaoshan,5,13162,3156,2.8284271247461903,False
riga,3,8767,1432,20.8806130178211,False
sts_ailes,1,2179,1989,1.4142135623730951,True
gigen,5,8815,2325,5.0,False
selpils,3,8862,1456,1.0,True
beziers,1,7847,2332,1.4142135623730951,True
ferrette,3,8035,2071,0.0,True
beaugency,2,7770,2041,14.0,False
meshchersk,3,9653,1491,1.0,True
raznezhye,5,9786,1483,2.8284271247461903,False
nimes,3,7901,2317,0.0,True
korenevo,3,9657,1408,1.0,True
angermunde,3,8334,1709,0.0,True
kanel,2,7094,3988,1.0,True
dusseldorf,4,8004,1817,7.0,False
urzedow,2,8686,1841,2.0,True
voznesenskoye,5,9739,1048,1.0,True
hamelin,2,8136,1772,16.1245154965971,False
bremen,2,8082,1694,1.0,True
futian,5,12925,3328,1.0,True
tywhapita,5,3779,2682,4.0,False
riverie,3,7909,2196,1.0,True
ushachy,2,9010,1541,0.0,True
gisors,2,7752,1962,2.8284271247461903,False
kamyshin,5,9754,1924,0.0,True
stezyca,2,8684,1804,1.0,True
muktagacha,5,11765,3440,7.0710678118654755,False
czersk,3,8654,1768,0.0,True
guastalla,5,8187,2235,0.0,True
vekshenga,2,9583,1251,8.94427190999916,False
mengli,3,12861,3473,1.0,True
bolghar,4,9917,1574,0.0,True
giurgiu,5,8900,2294,4.242640687119285,False
casalmaggiore,5,8174,2233,5.0,False
yusha,3,12854,3147,12.0,False
rashid,3,9075,3077,0.0,True
giza,4,9113,3180,0.0,True
shangyuan,5,13101,3024,5.0,False
oudenaarde,1,7857,1847,0.0,True
jingling,3,12855,3134,1.0,True
dannenberg,3,8179,1686,0.0,True
bagayevskaya,5,9522,2096,1.4142135623730951,False
sroda_slaska,2,8444,1828,0.0,True
jiangling,5,12790,3137,4.47213595499958,False
onimgohow,5,3978,2603,2.23606797749979,False
chojna,3,8360,1734,18.867962264113206,False
swiecie,3,8524,1685,0.0,True
ust_medveditskaya,5,9631,1941,3.0,False
geertruidenberg,2,7929,1794,0.0,True
amyint,5,12045,3622,2.23606797749979,False
srok_khleang,5,12497,4309,19.1049731745428,False
shishou,5,12806,3167,1.0,True
chucalissa,5,3606,2822,11.661903789690601,False
weert,2,7963,1826,0.0,True
sanshui,5,12827,3546,0.0,True
lopburi,3,12272,4042,8.0,False
sungai_jujuhan,5,12333,4913,3.0,False
ekwentondie,5,4404,2135,3.0,False
hoya,5,8108,1713,1.0,True
bruck_leitha,5,8440,2034,22.02271554554524,False
mora_portugal,2,7289,2617,1.4142135623730951,True
bielefeld,2,8096,1764,0.0,True
bhind,5,11291,3367,5.830951894845301,False
rath,5,11349,3405,12.041594578792296,False
chunar,4,11470,3435,0.0,True
hala,4,10803,3401,0.0,True
tankular,1,6988,4102,0.0,True
ugbodu,4,7995,4513,1.0,True
warri,4,7978,4549,4.47213595499958,False
matam,2,7097,3983,1.0,True
luhe,5,13104,3025,3.605551275463989,False
rangpur_bengal,5,11771,3419,3.605551275463989,False
shadodkot,4,10770,3313,23.021728866442675,False
kabachischi,4,9871,1488,0.0,True
nytva,5,10220,1353,39.395431207184416,False
jinkang,4,12802,3569,13.152946437965905,False
tarnow,5,8633,1901,2.23606797749979,False
gwangju,2,13481,2706,1.0,True
xindi,5,12855,3164,4.47213595499958,False
calafat,4,8738,2303,0.0,True
indrapura_khmer,5,12464,4165,25.80697580112788,False
buda,4,8561,2062,0.0,True
hukou,5,12988,3169,1.4142135623730951,True
esztergom,4,8551,2055,2.8284271247461903,False
pengze,5,13005,3155,0.0,True
sarapul,5,10129,1499,1.0,True
samauma,3,5469,4949,19.849433241279208,False
songzi,5,12786,3128,5.830951894845301,False
ganxian,5,12921,3401,2.23606797749979,False
cahokia,4,3588,2631,2.0,True
fengdu,5,12597,3168,3.1622776601683795,False
pontedera,1,8180,2324,0.0,True
simmern,3,8041,1899,1.0,True
mors,5,7990,1805,12.806248474865697,False
laish,4,9942,1552,0.0,True
ethapetha,4,3964,2614,21.2602916254693,False
osa,3,10195,1416,0.0,True
maastricht,2,7953,1853,0.0,True
leko,3,12424,5001,7.211102550927978,False
loigan_sibo,5,4346,2188,3.1622776601683795,False
mantova,3,8177,2233,5.0990195135927845,False
walalde,2,7040,3927,0.0,True
coburg,1,8193,1877,1.4142135623730951,True
tamaroa,5,3576,2650,2.23606797749979,False
turnu_magurele,5,8819,2316,3.1622776601683795,False
nienburg,2,8107,1720,0.0,True
salay,5,12011,3714,0.0,True
blois,2,7750,2074,0.0,True
mielnik,1,8739,1755,0.0,True
abrahamtelke,4,8551,2097,0.0,True
damanhur,3,9078,3085,0.0,True
mansoura,1,9124,3091,1.0,True
atfih,4,9116,3166,0.0,True
qus,4,9182,3383,0.0,True
qena,4,9161,3386,0.0,True
nantes,3,7632,2088,0.0,True
baghdad,5,9717,2965,2.0,False
dayr_aqul,5,9786,2999,2.23606797749979,False
abdas,5,9845,3100,4.123105625617661,False
lyskovo,5,9755,1491,0.0,True
chelmno,3,8540,1677,0.0,True
syanno,2,9050,1555,1.4142135623730951,True
bensheim,3,8075,1928,0.0,True
oppenheim,3,8070,1917,0.0,True
chowanoke,2,4196,2805,0.0,True
nijmegen,4,7951,1778,0.0,True
kashin,2,9420,1397,1.0,True
otennienontant,5,4321,2214,4.0,False
lauenburg,3,8176,1680,1.0,True
ath,1,7847,1862,1.4142135623730951,True
wloclawek,3,8553,1722,0.0,True
ryazan,3,9511,1600,1.0,True
namur,2,7911,1882,1.0,False
srebrenik,5,8517,2245,15.652475842498529,False
palembang,5,12464,5018,7.810249675906654,False
ballia,5,11519,3404,1.0,False
varanasi,4,11468,3415,8.602325267042627,False
jaranwala,2,11035,3091,1.0,True
kashmore,4,10845,3267,0.0,True
lisbon,2,7284,2615,1.0,True
etawah,5,11283,3350,14.422205101855956,False
kantit,4,11450,3439,0.0,True
massangano,5,9223,5753,2.8284271247461903,False
konch,3,11295,3367,16.76305461424021,False
ozoro,4,7982,4538,5.0990195135927845,False
bourem,3,7674,3913,1.0,True
macina,3,7439,4075,1.0,True
yingde,5,12858,3495,2.23606797749979,False
nizhny_chir,3,9667,1996,0.0,True
jiangning,5,13087,3050,1.0,True
taixing,5,13148,3028,0.0,True
lichiresti,5,8905,2296,1.0,True
jiande,5,13127,3185,4.0,False
tarrana,3,9092,3118,0.0,True
kansas,5,3379,2607,5.0,False
badong,5,12717,3096,0.0,True
solovtsovo,5,9897,1705,0.0,True
inowroclaw,3,8525,1703,0.0,True
cuttawba,5,3843,2615,2.23606797749979,False
jekabpils,3,8881,1444,17.46424919657298,False
brie_comte_robert,1,7815,1986,1.0,True
lewekeomi,4,3802,2648,1.0,True
chyormoz,5,10240,1300,2.0,False
lyubichi,3,9503,1577,1.0,True
karymkary,5,10659,980,7.0710678118654755,False
naga,1,13860,2902,1.0,True
romang,5,4975,6569,0.0,True
fengjie,5,12665,3100,1.0,True
shilovo,3,9545,1616,1.0,True
shayang,3,12815,3119,1.0,True
bjelovar,1,8435,2195,1.0,True
puqi,5,12868,3170,7.810249675906654,False
thatta,4,10784,3467,0.0,True
barpeta,5,11828,3371,3.1622776601683795,False
aksay,3,9650,2034,0.0,True
adshusheer,5,4106,2759,2.23606797749979,False
gostynin,3,8580,1737,0.0,True
annaburg,2,8296,1823,0.0,True
qingyuan,3,12836,3522,0.0,True
kanawha,5,3955,2630,5.0990195135927845,False
cherdakly,4,9929,1637,45.254833995939045,False
monchengladbach,2,7972,1819,2.0,True
konstanz,1,8096,2063,1.4142135623730951,True
assunpink,2,4276,2555,1.0,True
meherrin,2,4127,2763,1.0,True
landau,5,8279,1993,1.0,False
solikamsk,3,10265,1185,20.615528128088304,False
perevitska,3,9497,1582,1.0,True
kungur,3,10276,1383,58.05170109479997,False
rovigo,2,8235,2231,0.0,True
jishui,5,12934,3320,2.0,False
kholmogory,5,9587,919,30.265491900843113,False
sansanding,3,7433,4080,1.0,True
jiangxia,5,12876,3116,17.88854381999832,False
anilco,5,3537,2923,2.23606797749979,False
ramsis,3,9090,3112,0.0,True
beni_suef,4,9113,3182,0.0,True
minya,4,9091,3251,0.0,True
sharuna,4,9112,3204,1.0,True
an_nil,3,9726,2981,0.0,True
al_madar,3,9855,3095,5.0990195135927845,False
nemours,5,7824,2018,1.0,True
xiangyang,5,12799,3035,2.23606797749979,False
sint_niklaas,2,7880,1837,0.0,True
myanaung,5,12035,3845,0.0,True
satgaon,3,11692,3573,13.152946437965905,False
coblenz,5,8038,1883,5.0,False
jurbarkas,3,8748,1561,0.0,True
cologne,4,8002,1838,0.0,True
brandenburg,1,8262,1746,1.0,True
detmold,2,8098,1763,0.0,True
bydgoszcz,3,8516,1697,0.0,True
kasimov,3,9592,1573,0.0,True
panemune,2,8764,1568,0.0,True
ordu_bazar,5,9171,2136,1.4142135623730951,True
veliky_ustyug,5,9797,1144,3.1622776601683795,False
nowe,3,8544,1670,0.0,True
kotri,4,10801,3407,0.0,True
hexham,1,7596,1567,1.4142135623730951,True
cheltenham,2,7592,1777,0.0,True
ranikot,4,10796,3394,0.0,True
sitpur,5,10909,3189,19.026297590440446,False
retford,1,7652,1678,1.0,True
kom_ombo,4,9186,3478,0.0,True
tongling,5,13051,3095,0.0,True
fuyang_hangzhou,3,13143,3164,1.0,True
mucuri,1,5827,5825,1.4142135623730951,True
linjiang,5,12605,3145,1.0,True
guangji,5,12959,3167,0.0,True
windenburg,3,8667,1549,0.0,True
rome,2,8258,2440,0.0,True
kabakama,2,7051,4103,0.0,True
cabo_formoso,4,7965,4601,0.0,True
baronsk,5,9830,1787,1.4142135623730951,True
montflanquin,1,7734,2269,1.0,True
okhannoye,3,10218,1388,0.0,True
nizhnyaya_toyma,5,9743,1038,8.48528137423857,False
kazimierz,2,8688,1824,1.0,True
koryazhma,5,9810,1110,8.246211251235321,False
ngasingu,5,12064,3606,2.8284271247461903,False
brest_litowsk,1,8747,1755,1.0,True
dukhovnitskoye,5,9879,1756,0.0,True
sihui,3,12825,3544,4.47213595499958,False
ilovna,5,9443,1330,2.0,False
dura,5,11774,3435,0.0,True
xiangyin,4,12833,3221,3.1622776601683795,False
pest,4,8559,2082,1.4142135623730951,True
bokovskaya,2,9583,1938,0.0,True
guachoyo,5,3540,2983,0.0,True
ostrogozhsk,2,9473,1842,0.0,True
bavaria_regen,1,8283,1987,1.0,True
petrovaradin,5,8613,2244,8.602325267042627,False
stepanevka,3,9667,2012,0.0,True
carapachay,5,4995,6754,0.0,True
staraya_ryazan,3,9533,1608,1.0,True
bhagalpur,5,11649,3432,1.0,True
sandan,5,12512,4137,1.0,True
scioto,5,3911,2630,3.1622776601683795,False
yusva,3,10250,1289,0.0,True
qujiang,5,12859,3457,2.23606797749979,False
tapajo,5,5109,4967,12.529964086141668,False
piacenza,3,8129,2232,0.0,True
ponkhockie,3,4323,2428,0.0,True
tormosin,3,9645,2042,1.0,True
turtas,5,10847,1232,1.0,False
freiburg,3,8038,2048,1.4142135623730951,True
wetwin,5,12062,3630,2.8284271247461903,False
prainha,5,5258,4940,1.4142135623730951,False
offenburg,3,8042,2023,0.0,True
morkvash,4,9932,1676,0.0,True
berezhnovka,5,9777,1888,0.0,True
nur,1,8690,1726,1.0,True
pereiaslav,5,9138,1933,1.0,True
ukek,5,9783,1815,0.0,True
paungde,5,12037,3834,4.47213595499958,False
nagavskaya,3,9649,2037,0.0,True
kamatapur,5,11775,3402,3.0,False
el_burullus,3,9108,3068,30.675723300355934,False
hiw,4,9158,3388,0.0,True
manfalut,4,9094,3305,0.0,True
golere,2,7054,3939,0.0,True
basra,4,9848,3100,2.23606797749979,False
numaniyyah,3,9771,3010,1.0,True
waounde,2,7106,3997,1.0,True
benauges,5,7678,2247,2.0,False
gabin,3,8598,1746,0.0,True
kracheh,5,12520,4156,2.0,False
zhijiang,5,12784,3137,1.0,True
baxian,5,12534,3165,17.0,False
yakovlevskoye_bolshoye,3,9563,1390,0.0,True
tana,3,9522,2091,1.0,True
rovnoye,5,9779,1885,0.0,True
qingjiang,4,12940,3282,13.601470508735444,False
goalpara,5,11830,3385,4.47213595499958,False
ilovlya,3,9680,1956,0.0,True
usolye,5,10269,1251,3.0,False
wroclaw,2,8467,1835,3.0,False
sausaya,2,4439,5624,0.0,False
baragram,5,11702,3505,1.0,False
sagu,5,12006,3713,7.0710678118654755,False
cukataw,4,9988,1541,2.0,True
changle_fujian,3,13131,3391,1.0,True
venlo,2,7970,1816,0.0,True
sviyazhsk,5,9896,1525,48.41487374764082,False
neustadt_an_der_haardt,3,8071,1936,0.0,True
samastipur,5,11627,3420,2.8284271247461903,False
liege,2,7949,1858,0.0,True
kingston,1,7682,1813,1.4142135623730951,True
nyani,1,9332,5712,1.4142135623730951,True
sitavaka,1,11343,4461,1.4142135623730951,True
shorkot,5,10961,3117,2.23606797749979,False
ghazipur,4,11513,3404,7.0710678118654755,False
moudery,2,7108,4006,1.0,True
hezhou_he,5,13077,3069,1.0,True
dongliu,5,13010,3150,1.0,True
drastar,5,8925,2293,1.0,True
privas,3,7907,2258,0.0,True
wolow,2,8440,1817,0.0,True
lyon,5,7912,2187,0.0,True
chastye,3,10187,1422,0.0,True
purnia,5,11669,3377,45.0,False
khakhaly,4,9721,1490,1.0,True
putyatino,3,9559,1606,1.0,True
minden,2,8093,1762,0.0,True
reading,1,7640,1810,1.4142135623730951,True
hamburg,3,8142,1668,1.0,True
koponovo,3,9547,1614,1.0,True
achim,2,8100,1707,0.0,True
kichkas,3,9289,2050,0.0,True
myedu,4,12036,3562,24.186773244895647,False
pomorye,5,9536,873,1.4142135623730951,True
gananoque,4,4248,2263,0.0,True
pyay,5,12023,3820,1.0,True
jinghai,5,13011,2619,1.0,False
yunyang,5,12638,3098,3.0,False
schweinitz,2,8275,1797,0.0,True
chai_nat,3,12291,4011,35.05709628591621,False
salvaterra,2,7297,2603,0.0,True
tetyushi,4,9916,1587,0.0,True
wied,3,8023,1870,1.0,True
ferrara,3,8242,2239,0.0,True
pakokku,5,12024,3636,17.11724276862369,False
sandonnino,3,8154,2236,1.0,True
mindon,5,12020,3805,1.4142135623730951,False
ostrovskoye,5,9620,1394,0.0,True
tomakivka,5,9287,2056,17.46424919657298,False
freistadt,3,8350,2025,1.0,True
wycombe,1,7662,1808,1.0,True
legnica,2,8442,1829,0.0,True
brass,4,7970,4589,2.0,True
qichun,5,12939,3150,0.0,True
idah,5,7991,4464,1.0,False
el_bahnasa,4,9098,3222,0.0,True
el_balyana,4,9130,3352,0.0,True
bakusaya,3,9797,3005,1.0,True
abadan,4,9883,3136,1.0,True
ayodhya,5,12250,4066,18.384776310850235,False
monghyr,5,11629,3425,1.0,True
nessoneick,1,4087,2734,1.0,True
veesky,2,9571,1934,2.0,True
lamego,5,7330,2486,16.1245154965971,False
yidu,5,12764,3134,0.0,True
fengle,3,12808,3069,1.0,True
khoai_chau,4,12513,3684,1.0,True
ruichang,5,12951,3169,2.0,True
wolinak,5,4395,2154,4.0,False
guayaquil,5,4052,4962,1.0,False
calli,4,9995,1539,0.0,True
klin,1,9362,1449,0.0,True
dobrzyn,3,8571,1731,1.0,True
chongyi,1,12896,3401,1.4142135623730951,True
tiel,4,7949,1779,0.0,True
huarong,5,12799,3200,37.44329045369811,False
talok,5,12032,3647,1.0,True
kadyy,5,9657,1394,2.23606797749979,False
archar,4,8730,2313,0.0,True
simiti,5,4323,4440,0.0,True
pomata,3,4547,5735,0.0,False
ghotki,4,10871,3273,23.259406699226016,False
bihar_sharif,5,11612,3435,5.0,False
buxar,5,11508,3422,3.1622776601683795,False
zaragoza,3,7651,2450,1.0,False
sehwan,5,10777,3367,3.0,False
moro_sindh,4,10826,3366,37.57658845611187,False
talwandi,2,11043,3089,1.0,True
salde,2,7070,3951,0.0,True
sine_ngayene,2,6991,4087,3.1622776601683795,False
ukunzu,4,8004,4481,9.0,False
carmona,1,7440,2700,0.0,True
dantu,5,13141,3031,4.0,False
jiangyin,5,13159,3042,1.0,True
fanchang,5,13062,3093,0.0,True
wuwei,5,13073,3076,5.385164807134504,False
battambang,5,12398,4115,3.605551275463989,False
karendo,5,4921,6668,4.0,False
