location_tag,original_levels,remaining_levels,original_coastal,new_coastal
chipata,2,2,False,True
ganggalida,1,1,False,False
etoho,1,1,False,False
khagaria,5,5,False,True
winda_winda,2,2,True,True
mingyi,5,5,False,False
amis,1,1,True,True
noyuo,1,1,False,False
sandakan,2,2,True,True
garengaze,2,2,False,False
gushan,3,3,False,False
bayan_susu,3,3,False,False
waluulapam,3,3,False,False
mattawa,3,3,False,False
bonndorf,2,2,False,False
melenki,3,3,False,True
kosichkoj,1,1,False,False
menghai,3,3,False,False
hitchiti,2,2,False,False
termez,5,5,False,False
makigotekw,1,1,False,True
bondo,3,3,False,False
suomussalmi,1,1,False,False
zolotiinka,1,1,False,False
jinjiang,1,1,True,True
suixian,1,1,False,False
budaun,3,3,False,False
eimastukwek,2,2,True,True
ukasikalik,1,1,True,True
pangyang,4,4,False,False
uch_barchik,2,2,False,False
herrera,1,1,False,False
xungake,2,2,False,False
vorkuta,1,1,False,False
saintala,2,2,False,False
hoachanas,1,1,False,False
lingchuan_zezhou,1,1,False,False
minisose,2,2,False,False
bisotun,1,1,False,False
kankakee,1,1,True,True
chekurovka,1,1,False,False
kuchugunnur,5,5,False,False
bala,1,1,False,False
omusee,2,2,False,False
tchesha,1,1,False,False
lad_konin,1,1,False,False
mbosaksawaas,1,1,False,False
merseburg,1,1,False,False
capoque,2,2,True,True
mueng_fa_daet,5,5,False,False
yaporox,3,3,False,False
veekuhane,5,5,False,False
atrakwaye,2,2,False,False
promsa,1,1,False,False
bigan,2,2,True,True
kampar,5,5,False,False
huili,4,4,False,False
yscani,1,1,False,False
thayet,5,5,False,True
bagagem,2,2,False,False
kadjerong,2,2,True,True
boyauli,2,2,False,False
chinili,1,1,False,False
huambo,1,1,False,False
buiunda,5,5,False,False
wimanja,1,1,False,False
liuyang,1,1,False,False
kuanhe,5,5,False,False
kupka,1,1,False,False
kungarakany,1,1,False,False
guzhou,1,1,False,False
kolpny,1,1,False,False
okhona,1,1,False,False
mengzi,2,2,False,False
angadippuram,1,1,False,False
brzeznica,1,1,False,False
sosnovy_ostrov,5,5,False,True
gorkha,5,5,False,False
rochefort,2,2,True,True
tongbai,1,1,False,False
mitsiadazi,5,5,False,False
turov,2,2,False,False
chembar,1,1,False,False
obaska,2,2,False,False
bag_ngula,2,2,False,False
tumul,4,4,False,False
mandjar,1,1,True,True
piumhi,3,3,False,False
wekwee_ti,1,1,False,False
pohoko_ikkatee,2,2,False,False
trasigang,1,1,False,False
anding_mashan,4,4,False,False
acambaro,1,1,False,False
ajayameru,2,2,False,False
hepu,2,2,True,True
morsha,1,1,False,False
unica,5,5,False,False
manhuacu,1,1,False,False
mempawah,1,1,True,True
proszowice,1,1,False,True
lumpur,1,1,True,True
north_letota,5,5,False,False
koskoak,5,5,False,False
unda,2,2,False,False
ongoulastoga,3,3,False,False
quge,3,3,False,False
baicang,1,1,False,False
alapaha,1,1,False,False
chan_bo,3,3,True,True
igumbi_andele,1,1,True,True
yicheng,3,3,False,True
yangyuan,1,1,False,False
jieyang,1,1,True,True
dien_chau,1,1,True,True
novopavlovsk,1,1,False,False
tk_emlups,5,5,False,False
kerbi,5,5,False,False
enping,1,1,False,False
bolodek,5,5,False,False
shizhao,5,5,False,False
baimaguan,1,1,False,False
lairmairrener,1,1,False,False
staraya_ladoga,3,3,False,True
ponte_nova,2,2,False,False
aalst,2,2,False,True
drigung,1,1,False,False
palmas,5,5,False,False
wemotaci,5,5,False,False
suamox,1,1,False,False
manicouagan,5,5,False,False
tikenliq,2,2,False,False
asiniwaciy,1,1,False,False
kengtawng,2,2,False,False
waveroo,1,1,False,False
jambi,3,3,False,True
krasny_bor,5,5,False,True
scahentowanen,2,2,False,False
toshima,2,2,True,True
donjek,5,5,False,False
jerantut,5,5,False,False
staraya_mayna,4,4,False,True
mikasuki,1,1,False,False
ouasioto,4,4,False,True
mbanza_mpemba,1,1,False,False
ebya,1,1,False,False
oqumkikiak,1,1,True,True
chidkhu,1,1,True,True
samxay,2,2,False,False
sagadahoc,3,3,True,True
sao_roque,2,2,False,False
balanggarra,1,1,False,False
shaoyang,1,1,False,False
hulu_mesuji,5,5,False,False
teshevka,1,1,False,False
ann,1,1,True,True
pelisipi,1,1,False,False
atikonak,5,5,False,False
bolshoye_selo,3,3,False,True
koshkonong,1,1,False,False
aikhal,1,1,False,False
amrabad,3,3,False,False
maratine,1,1,True,True
imbangala,5,5,False,False
ishtixon,1,1,False,False
mistahi,2,2,False,False
kokokachi,2,2,False,False
dzhulat,5,5,False,False
ambriz,2,2,True,True
lubai,5,5,False,False
denkanikottai,2,2,False,False
flekkefjord,1,1,True,True
koyda,1,1,True,True
tshwa,2,2,False,False
shimian,3,3,False,False
kitchigumi,1,1,False,False
karmana,2,2,False,False
mishan,1,1,False,False
dippa,2,2,False,False
temiscamingue,2,2,False,False
mertola,2,2,False,False
chhmuoh_thmei,1,1,False,False
anipitapiskow,4,4,False,False
maxia,1,1,False,False
ngandi,5,5,False,False
ung,1,1,False,False
merv,1,1,False,False
ankoro,5,5,False,False
daguan,1,1,False,False
miandoab,1,1,False,False
sechenovo,2,2,False,False
zhalong,1,1,False,False
kumtura,5,5,False,False
firuzkuh_afghanistan,1,1,False,False
sipiweske,1,1,False,False
calang,1,1,True,True
rylsk,1,1,False,False
tenggarong,5,5,False,False
lichtenberg,3,3,False,True
neustadt_am_rubenberge,5,5,False,False
kuenga,2,2,False,False
odonga,1,1,False,False
benewah,1,1,False,False
mamele,1,1,False,False
tokichan,1,1,False,False
harandzuvan,1,1,False,False
beaupreau,3,3,False,True
tescuntee,1,1,False,False
pagatan,1,1,True,True
malaya_serdoba,1,1,False,False
chapeco,3,3,False,False
singkhon,1,1,False,False
mahi_kulan,1,1,False,False
shanha,1,1,False,False
bila,1,1,False,False
baryang,1,1,False,False
tonggu_liping,2,2,False,False
rtishchevo,1,1,False,False
jaboticabal,5,5,False,False
saw,5,5,False,True
kassai,1,1,False,False
loulan,2,2,False,False
kaiparowit,2,2,False,False
recklinghausen,1,1,False,False
weyanock,2,2,True,True
mora,1,1,False,False
mobile,4,4,True,True
aqyam_nup,5,5,False,False
metabeskega,1,1,False,False
jawoyn,1,1,False,False
ticamaya,1,1,True,True
nanhui,2,2,True,True
zamyany,5,5,False,False
umbra,5,5,False,False
muang_sing,4,4,False,False
molomo,1,1,False,False
hailun,1,1,False,False
hulu_paser,1,1,False,False
anlu,1,1,False,False
chatillon_sur_indre,1,1,False,False
tanwakanwakaghe,2,2,False,False
mayi_kutuna,1,1,False,False
bemidji,1,1,False,False
itzcuintlan,1,1,True,True
koyukuk,4,4,False,False
charagua,5,5,False,False
tollin,1,1,False,False
acuera,1,1,False,False
mweru,3,3,False,False
bardhaman,2,2,False,False
yangabad,1,1,False,False
cheticamp,1,1,True,True
sandomierz,5,5,False,True
tumba_ikoko,5,5,False,False
bombwi,5,5,False,False
zhanhe,5,5,False,False
cerocahui,1,1,False,False
yingshan_shunqing,1,1,False,False
ahrweiler,4,4,False,True
wizna,1,1,False,False
durun,2,2,False,False
mutum,1,1,False,False
kyulyunken,1,1,False,False
guben,2,2,False,True
tianping,1,1,False,False
edaula,2,2,False,False
jiyang,3,3,False,False
campo_mourao,5,5,False,False
bukachacha,5,5,False,False
gouveia,2,2,False,False
zhangping,1,1,False,False
minqing,3,3,False,True
pryazha,1,1,False,False
apui,5,5,False,False
penaca,5,5,False,False
pitahauerat,1,1,False,False
mangbu,1,1,False,False
kua_luziga,1,1,False,False
yun,3,3,False,False
hazelton,2,2,False,False
bijar,1,1,False,False
peribonka,5,5,False,False
pak_huei_lang,5,5,False,False
hereford,1,1,False,False
umballa,1,1,False,False
kutina,1,1,False,True
chandpur_garhi,2,2,False,False
verden,1,1,False,True
saakak_hukaahaanu,1,1,False,False
capachequi,2,2,False,False
muhaukamau,1,1,False,False
luling,5,5,False,True
nongatl,1,1,False,False
incheh_borun,1,1,False,False
masty,2,2,False,False
tansyk,1,1,False,False
godagari,5,5,False,False
shahabad_kerman,1,1,False,False
niagara,5,5,True,True
miran,2,2,False,False
alchan,5,5,False,False
tanahun,5,5,False,False
vientiane,5,5,False,False
korets,1,1,False,False
daroot_korgon,1,1,False,False
jaiba,4,4,False,False
vicosa,1,1,True,True
huaiji,1,1,False,False
bars_khot,3,3,False,False
namdal,2,2,True,True
kaharlyk,3,3,False,True
lechang,2,2,False,False
boa_ogoi,1,1,False,False
st_ambroix,3,3,False,True
quba,1,1,False,False
tazewell,1,1,False,False
kholunitsky,3,3,False,False
iguazu,5,5,False,False
yerevan,1,1,False,False
darmstadt,3,3,False,True
khamra,4,4,False,False
mengmeng,5,5,False,False
cangwu,5,5,False,True
pinega,2,2,False,False
nata,1,1,True,True
kyra,1,1,False,False
lantu,1,1,False,False
pesagi,2,2,False,False
arock,2,2,False,False
situo,2,2,False,False
kakoba,1,1,False,False
nei,1,1,True,True
caoni,1,1,False,False
st_pierre_de_moutier,2,2,False,False
badami,1,1,False,False
palmeira_brasil,5,5,False,False
tecohtzincalpan,1,1,False,False
waika,1,1,False,False
madawaska,2,2,False,False
satapo,5,5,False,False
mahoning_oh,1,1,False,True
wdpesek,2,2,False,False
buriram,1,1,False,False
fryksdal,1,1,False,False
ewyas,1,1,False,False
kundar,1,1,False,False
karor,4,4,False,False
kochi,5,5,True,True
pithapuram,4,4,True,True
savantvadi,1,1,False,False
chamba_india,2,2,False,False
pratapgarh,1,1,False,False
gugera,2,2,False,True
palamau,1,1,False,False
agra,5,5,False,True
tamaki,2,2,True,True
caen,1,1,True,True
lincoln,1,1,False,True
longford,1,1,False,False
sambalpur,5,5,False,False
worcester,1,1,False,True
adoni,1,1,False,False
karnal,2,2,False,False
chaiturgarh,2,2,False,False
orchha,5,5,False,False
chengdu,1,1,False,False
khotchino,1,1,False,False
rautavaara,1,1,False,False
lieksa,5,5,False,False
uromi,1,1,False,False
kassala,2,2,False,False
qoryooley,1,1,True,True
katiola,2,2,False,False
targu_lapusnei,1,1,False,False
bacau,5,5,False,False
port_loko,2,2,False,False
shendi,4,4,False,False
pankshin,5,5,False,False
gannata_giyorgis,1,1,False,False
biu,2,2,False,False
bodebyn,3,3,False,False
stjordal,1,1,True,True
gambaru,1,1,False,False
devarakonda,3,3,False,False
konduga,1,1,False,False
lame,1,1,False,False
pama,1,1,False,False
yelou,2,2,False,False
talata_mafara,1,1,False,False
kotonkoro,1,1,False,False
tignere,1,1,False,False
biriri,1,1,False,False
khemchik,5,5,False,False
tongliao,1,1,False,False
datian_shizhou,1,1,False,False
tonsberg,1,1,True,True
kittila,3,3,False,False
gimje,2,2,True,True
nikopol,5,5,False,True
bonanza,4,4,False,False
kapuameut,1,1,False,False
lopasnya,2,2,False,False
tanchaycha,1,1,False,False
kaiguang,3,3,False,False
haiyang,3,3,True,True
torun,3,3,False,True
taliepacana,3,3,False,False
bemetara,2,2,False,False
poenari,1,1,False,False
nunatonowago,1,1,False,False
kampong_roessei,1,1,True,True
karankawa,2,2,True,True
caserta,1,1,True,True
inotonniicaah,5,5,False,False
sabina,2,2,False,True
basarwa,1,1,False,False
mouzon,1,1,False,False
nyanga,2,2,True,True
orvietano,1,1,False,False
quipana,3,3,False,False
sudzha,1,1,False,False
figeac,2,2,False,False
moutiers,1,1,False,False
castres,1,1,False,False
chatellerault,5,5,False,False
berlanga,1,1,False,False
nanatsoho,1,1,False,False
reims,1,1,False,False
olavsvik,1,1,True,True
olenyok,1,1,False,False
batang,3,3,False,False
apica,1,1,False,False
dongan,1,1,False,False
pensacola,2,2,True,True
grass_creek,1,1,False,False
carasova,5,5,False,False
chalahume,2,2,False,False
cerwecerna,5,5,False,False
itaperuna,1,1,False,False
krasnye_baki,2,2,False,False
sholakkorgan,1,1,False,False
tekabket,1,1,False,False
kiosaquay,5,5,False,False
burchmullo,1,1,False,False
toul,1,1,False,False
macon,2,2,False,True
vodable,1,1,False,False
cantagalo,3,3,False,False
chitagaes,5,5,False,False
wailaki,1,1,False,False
muang_nakhon,5,5,False,False
feldkirch,2,2,False,False
ntiltxitk,5,5,False,False
chortoryisk,1,1,False,False
dikimdya,3,3,False,False
ust_labinsk,1,1,False,False
margany,1,1,False,False
konkudera,1,1,False,False
tegeget,1,1,False,False
pocatalico,1,1,False,False
epernay,1,1,False,False
kamiura,1,1,False,False
thlewiaza,1,1,False,False
tixi,1,1,False,False
vukovar,5,5,False,True
lezuza,1,1,False,False
ena,1,1,False,False
ilimpeya,1,1,False,False
oshika,2,2,True,True
kishwaukee,5,5,False,False
uele,1,1,False,False
shinobu,1,1,False,False
samarahan,2,2,True,True
neebing,1,1,True,True
baia_mare,1,1,False,False
zavallia,1,1,False,False
zemplin,2,2,False,False
hoyerswerda,1,1,False,False
barretos,5,5,False,False
dowraq,3,3,False,False
hekikai,1,1,True,True
zharkhan,5,5,False,False
tsalenjikha,1,1,False,False
magdeburg,3,3,False,True
ogowe,1,1,False,False
casqui,5,5,False,True
emasulia,5,5,False,True
huacheng,5,5,False,False
lanzhou_lanzhou,3,3,False,False
chongan,1,1,False,False
cuangar,2,2,False,False
makwanpur,1,1,False,False
regensburg,2,2,False,True
tongren,1,1,False,False
bangarang,1,1,False,False
longvek,3,3,False,True
shayar,5,5,False,False
liling,2,2,False,False
kickatus,1,1,False,False
sonso,5,5,True,True
coutins,3,3,True,True
chhatarpur,1,1,False,False
launggyet,3,3,False,False
lyubcha,1,1,False,False
hlohovec,1,1,False,False
khotoshino,1,1,False,False
chengmai,1,1,True,True
konkoure,2,2,False,False
saudakent,1,1,False,False
monona,1,1,False,False
panqiao,1,1,False,False
foshnya,1,1,False,False
ndele,3,3,False,False
bakongo,2,2,False,False
danyang,5,5,False,True
krebedje,5,5,False,False
poggibonsi,1,1,False,True
dadi_dadi,5,5,False,False
pietrykaw,2,2,False,False
altdorf,1,1,False,False
senlis,1,1,False,True
ngambe,5,5,False,False
pangandaran,2,2,True,True
imola,1,1,False,False
koksharov,5,5,False,False
jaroujiji,1,1,True,True
altan_gadas,1,1,False,False
yaroslavl,3,3,False,True
teslin_trail,2,2,False,False
kromy,1,1,False,False
arut,2,2,False,False
portel,1,1,False,False
fiorenzuola,5,5,False,True
sariang,5,5,False,False
chewaucan,1,1,False,False
kavala,1,1,True,True
ruhptare,1,1,False,False
hengshan,5,5,False,False
mainz,5,5,False,True
sylhet,5,5,False,False
qiaojia,5,5,False,False
tetovo,1,1,False,False
faraveh,2,2,False,False
carmagnola,1,1,False,False
ginebig,1,1,False,False
attawapiskat,2,2,True,True
altyshevo,1,1,False,False
penza,1,1,False,False
quanasee,1,1,False,False
nalyachchyya,1,1,False,False
curitiba,1,1,False,False
deti,5,5,False,False
radovanu,1,1,False,True
nanping,5,5,False,True
mullheim,3,3,False,True
minizuahe,2,2,False,False
tordesillas,1,1,False,False
budimlja,1,1,False,False
backnang,1,1,False,True
oberndorf,1,1,False,False
langres,1,1,False,False
baibalyk,1,1,False,False
qasr_himam,2,2,False,False
durlach,3,3,False,True
kesan,2,2,True,True
msiri,1,1,False,False
grafenau,1,1,False,True
csurgo,1,1,False,False
pyuthan,1,1,False,False
mangarayi,1,1,False,False
tit_ary,5,5,False,False
zuoz,1,1,False,False
krems,3,3,False,True
prerov,1,1,False,False
chandpur,5,5,True,True
ikkeri,1,1,False,False
pavia,1,1,False,True
chumikan,5,5,True,True
bogatye_saby,3,3,False,False
hajduszoboszlo,3,3,False,False
red_rock,1,1,False,False
chiquimula,1,1,False,False
selkehatchie,1,1,False,True
mbangala,2,2,False,False
menara,1,1,True,True
mallersdorf,2,2,False,False
bannoye,1,1,False,False
tresivio,1,1,False,False
nelgese,1,1,False,False
schweinfurt,1,1,False,False
daya_kathyn,4,4,False,False
wengker,1,1,False,False
skin_tyee,1,1,False,False
dorohoi,1,1,False,False
bauge,1,1,False,True
sinja,5,5,False,False
sletewsi,3,3,False,False
kanpeska,1,1,False,False
treviso,1,1,False,False
meaux,1,1,False,True
ust_ynykchan,2,2,False,False
pisek,1,1,False,False
gembu,2,2,False,False
mukalombo,5,5,False,False
pahang,3,3,True,True
bischofshofen,1,1,False,False
rothenburg_oberlausitz,1,1,False,False
kiyeng_yuryakh,2,2,False,False
spilimbergo,1,1,False,False
wewoka,1,1,False,False
gmunden,1,1,False,False
trieste,1,1,True,True
juque,5,5,False,False
avignon,3,3,False,True
pokrovskoye,5,5,False,True
tjimba,2,2,False,False
kuthant,2,2,True,True
conotton,2,2,False,False
grenoble,2,2,False,False
kicevo,1,1,False,False
ketungau,5,5,False,False
dumka,1,1,False,False
araritaguaba,5,5,False,False
shimoga,5,5,False,False
white_horse,5,5,False,False
nerekhta,3,3,False,True
bidzhan,4,4,False,False
kuozhou,5,5,False,False
troitskoye_na_shchigrakh,1,1,False,False
darbhanga,5,5,False,False
muang_sam_tai,1,1,False,False
orhei,2,2,False,False
zhehai,2,2,False,False
patna_us,1,1,False,False
aryaru,2,2,True,True
andegerebenha,1,1,False,False
tamba,2,2,False,False
molundu,2,2,False,False
sao_fidelis,5,5,False,False
zahuatan,5,5,False,False
horodnia,2,2,False,False
ust_sheksna,3,3,False,True
penointikara,1,1,False,False
meramec,1,1,False,False
kahiltna,2,2,False,False
binh_nguyen,5,5,False,False
arangastakh,1,1,False,False
tanimuu,2,2,False,False
yuanmou,5,5,False,False
zhenkang,5,5,False,False
meymand,1,1,False,False
pusilha,1,1,True,True
kasuswapaskau,5,5,False,False
bar_le_duc,1,1,False,False
ovimbundu_kongo,1,1,False,False
shoma,3,3,False,False
busiyn,2,2,False,False
gemona,1,1,False,False
tchankasndata,1,1,False,False
jonga_pansa,1,1,False,False
pangu,3,3,False,False
chuya,5,5,False,False
viana,2,2,False,False
nanfeng,1,1,False,False
lipno,3,3,False,True
tsivilsk,4,4,False,True
tommeginne,1,1,True,True
dingnan_anshun,1,1,False,False
shunda,1,1,False,False
sniatyn,2,2,False,False
pasai,1,1,True,True
sime,5,5,False,False
voronezh,2,2,False,True
coria_del_rio,2,2,True,True
ruby,1,1,False,False
ul_kan,1,1,False,False
tereshkovichy,5,5,False,False
hawoben,1,1,False,False
podgorica,1,1,False,False
pennagaram,2,2,False,False
luebo,2,2,False,False
sanyyakhtakh,5,5,False,False
barguna,1,1,True,True
chi_la,1,1,False,False
nicabau,5,5,False,False
zhushan,1,1,False,False
charroux,1,1,False,False
gunaaxoo,3,3,True,True
lepsy,1,1,False,False
mgosas,1,1,False,False
redon,1,1,True,True
jonzac,1,1,True,True
dayao,3,3,False,False
dehua_jiujiang,5,5,False,True
berune,2,2,True,True
baling,5,5,False,True
pakrac,1,1,False,True
phuenchapura,1,1,False,False
mistanipi,3,3,False,False
pandua,3,3,False,True
araut,1,1,True,True
kundjeymi,2,2,False,False
opinicon,1,1,False,False
mazinaw,1,1,False,False
tonala,1,1,False,False
kanolu,5,5,False,False
kealedji,1,1,False,False
ninil,1,1,False,False
khoja_idat_kala,3,3,False,False
shuicheng,2,2,False,False
axocopan,1,1,False,False
kuydusun,1,1,False,False
shawanoe,3,3,False,False
burebasaga,1,1,True,True
kucha,2,2,False,False
opemisca,1,1,False,False
guwahati,5,5,False,True
tolekskoe,1,1,False,False
gulbene,1,1,False,False
tetellan,3,3,False,False
nepepimmesipi,1,1,False,False
sepauk,4,4,False,False
bii,5,5,False,False
kundgol,2,2,False,False
nopiloa,1,1,False,False
zhytkavichy,1,1,False,False
tumaco,5,5,True,True
gegong,2,2,False,False
matman,5,5,False,False
gangela,1,1,False,False
chayrama,1,1,True,True
vamar,5,5,False,False
mingtong,1,1,False,False
kawishiwi,1,1,False,False
cacapon,1,1,False,False
south_juma,5,5,False,False
zhigu,5,5,False,True
vowpa,1,1,False,False
vangash,1,1,False,False
jincheng_zezhou,1,1,False,False
jianchang_sichuan,3,3,False,False
gani_koe,2,2,False,False
pannai,2,2,True,True
yuanjiang,4,4,False,False
wujiang_bozhou,5,5,False,False
dalingkot,2,2,False,False
fengxian,5,5,False,False
barchkend,3,3,False,False
medjez_el_bab,1,1,False,False
luquemba,1,1,False,False
kikinda,5,5,False,False
chatyun,1,1,False,False
mbwela_kabango,1,1,False,False
changqing,3,3,False,False
chenoka,1,1,False,False
speyer,5,5,False,True
lussuna,5,5,False,False
pelly_faro,3,3,False,False
kargil,5,5,False,False
deloy_ges,5,5,False,False
santo_antonio_monte,2,2,False,False
youdian,3,3,False,False
yoov_we_teuh,1,1,False,False
doolboong,2,2,False,False
crescent_spur,2,2,False,False
nga_lac,2,2,False,False
shalakusha,1,1,False,False
shohopanaiti,1,1,False,False
khukhan,2,2,False,False
sosso,1,1,False,False
hoan_chau,5,5,True,True
totma,2,2,False,True
loudi,1,1,False,False
novhorod_siverskyi,2,2,False,False
ambuila,1,1,False,False
tulguur,4,4,False,False
yuechi,3,3,False,False
tungkal,1,1,True,True
kampeska,1,1,False,False
dongan_yongzhou,2,2,False,False
barza,1,1,False,False
mengban_weiyuan,3,3,False,False
zhengan,1,1,False,False
lang_giang,1,1,False,False
dehdez,2,2,False,False
tza_wan_pupako,1,1,False,False
ha_va_nguon,1,1,True,True
olsnica,1,1,False,False
yilun,1,1,True,True
banan,5,5,False,True
wibazoka_wakpa,2,2,False,False
nagara_borneo,2,2,False,True
lokera,5,5,False,False
kozelsk,2,2,False,False
sasovo,1,1,False,False
olawa,1,1,False,False
sibook,1,1,True,True
chuwalee,1,1,False,False
campanha,1,1,False,False
moksobo,4,4,False,True
kabafa,1,1,False,False
srey_sarchhor,5,5,False,True
ishak,2,2,False,False
tobog,1,1,False,False
lyepyel,1,1,False,False
dadandang,3,3,False,False
cazorla,1,1,False,False
merzig,2,2,False,False
taquara,5,5,False,False
hambukushu,2,2,False,False
khelhghubunt_en,1,1,False,False
kirillov,1,1,False,False
otas,5,5,False,False
pyinmana,2,2,False,False
ixcatlan,2,2,False,False
mante,1,1,False,False
canoochee,2,2,False,False
badiraguato,1,1,False,False
xiangshan_xinhui,5,5,True,True
xinhui,5,5,True,True
karwar,1,1,True,True
ajara,1,1,False,False
nirmal,3,3,False,False
roscommon,1,1,False,False
kelapur,2,2,False,False
manukau,5,5,True,True
chaul,1,1,True,True
gujrat,3,3,False,False
sirpur,5,5,False,False
kara,4,4,False,True
kataka,4,4,False,False
pavagada,1,1,False,False
kenda,2,2,False,False
karauli,3,3,False,False
koppal,2,2,False,False
hatthigiripura,2,2,False,False
chambargonda,2,2,False,False
elgin,1,1,True,True
sohagpur,1,1,False,False
daulatabad,2,2,False,False
khandwa,5,5,False,False
mahur,1,1,False,False
mandu,3,3,False,False
evreux,2,2,False,True
deori,5,5,False,False
khambat,1,1,True,True
karad,5,5,False,False
new_ross,1,1,True,True
anegandi,2,2,False,False
anupgarh,1,1,False,False
kandy,1,1,False,False
datia,1,1,False,False
ranthambore,5,5,False,False
umarkot,3,3,False,False
nagarkot,2,2,False,False
waitangi,1,1,True,True
whangarei,1,1,True,True
siwana,1,1,False,False
pakpattan,3,3,False,False
macuze,5,5,True,True
ballymore,1,1,False,False
ramagiri,3,3,False,False
derawar,2,2,False,True
ausa,1,1,False,False
kaithal,1,1,False,False
kalahandinagara,1,1,False,False
mudgal,1,1,False,False
baria,2,2,False,False
dambwe,3,3,False,False
wanga_bazar,3,3,False,False
ujargarh,5,5,False,False
delhi,2,2,False,False
danduka,1,1,True,True
panipat,2,2,False,False
hisar,1,1,False,False
dingwall,1,1,True,True
dharampur,1,1,False,False
balaghat,2,2,False,False
nasik,1,1,False,False
udupi,1,1,True,True
mailsi,3,3,False,False
kalyan,1,1,False,False
suojarvi,1,1,False,False
ekholm,3,3,False,False
gbepleu,2,2,False,False
nguidjilone,2,2,False,True
ogbomosho,1,1,False,False
tibati,5,5,False,False
bossa,1,1,False,False
beledweyne,2,2,False,False
nyala,1,1,False,False
ismail,5,5,False,False
korti,3,3,False,False
qerri,4,4,False,False
ed_daein,1,1,False,False
tembesha,1,1,False,False
mendefera,1,1,False,False
bamba,3,3,False,True
daniski,1,1,False,False
calatrava,1,1,False,False
porto,3,3,True,True
gao,5,5,False,True
gotheye,3,3,False,False
mane,1,1,False,False
pindiga,1,1,False,False
assa,2,2,False,False
funtua,1,1,False,False
arlal,3,3,False,True
ngousa,1,1,False,False
mandingring,2,2,False,False
kular,3,3,False,False
batuco,1,1,False,False
boulaouane,1,1,False,False
ouarzazate,1,1,False,False
cudalbi,2,2,False,False
imsdalen,2,2,False,False
taourirt,1,1,False,False
jeonju,2,2,False,False
kuma,1,1,False,False
sambas,3,3,True,True
chuluutyn,1,1,False,False
ust_kuiga,3,3,False,False
krasnoslobodsk,1,1,False,False
ragunda,2,2,False,False
grimsby,2,2,True,True
kilmez,5,5,False,False
bajura,5,5,False,False
villemur,5,5,False,True
kamieniec,2,2,False,True
mandiana,2,2,False,False
sora,1,1,False,False
atash,1,1,False,False
miranda_de_ebro,1,1,False,False
paser,1,1,True,True
azia,2,2,False,True
skalholt,2,2,False,False
pomabamba,1,1,False,False
nokoni,1,1,False,False
viviers,3,3,False,True
gex,2,2,False,False
chinon,5,5,False,True
aix_en_provence,2,2,True,True
nevers,5,5,False,False
trevoux,2,2,False,True
adilabad,1,1,False,False
ponte_sor,2,2,False,False
hoeyang,1,1,False,False
rende,1,1,False,False
verdun,1,1,False,False
maleisiai,1,1,False,False
perugia,1,1,False,False
oochi,1,1,False,False
anak,2,2,True,True
elgyai,3,3,False,False
sunju,1,1,False,False
shenandoah,1,1,False,False
namgyeong,2,2,False,True
