location,state,pixels,region,near_location,mean_discharge_m3_s,low_discharge_m3_s,gradient_m_per_km,evidence,river_level,tropical,seasonal,x,y,ocean_connected
pp_nav_00018,navigable,77,russian_region,kholmogory,2746.114,821.497,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,4,False,False,9582.270833333334,903.2708333333334,True
pp_nav_00019,navigable,74,russian_region,siya,2585.663,753.547,0.1323186741461921,reach:Northern Dvina with Sukhona (White Sea route):river,4,False,False,9598.770833333334,927.6875,True
pp_nav_00020,navigable,79,west_siberia_region,sumgut_vosh,5363.681,3101.6270000000004,0.349622917175293,reach:Ob with Irtysh:river,0,False,False,10686.875,934.625,False
pp_nav_00021,navigable,84,russian_region,siya,2569.198,747.87,0.19071778386799407,reach:Northern Dvina with Sukhona (White Sea route):river,4,False,False,9613.729166666666,955.7708333333334,True
pp_nav_00022,navigable,77,west_siberia_region,vezhakary,10671.987,6183.816,0.2891701650934903,reach:Ob with Irtysh:river,0,False,False,10671.4375,957.9375,False
pp_nav_00023,navigable,78,russian_region,ust_vayenga,2369.9685,678.8130000000001,0.29603137969970705,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9638.145833333334,977.7291666666666,True
pp_nav_00024,navigable,73,west_siberia_region,karymkary,10609.4455,6138.686,0.2891701650934903,reach:Ob with Irtysh:river,5,False,False,10670.6875,982.8125,False
pp_nav_00025,navigable,76,russian_region,sogra,239.032,57.473,0.12546119689941407,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9652.5,1003.7083333333334,True
pp_nav_00026,navigable,80,west_siberia_region,karymkary,10540.683,6054.519,0.12034797668457031,reach:Ob with Irtysh:river,5,False,False,10696.479166666666,1005.0208333333334,False
pp_nav_00027,navigable,83,west_siberia_region,nazym,10391.75,5911.978999999999,0.03905801910529673,reach:Ob with Irtysh:river,5,False,False,10725.4375,1023.7291666666666,False
pp_nav_00028,navigable,77,russian_region,zaostrovskoye,2206.661,616.331,0.17538871765136718,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9680.541666666666,1022.9583333333334,True
pp_nav_00029,navigable,83,russian_region,nizhnyaya_toyma,2086.077,579.954,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9714.0,1036.5833333333333,True
pp_nav_00030,navigable,79,west_siberia_region,bardak,155.413,129.253,0.0,reach:Ob with Irtysh:river,2,False,False,10747.895833333334,1043.9375,False
pp_nav_00031,navigable,80,russian_region,verkhnyaya_toyma,1833.448,506.04,0.0442108154296875,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9742.604166666666,1054.8958333333333,True
pp_nav_00032,navigable,80,west_siberia_region,bardak,81.52000000000001,68.645,0.02805354925327238,reach:Ob with Irtysh:river,1,False,False,10761.958333333334,1073.5416666666667,False
pp_nav_00033,navigable,80,russian_region,verkhnyaya_toyma,1561.1599999999999,417.9705,0.29980010986328126,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9762.645833333334,1082.8541666666667,True
pp_nav_00034,navigable,80,west_siberia_region,yendyr,10262.207,5719.888,0.0,reach:Ob with Irtysh:river,5,False,False,10787.229166666666,1096.2708333333333,False
pp_nav_00035,navigable,80,russian_region,krasny_bor,1351.563,361.646,0.32732620239257815,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9792.604166666666,1100.8958333333333,True
pp_nav_00036,navigable,76,west_siberia_region,yendyr,10261.324,5717.609,0.30977724980219623,reach:Ob with Irtysh:river,5,False,False,10802.958333333334,1114.8541666666667,False
pp_nav_00037,navigable,71,russian_region,veliky_ustyug,988.9255,251.13150000000002,0.05898780822753906,reach:Northern Dvina with Sukhona (White Sea route):river,5,False,False,9804.6875,1128.1458333333333,True
pp_nav_00038,navigable,81,west_siberia_region,irtysh,2928.126,1807.73,0.2063412642815388,reach:Ob with Irtysh:river,5,False,False,10831.833333333334,1119.1666666666667,False
pp_nav_00039,navigable,82,west_siberia_region,irtysh,109.427,87.76,0.010687637329101562,reach:Ob with Irtysh:river,1,False,False,10918.729166666666,1116.3958333333333,False
pp_nav_00040,navigable,80,west_siberia_region,irtysh,2988.989,1848.101,0.13746389069231404,reach:Ob with Irtysh:river,0,False,False,10860.458333333334,1117.9583333333333,False
pp_nav_00041,navigable,50,west_siberia_region,irtysh,122.026,96.428,0.17694811463412433,reach:Ob with Irtysh:river,0,False,False,10890.1,1117.6666666666667,False
pp_nav_00042,navigable,84,west_siberia_region,surgut,310.34,236.098,0.0,reach:Ob with Irtysh:river,0,False,False,10981.270833333334,1117.5208333333333,False
pp_nav_00043,navigable,62,west_siberia_region,irtysh,81.363,69.165,0.0,reach:Ob with Irtysh:river,1,False,False,10946.891891891892,1118.8108108108108,False
pp_nav_00044,navigable,82,west_siberia_region,surgut,265.2495,204.6815,0.054141998291015625,reach:Ob with Irtysh:river,2,False,False,11017.5,1119.2083333333333,False
pp_nav_00045,navigable,83,west_siberia_region,surgut,246.24,195.692,0.0,reach:Ob with Irtysh:river,0,False,False,11058.4375,1121.2291666666667,False
pp_nav_00046,navigable,86,west_siberia_region,bolshoy_balyk,6066.278,2670.998,0.0,reach:Ob with Irtysh:river,0,False,False,11092.270833333334,1123.9791666666667,False
pp_nav_00047,navigable,84,west_siberia_region,yendyr,6595.595,3761.4799999999996,0.33379554748535156,reach:Ob with Irtysh:river,0,False,False,10817.041666666666,1130.625,False
pp_nav_00048,navigable,79,west_siberia_region,bolshoy_balyk,6029.623,2646.918,0.149653850221818,reach:Ob with Irtysh:river,0,False,False,11126.729166666666,1132.0208333333333,False
pp_nav_00049,navigable,82,west_siberia_region,megion,5956.0975,2590.291,0.09073386730443622,reach:Ob with Irtysh:river,0,False,False,11154.020833333334,1136.6458333333333,False
pp_nav_00050,navigable,79,west_siberia_region,irtysh,2928.126,1807.73,0.0,reach:Ob with Irtysh:river,0,False,False,10846.479166666666,1141.0208333333333,False
pp_nav_00051,navigable,78,russian_region,veliky_ustyug,445.533,133.269,0.16852645874023436,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9780.145833333334,1145.0208333333333,True
pp_nav_00052,navigable,79,west_siberia_region,megion,5296.602,2182.667,0.07920913696289063,reach:Ob with Irtysh:river,0,False,False,11181.541666666666,1149.25,False
pp_nav_00053,navigable,75,west_siberia_region,irtysh,2572.31,1463.8335000000002,0.0,reach:Ob with Irtysh:river,4,False,False,10865.583333333334,1159.6666666666667,False
pp_nav_00054,navigable,83,russian_region,veliky_ustyug,395.735,124.39,0.8252197265625,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9746.395833333334,1153.5625,True
pp_nav_00055,navigable,82,west_siberia_region,upper_ob,5276.124,2179.3945,0.0,reach:Ob with Irtysh:river,0,False,False,11214.354166666666,1162.1458333333333,False
pp_nav_00056,navigable,80,russian_region,nyuksenitsa,367.076,117.774,0.1440488485262399,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9710.958333333334,1164.4583333333333,True
pp_nav_00057,navigable,78,pp_navigation_other,lake_ladoga,2257.825,1461.778,0.0,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,0,False,False,9140.520833333334,1164.3958333333333,True
pp_nav_00058,improvable,84,russian_region,staraya_ladoga,877.122,464.684,0.0,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,3,False,False,9160.416666666666,1187.7916666666667,True
pp_nav_00059,navigable,79,pp_navigation_other,lake_ladoga,2593.228,2124.532,0.0,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,0,False,False,9116.145833333334,1185.0208333333333,True
pp_nav_00060,navigable,80,west_siberia_region,upper_ob,5206.326,2155.014,0.666973893503221,reach:Ob with Irtysh:river,0,False,False,11242.166666666666,1178.1666666666667,False
pp_nav_00061,navigable,80,west_siberia_region,irtysh,2569.754,1462.432,0.0,reach:Ob with Irtysh:river,4,False,False,10869.0,1184.375,False
pp_nav_00062,navigable,79,russian_region,totma,337.946,112.896,0.2726104736328125,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9681.854166666666,1183.3541666666667,True
pp_nav_00063,navigable,78,west_siberia_region,upper_ob,5167.2384999999995,2147.603,0.0,reach:Ob with Irtysh:river,0,False,False,11267.375,1193.875,False
pp_nav_00064,navigable,80,russian_region,totma,324.029,110.441,0.21208962313005858,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9648.270833333334,1197.3125,True
pp_nav_00065,navigable,74,west_siberia_region,irtysh,2559.102,1461.521,0.1430371673020337,reach:Ob with Irtysh:river,4,False,False,10868.208333333334,1202.7916666666667,False
pp_nav_00066,navigable,73,west_siberia_region,upper_ob,5094.954,2137.637,0.0,reach:Ob with Irtysh:river,4,False,False,11287.8125,1210.0625,False
pp_nav_00067,navigable,77,russian_region,oreshek,2528.565,2121.518,0.0,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,3,False,False,9102.104166666666,1217.4791666666667,True
pp_nav_00068,navigable,82,russian_region,totma,275.276,100.847,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9622.520833333334,1218.0208333333333,True
pp_nav_00069,improvable,78,russian_region,staraya_ladoga,665.7819999999999,309.084,0.18415190316180394,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):river;reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,3,False,False,9160.395833333334,1224.0208333333333,True
pp_nav_00070,navigable,57,russian_region,neva,2548.2165,2128.679,0.5723828315734864,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):river;reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):sea,3,False,False,9078.0,1218.888888888889,True
pp_nav_00071,navigable,70,ural_region,usolye,844.501,232.4425,0.12314095993170092,reach:Volga:river,3,False,False,10265.375,1227.4166666666667,True
pp_nav_00072,navigable,80,west_siberia_region,turtas,2555.46,1473.166,0.42585439982911855,reach:Ob with Irtysh:river,2,False,False,10870.229166666666,1221.9791666666667,False
pp_nav_00073,navigable,76,west_siberia_region,upper_ob,5095.45,2144.221,0.0,reach:Ob with Irtysh:river,4,False,False,11299.520833333334,1238.1041666666667,False
pp_nav_00074,navigable,79,russian_region,vekshenga,250.205,92.936,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9593.041666666666,1235.3333333333333,True
pp_nav_00075,navigable,80,west_siberia_region,turtas,167.267,152.695,0.2956367627509657,reach:Ob with Irtysh:river,2,False,False,10848.270833333334,1236.4375,False
pp_nav_00076,navigable,73,russian_region,soltsy_kirishi,623.724,288.951,0.035265009024754955,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):river,3,False,False,9145.916666666666,1253.9166666666667,True
pp_nav_00077,navigable,85,russian_region,shuyskoye,208.8045,79.5355,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9551.25,1244.6666666666667,True
pp_nav_00078,navigable,72,west_siberia_region,turtas,2371.896,1319.887,0.06635021274971888,reach:Ob with Irtysh:river,4,False,False,10827.166666666666,1253.625,False
pp_nav_00079,navigable,15,russian_region,vekshenga,231.691,85.486,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9573.222222222223,1243.2222222222222,True
pp_nav_00080,navigable,72,ural_region,usolye,962.4875,256.764,0.0,reach:Volga:river,3,False,False,10257.020833333334,1253.5208333333333,True
pp_nav_00081,navigable,81,west_siberia_region,upper_ob,5097.641,2138.607,0.7086649446939036,reach:Ob with Irtysh:river,0,False,False,11324.604166666666,1252.1875,False
pp_nav_00082,navigable,48,russian_region,vologda,181.462,71.627,0.0,reach:Northern Dvina with Sukhona (White Sea route):river,2,False,False,9526.129032258064,1253.8064516129032,True
pp_nav_00083,navigable,78,west_siberia_region,upper_ob,4834.004,1901.052,0.0,reach:Ob with Irtysh:river,0,False,False,11346.3125,1260.6875,False
pp_nav_00084,navigable,67,west_siberia_region,qashliq,2250.585,1172.297,0.0,reach:Ob with Irtysh:river,4,False,False,10818.9375,1283.2291666666667,False
pp_nav_00085,navigable,81,west_siberia_region,upper_ob,317.664,273.036,0.0,reach:Ob with Irtysh:river,2,False,False,11366.708333333334,1273.375,False
pp_nav_00086,navigable,70,ural_region,yusva,1107.997,281.252,0.0,reach:Volga:river,3,False,False,10249.666666666666,1287.625,True
pp_nav_00087,navigable,71,russian_region,gruzino,600.298,278.544,0.10840721130371093,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):river,0,False,False,9135.479166666666,1284.9791666666667,True
pp_nav_00088,navigable,78,west_siberia_region,kargasok,4005.509,1048.0,0.07796554565429688,reach:Ob with Irtysh:river,0,False,False,11392.145833333334,1280.3958333333333,False
pp_nav_00089,navigable,81,west_siberia_region,kargasok,4111.339,1065.6725000000001,0.3254359351133016,reach:Ob with Irtysh:river,0,False,False,11416.145833333334,1297.9375,False
pp_nav_00090,navigable,69,west_siberia_region,qashliq,2253.35,1169.325,0.13695728712944408,reach:Ob with Irtysh:river,4,False,False,10807.75,1308.8333333333333,False
pp_nav_00091,navigable,17,russian_region,novgorod,598.869,278.544,0.07574005126953125,reach:Neva - Lake Ladoga - Volkhov (route to Novgorod):river,0,False,False,9125.727272727272,1303.7272727272727,True
pp_nav_00092,navigable,79,west_siberia_region,kolpashevo,4067.926,1014.915,0.16725540161132812,reach:Ob with Irtysh:river,4,False,False,11440.041666666666,1313.0416666666667,False
pp_nav_00093,navigable,75,ural_region,chyormoz,1188.196,296.046,0.0,reach:Volga:river,3,False,False,10251.4375,1317.6875,True
pp_nav_00094,navigable,71,west_siberia_region,tobolsk,2270.18,1166.484,0.17938954941567528,reach:Ob with Irtysh:river,5,False,False,10796.833333333334,1334.6666666666667,False
pp_nav_00095,navigable,78,west_siberia_region,kolpashevo,116.832,97.616,0.18407602728627884,reach:Ob with Irtysh:river,5,False,False,11457.020833333334,1331.5208333333333,False
pp_nav_00096,navigable,75,ural_region,nytva,1633.55,369.5715,0.0214141845703125,reach:Volga:river,3,False,False,10249.708333333334,1341.8958333333333,True
pp_nav_00097,navigable,78,west_siberia_region,kolpashevo,3580.691,629.659,0.1441211063060695,reach:Ob with Irtysh:river,4,False,False,11477.958333333334,1348.1666666666667,False
pp_nav_00098,navigable,58,west_siberia_region,kolpashevo,113.434,94.779,0.043254134339597176,reach:Ob with Irtysh:river,1,False,False,11458.514285714286,1346.7714285714285,False
pp_nav_00099,navigable,73,russian_region,bolshoye_selo,448.588,175.32,0.0,reach:Volga:river,3,False,False,9444.729166666666,1345.8958333333333,True
pp_nav_00100,navigable,82,russian_region,ust_sheksna,996.432,516.007,0.0,reach:Volga:river,3,False,False,9472.1875,1354.8958333333333,True
pp_nav_00101,navigable,73,ural_region,perm,1648.226,374.842,0.0,reach:Volga:river,3,False,False,10222.770833333334,1357.6458333333333,True
pp_nav_00102,navigable,80,west_siberia_region,tobolsk,930.395,543.858,0.013454004488500336,reach:Ob with Irtysh:river,3,False,False,10786.541666666666,1357.0,False
pp_nav_00103,navigable,74,russian_region,uglich,429.093,169.32600000000002,0.0,reach:Volga:river,2,False,False,9437.25,1373.0416666666667,True
pp_nav_00104,navigable,78,west_siberia_region,tobolsk,924.908,535.103,0.0953161541395627,reach:Ob with Irtysh:river,3,False,False,10759.375,1362.5833333333333,False
pp_nav_00105,navigable,79,russian_region,yaroslavl,1008.287,519.997,0.0,reach:Volga:river,3,False,False,9501.958333333334,1372.5,True
pp_nav_00106,navigable,29,west_siberia_region,tobolsk,927.704,540.418,0.0,reach:Ob with Irtysh:river,0,False,False,10781.764705882353,1365.1176470588234,False
pp_nav_00107,navigable,81,russian_region,yaroslavl,1046.455,538.665,0.11526358508629173,reach:Volga:river,3,False,False,9536.520833333334,1369.2291666666667,True
pp_nav_00108,navigable,79,west_siberia_region,molchanovo,3569.22,618.7674999999999,0.11672339861365295,reach:Ob with Irtysh:river,4,False,False,11495.4375,1374.3541666666667,False
pp_nav_00109,navigable,79,ural_region,perm,1677.312,382.1355,0.01710052490234375,reach:Volga:river,3,False,False,10216.291666666666,1386.6666666666667,True
pp_nav_00110,navigable,74,west_siberia_region,yurginskoye,465.87,218.975,0.03110507193632131,reach:Ob with Irtysh:river,2,False,False,10748.104166666666,1382.9791666666667,False
pp_nav_00111,navigable,82,russian_region,kostroma,1162.206,588.005,0.0,reach:Volga:river,3,False,False,9566.862745098038,1383.235294117647,True
pp_nav_00112,navigable,15,russian_region,yaroslavl,1040.27,532.143,0.0,reach:Volga:river,3,False,False,9519.09090909091,1377.090909090909,True
pp_nav_00113,navigable,83,west_siberia_region,melnikovo,2756.404,405.159,0.11672339861365295,reach:Ob with Irtysh:river,4,False,True,11512.083333333334,1395.0,False
pp_nav_00114,navigable,81,russian_region,kostroma,1172.842,594.287,0.1306607857715566,reach:Volga:river,3,False,False,9600.625,1388.7916666666667,True
pp_nav_00115,navigable,84,russian_region,ostrovskoye,1192.561,601.74,0.16339425508187816,reach:Volga:river,3,False,False,9637.0,1392.2083333333333,True
pp_nav_00116,navigable,73,russian_region,kashin,414.349,164.428,0.0,reach:Volga:river,2,False,False,9416.5,1399.3333333333333,True
pp_nav_00117,navigable,74,ural_region,okhannoye,1718.261,392.058,0.0,reach:Volga:river,3,False,False,10198.0,1402.8333333333333,True
pp_nav_00118,navigable,78,west_siberia_region,yurginskoye,457.346,207.458,0.0,reach:Ob with Irtysh:river,2,False,False,10740.166666666666,1402.5416666666667,False
pp_nav_00119,navigable,79,russian_region,korenevo,1444.66,670.768,0.0,reach:Volga:river,3,False,False,9655.4375,1414.8125,True
pp_nav_00120,navigable,80,west_siberia_region,melnikovo,2750.569,395.239,0.0,reach:Ob with Irtysh:river,4,False,True,11531.729166666666,1417.6458333333333,False
pp_nav_00121,navigable,79,west_siberia_region,chimgi_tura,324.536,126.656,0.06347096208202734,reach:Ob with Irtysh:river,5,False,False,10711.583333333334,1413.3333333333333,False
pp_nav_00122,navigable,74,russian_region,kashin,337.235,118.874,0.12527618408203126,reach:Volga:river,2,False,False,9395.854166666666,1423.2708333333333,True
pp_nav_00123,navigable,34,west_siberia_region,chimgi_tura,267.243,107.992,0.025844021350284987,reach:Ob with Irtysh:river,0,False,False,10690.714285714286,1416.4761904761904,False
pp_nav_00124,navigable,80,ural_region,chastye,1733.7795,398.9125,0.0,reach:Volga:river,3,False,False,10174.125,1419.75,True
pp_nav_00125,navigable,78,baltic_region,salaspils,668.062,385.224,0.386246508418324,reach:Daugava (Western Dvina):river;reach:Daugava (Western Dvina):sea,3,False,False,8796.854166666666,1434.6458333333333,True
pp_nav_00126,navigable,74,ural_region,votkings,1746.441,403.668,0.0175079345703125,reach:Volga:river,3,False,False,10147.6875,1436.9375,True
pp_nav_00127,navigable,81,russian_region,gorodets,1459.519,679.776,0.0,reach:Volga:river,3,False,False,9666.75,1448.75,True
pp_nav_00128,navigable,34,west_siberia_region,tomsk,1041.907,128.017,0.2207489013671875,reach:Ob with Irtysh:river,5,False,True,11540.142857142857,1435.952380952381,False
pp_nav_00129,navigable,79,russian_region,vertyazin,233.539,83.09,0.00686187744140625,reach:Volga:river,2,False,False,9337.395833333334,1441.2291666666667,True
pp_nav_00130,navigable,78,russian_region,dubna,293.754,103.612,0.06847076416015625,reach:Volga:river,2,False,False,9369.836734693878,1442.530612244898,True
pp_nav_00131,improvable,79,baltic_region,aizkraukle,633.461,365.434,0.5160514831542968,reach:Daugava (Western Dvina):river,3,False,False,8827.104166666666,1451.0625,True
pp_nav_00132,navigable,69,ural_region,sarapul,1803.889,424.497,0.16561337340737803,reach:Volga:river,3,False,False,10144.5,1465.0,True
pp_nav_00133,improvable,79,baltic_region,jekabpils,563.748,330.174,0.2525604248046875,reach:Daugava (Western Dvina):river,3,False,False,8858.583333333334,1456.1666666666667,True
pp_nav_00134,navigable,79,baltic_region,jekabpils,467.8775,277.821,0.006503675414968481,reach:Daugava (Western Dvina):river,3,False,False,8883.645833333334,1475.8541666666667,True
pp_nav_00135,navigable,74,russian_region,rastyapino,1471.932,685.046,0.145355224609375,reach:Volga:river,3,False,False,9688.645833333334,1471.3958333333333,True
pp_nav_00136,navigable,77,russian_region,kozmodemyansk,3300.602,1197.502,0.0,reach:Volga:river,4,False,False,9808.083333333334,1476.9166666666667,True
pp_nav_00137,navigable,79,russian_region,khakhaly,2821.8435,1082.297,0.0189208984375,reach:Volga:river,4,False,False,9713.041666666666,1485.7916666666667,True
pp_nav_00138,navigable,82,russian_region,meshchersk,1330.234,387.387,0.21252796565058227,reach:Volga:river,3,False,False,9669.416666666666,1482.9583333333333,True
pp_nav_00139,navigable,75,ural_region,kasevo,1870.067,450.419,0.09576759338378907,reach:Volga:river,3,False,False,10149.145833333334,1491.1458333333333,True
pp_nav_00140,navigable,75,russian_region,raznezhye,2857.219,1104.36,0.0,reach:Volga:river,4,False,False,9776.8125,1485.8125,True
pp_nav_00141,navigable,87,russian_region,cheboksary,3312.944,1203.143,0.12074813842773438,reach:Volga:river,4,False,False,9840.541666666666,1486.5416666666667,True
pp_nav_00142,navigable,73,russian_region,raznezhye,2866.648,1102.08,0.04610788580020785,reach:Volga:river,4,False,False,9745.5,1487.5454545454545,True
pp_nav_00143,navigable,77,russian_region,starodub_votsky,1094.325,319.51,0.24851837158203124,reach:Volga:river,3,False,False,9642.604166666666,1497.8541666666667,True
pp_nav_00144,navigable,80,ural_region,kabachischi,3376.6695,1220.247,0.28638663421510185,reach:Volga:river,4,False,False,9875.854166666666,1496.1875,True
pp_nav_00145,navigable,78,baltic_region,daugavpils,449.878,266.835,0.22207413227865191,reach:Daugava (Western Dvina):river,2,False,False,8902.916666666666,1502.3333333333333,True
pp_nav_00146,navigable,81,ural_region,sarapul,2926.2465,625.07,0.002856434526736661,reach:Volga:river,5,False,False,10118.25,1502.6666666666667,True
pp_nav_00147,navigable,74,ural_region,chalninsky_pochinok,3161.1985,686.479,0.0,reach:Volga:river,4,False,False,10083.333333333334,1504.8333333333333,True
pp_nav_00148,navigable,76,russian_region,murom,1086.65,314.437,0.134619140625,reach:Volga:river,3,False,False,9615.208333333334,1516.5416666666667,True
pp_nav_00149,navigable,80,baltic_region,daugavpils,444.9445,263.234,0.0,reach:Daugava (Western Dvina):river,2,False,False,8934.0625,1508.8958333333333,True
pp_nav_00150,navigable,81,russian_region,sviyazhsk,3409.5355,1238.045,0.03139452431770597,reach:Volga:river,4,False,False,9908.020833333334,1510.4791666666667,True
pp_nav_00151,navigable,76,ruthenia_region,dzisna,381.767,235.619,0.05457581205608968,reach:Daugava (Western Dvina):river,5,False,False,8965.645833333334,1518.3125,True
pp_nav_00152,navigable,79,ural_region,yelabuga,3175.574,689.4105,0.30027462509758335,reach:Volga:river,4,False,False,10054.791666666666,1518.4583333333333,True
pp_nav_00153,navigable,74,russian_region,moscow,77.352,26.255,0.2745458005664351,reach:Volga:river,1,False,False,9421.270833333334,1527.2708333333333,True
pp_nav_00154,navigable,71,russian_region,sviyazhsk,3496.292,1264.729,0.0,reach:Volga:river,4,False,False,9926.42,1537.24,True
pp_nav_00155,navigable,79,ural_region,cukataw,4012.954,829.534,0.0,reach:Volga:river,4,False,False,10025.354166666666,1531.8541666666667,True
pp_nav_00156,navigable,78,ruthenia_region,ushachy,311.403,193.331,0.23990443978625015,reach:Daugava (Western Dvina):river,2,False,False,8995.5,1531.875,True
pp_nav_00157,navigable,68,russian_region,melenki,1027.172,295.218,0.0,reach:Volga:river,3,False,False,9599.0625,1544.6875,True
pp_nav_00158,navigable,81,ural_region,cukataw,4064.249,842.475,0.0,reach:Volga:river,4,False,False,9991.541666666666,1537.875,True
pp_nav_00159,navigable,73,russian_region,bronnitsy,100.529,32.293,0.42749786376953125,reach:Volga:river,5,False,False,9447.895833333334,1544.9375,True
pp_nav_00160,navigable,74,baltic_region,windenburg,661.562,352.623,0.010870801886534618,reach:Neman:river;reach:Neman:sea,3,False,False,8662.583333333334,1546.8333333333333,True
pp_nav_00161,navigable,75,ruthenia_region,ulla,250.77,145.383,0.028776897383596768,reach:Daugava (Western Dvina):river,2,False,False,9021.458333333334,1552.0,True
pp_nav_00162,navigable,82,ural_region,laish,4082.5055,851.0895,0.0,reach:Volga:river,4,False,False,9955.979166666666,1546.4791666666667,True
pp_nav_00163,navigable,77,ruthenia_region,vitebsk,240.156,108.499,0.4860134107115851,reach:Daugava (Western Dvina):river,2,False,False,9056.208333333334,1553.5,True
pp_nav_00164,navigable,74,russian_region,sviyazhsk,7619.804,2117.975,0.0,reach:Volga:river,5,False,False,9926.145833333334,1562.0833333333333,True
pp_nav_00165,navigable,79,baltic_region,ragnit,634.621,335.978,0.14444627353700643,reach:Neman:river;reach:Neman:sea,3,False,False,8691.541666666666,1561.5,True
