from,to,state,cost_profile,shore
pp_nav_00015,beryozovo,navigable,navigable,True
pp_nav_00016,pp_nav_00018,navigable,navigable,False
pp_nav_00016,ust_pinega,navigable,navigable,True
pp_nav_00016,kholmogory,navigable,navigable,True
pp_nav_00016,arkhangelsk,navigable,navigable,True
pp_nav_00017,pp_nav_00020,navigable,navigable,False
pp_nav_00017,sumgut_vosh,navigable,navigable,True
pp_nav_00017,beryozovo,navigable,navigable,True
pp_nav_00018,pp_nav_00019,navigable,navigable,False
pp_nav_00018,kholmogory,navigable,navigable,True
pp_nav_00018,siya,navigable,navigable,True
pp_nav_00019,pp_nav_00021,navigable,navigable,False
pp_nav_00019,kholmogory,navigable,navigable,True
pp_nav_00019,siya,navigable,navigable,True
pp_nav_00020,pp_nav_00022,navigable,navigable,False
pp_nav_00020,sumgut_vosh,navigable,navigable,True
pp_nav_00020,kazym,navigable,navigable,True
pp_nav_00020,vezhakary,navigable,navigable,True
pp_nav_00020,beryozovo,navigable,navigable,True
pp_nav_00021,pp_nav_00023,navigable,navigable,False
pp_nav_00021,siya,navigable,navigable,True
pp_nav_00021,ust_vayenga,navigable,navigable,True
pp_nav_00022,pp_nav_00024,navigable,navigable,False
pp_nav_00022,sumgut_vosh,navigable,navigable,True
pp_nav_00022,kaltysyany,navigable,navigable,True
pp_nav_00022,vezhakary,navigable,navigable,True
pp_nav_00023,pp_nav_00025,navigable,navigable,False
pp_nav_00023,ust_vayenga,navigable,navigable,True
pp_nav_00023,sogra,navigable,navigable,True
pp_nav_00024,pp_nav_00026,navigable,navigable,False
pp_nav_00024,karymkary,navigable,navigable,True
pp_nav_00024,kaltysyany,navigable,navigable,True
pp_nav_00024,vezhakary,navigable,navigable,True
pp_nav_00025,pp_nav_00028,navigable,navigable,False
pp_nav_00025,bereznik,navigable,navigable,True
pp_nav_00025,zaostrovskoye,navigable,navigable,True
pp_nav_00025,sogra,navigable,navigable,True
pp_nav_00026,pp_nav_00027,navigable,navigable,False
pp_nav_00026,nazym,navigable,navigable,True
pp_nav_00026,karymkary,navigable,navigable,True
pp_nav_00027,pp_nav_00030,navigable,navigable,False
pp_nav_00027,nazym,navigable,navigable,True
pp_nav_00028,pp_nav_00029,navigable,navigable,False
pp_nav_00028,voznesenskoye,navigable,navigable,True
pp_nav_00028,nizhnyaya_toyma,navigable,navigable,True
pp_nav_00028,zaostrovskoye,navigable,navigable,True
pp_nav_00028,sogra,navigable,navigable,True
pp_nav_00029,pp_nav_00031,navigable,navigable,False
pp_nav_00029,voznesenskoye,navigable,navigable,True
pp_nav_00029,nizhnyaya_toyma,navigable,navigable,True
pp_nav_00030,pp_nav_00032,navigable,navigable,False
pp_nav_00030,nazym,navigable,navigable,True
pp_nav_00030,kharom_vosh,navigable,navigable,True
pp_nav_00030,bardak,navigable,navigable,True
pp_nav_00031,krasny_bor,navigable,navigable,True
pp_nav_00031,pp_nav_00033,navigable,navigable,False
pp_nav_00031,voznesenskoye,navigable,navigable,True
pp_nav_00031,verkhnyaya_toyma,navigable,navigable,True
pp_nav_00031,nizhnyaya_toyma,navigable,navigable,True
pp_nav_00032,pp_nav_00034,navigable,navigable,False
pp_nav_00032,yendyr,navigable,navigable,True
pp_nav_00032,kharom_vosh,navigable,navigable,True
pp_nav_00032,bardak,navigable,navigable,True
pp_nav_00033,krasny_bor,navigable,navigable,True
pp_nav_00033,pp_nav_00035,navigable,navigable,False
pp_nav_00033,verkhnyaya_toyma,navigable,navigable,True
pp_nav_00033,uftyuga,navigable,navigable,True
pp_nav_00034,pp_nav_00036,navigable,navigable,False
pp_nav_00034,yendyr,navigable,navigable,True
pp_nav_00035,krasny_bor,navigable,navigable,True
pp_nav_00035,pp_nav_00037,navigable,navigable,False
pp_nav_00035,koryazhma,navigable,navigable,True
pp_nav_00035,uftyuga,navigable,navigable,True
pp_nav_00036,pp_nav_00038,navigable,navigable,False
pp_nav_00036,pp_nav_00047,navigable,navigable,False
pp_nav_00036,yendyr,navigable,navigable,True
pp_nav_00037,krasny_bor,navigable,navigable,True
pp_nav_00037,pp_nav_00051,navigable,navigable,False
pp_nav_00037,veliky_ustyug,navigable,navigable,True
pp_nav_00037,koryazhma,navigable,navigable,True
pp_nav_00038,pp_nav_00040,navigable,navigable,False
pp_nav_00038,yendyr,navigable,navigable,True
pp_nav_00038,irtysh,navigable,navigable,True
pp_nav_00039,pp_nav_00041,navigable,navigable,False
pp_nav_00039,pp_nav_00043,navigable,navigable,False
pp_nav_00039,irtysh,navigable,navigable,True
pp_nav_00040,pp_nav_00041,navigable,navigable,False
pp_nav_00040,irtysh,navigable,navigable,True
pp_nav_00041,irtysh,navigable,navigable,True
pp_nav_00042,pp_nav_00043,navigable,navigable,False
pp_nav_00042,pp_nav_00044,navigable,navigable,False
pp_nav_00042,surgut,navigable,navigable,True
pp_nav_00042,bolshoy_balyk,navigable,navigable,True
pp_nav_00043,surgut,navigable,navigable,True
pp_nav_00043,bolshoy_balyk,navigable,navigable,True
pp_nav_00043,irtysh,navigable,navigable,True
pp_nav_00044,pp_nav_00045,navigable,navigable,False
pp_nav_00044,surgut,navigable,navigable,True
pp_nav_00044,bolshoy_balyk,navigable,navigable,True
pp_nav_00045,pp_nav_00046,navigable,navigable,False
pp_nav_00045,surgut,navigable,navigable,True
pp_nav_00045,bolshoy_balyk,navigable,navigable,True
pp_nav_00046,pp_nav_00048,navigable,navigable,False
pp_nav_00046,surgut,navigable,navigable,True
pp_nav_00046,megion,navigable,navigable,True
pp_nav_00046,bolshoy_balyk,navigable,navigable,True
pp_nav_00047,pp_nav_00050,navigable,navigable,False
pp_nav_00047,yendyr,navigable,navigable,True
pp_nav_00047,irtysh,navigable,navigable,True
pp_nav_00048,pp_nav_00049,navigable,navigable,False
pp_nav_00048,megion,navigable,navigable,True
pp_nav_00048,bolshoy_yugan,navigable,navigable,True
pp_nav_00048,bolshoy_balyk,navigable,navigable,True
pp_nav_00049,pp_nav_00052,navigable,navigable,False
pp_nav_00049,megion,navigable,navigable,True
pp_nav_00049,bolshoy_yugan,navigable,navigable,True
pp_nav_00050,pp_nav_00053,navigable,navigable,False
pp_nav_00050,irtysh,navigable,navigable,True
pp_nav_00051,pp_nav_00054,navigable,navigable,False
pp_nav_00051,veliky_ustyug,navigable,navigable,True
pp_nav_00052,pp_nav_00055,navigable,navigable,False
pp_nav_00052,upper_ob,navigable,navigable,True
pp_nav_00052,megion,navigable,navigable,True
pp_nav_00052,bolshoy_yugan,navigable,navigable,True
pp_nav_00053,pp_nav_00061,navigable,navigable,False
pp_nav_00053,yukonda,navigable,navigable,True
pp_nav_00053,irtysh,navigable,navigable,True
pp_nav_00054,pp_nav_00056,navigable,navigable,False
pp_nav_00054,nyuksenitsa,navigable,navigable,True
pp_nav_00054,veliky_ustyug,navigable,navigable,True
pp_nav_00055,pp_nav_00060,navigable,navigable,False
pp_nav_00055,upper_ob,navigable,navigable,True
pp_nav_00056,pp_nav_00062,navigable,navigable,False
pp_nav_00056,nyuksenitsa,navigable,navigable,True
pp_nav_00057,pp_nav_00058,improvable,improvable,False
pp_nav_00057,pp_nav_00059,navigable,navigable,False
pp_nav_00058,staraya_ladoga,improvable,improvable,True
pp_nav_00058,pp_nav_00069,improvable,improvable,False
pp_nav_00058,mezhutka,improvable,improvable,True
pp_nav_00059,pp_nav_00067,navigable,navigable,False
pp_nav_00060,pp_nav_00063,navigable,navigable,False
pp_nav_00060,upper_ob,navigable,navigable,True
pp_nav_00061,pp_nav_00065,navigable,navigable,False
pp_nav_00061,yukonda,navigable,navigable,True
pp_nav_00061,irtysh,navigable,navigable,True
pp_nav_00062,pp_nav_00064,navigable,navigable,False
pp_nav_00062,totma,navigable,navigable,True
pp_nav_00062,tarnogsky_gorodok,navigable,navigable,True
pp_nav_00062,nyuksenitsa,navigable,navigable,True
pp_nav_00063,pp_nav_00066,navigable,navigable,False
pp_nav_00063,upper_ob,navigable,navigable,True
pp_nav_00064,pp_nav_00068,navigable,navigable,False
pp_nav_00064,totma,navigable,navigable,True
pp_nav_00065,pp_nav_00072,navigable,navigable,False
pp_nav_00065,yukonda,navigable,navigable,True
pp_nav_00065,irtysh,navigable,navigable,True
pp_nav_00066,pp_nav_00073,navigable,navigable,False
pp_nav_00066,upper_ob,navigable,navigable,True
pp_nav_00067,pp_nav_00070,navigable,navigable,False
pp_nav_00067,oreshek,navigable,navigable,True
pp_nav_00067,lisino,navigable,navigable,True
pp_nav_00067,markovo,navigable,navigable,True
pp_nav_00068,pp_nav_00074,navigable,navigable,False
pp_nav_00068,totma,navigable,navigable,True
pp_nav_00069,staraya_ladoga,improvable,improvable,True
pp_nav_00069,pp_nav_00076,improvable,improvable,False
pp_nav_00069,mezhutka,improvable,improvable,True
pp_nav_00069,soltsy_kirishi,improvable,improvable,True
pp_nav_00070,east_gulf_of_finland,navigable,navigable,False
pp_nav_00070,oreshek,navigable,navigable,True
pp_nav_00070,lisino,navigable,navigable,True
pp_nav_00070,neva,navigable,navigable,True
pp_nav_00071,pp_nav_00080,navigable,navigable,False
pp_nav_00071,solikamsk,navigable,navigable,True
pp_nav_00071,usolye,navigable,navigable,True
pp_nav_00071,cherdyn,navigable,navigable,True
pp_nav_00071,kizel,navigable,navigable,True
pp_nav_00072,pp_nav_00075,navigable,navigable,False
pp_nav_00072,turtas,navigable,navigable,True
pp_nav_00072,yukonda,navigable,navigable,True
pp_nav_00072,irtysh,navigable,navigable,True
pp_nav_00073,pp_nav_00081,navigable,navigable,False
pp_nav_00073,upper_ob,navigable,navigable,True
pp_nav_00074,pp_nav_00079,navigable,navigable,False
pp_nav_00074,totma,navigable,navigable,True
pp_nav_00074,vekshenga,navigable,navigable,True
pp_nav_00075,pp_nav_00078,navigable,navigable,False
pp_nav_00075,turtas,navigable,navigable,True
pp_nav_00076,staraya_ladoga,navigable,navigable,True
pp_nav_00076,pp_nav_00087,navigable,navigable,False
pp_nav_00076,lyuban,navigable,navigable,True
pp_nav_00076,chudovo,navigable,navigable,True
pp_nav_00076,soltsy_kirishi,navigable,navigable,True
pp_nav_00076,gruzino,navigable,navigable,True
pp_nav_00077,pp_nav_00079,navigable,navigable,False
pp_nav_00077,pp_nav_00082,navigable,navigable,False
pp_nav_00077,shuyskoye,navigable,navigable,True
pp_nav_00077,arkhangelskoye_vologda,navigable,navigable,True
pp_nav_00077,vologda,navigable,navigable,True
pp_nav_00078,pp_nav_00084,navigable,navigable,False
pp_nav_00078,turtas,navigable,navigable,True
pp_nav_00079,shuyskoye,navigable,navigable,True
pp_nav_00079,vekshenga,navigable,navigable,True
pp_nav_00080,pp_nav_00086,navigable,navigable,False
pp_nav_00080,yusva,navigable,navigable,True
pp_nav_00080,usolye,navigable,navigable,True
pp_nav_00080,dobryanka,navigable,navigable,True
pp_nav_00080,kizel,navigable,navigable,True
pp_nav_00081,pp_nav_00083,navigable,navigable,False
pp_nav_00081,upper_ob,navigable,navigable,True
pp_nav_00082,kubenskoye,navigable,navigable,True
pp_nav_00082,vologda,navigable,navigable,True
pp_nav_00083,pp_nav_00085,navigable,navigable,False
pp_nav_00083,upper_ob,navigable,navigable,True
pp_nav_00084,pp_nav_00090,navigable,navigable,False
pp_nav_00084,turtas,navigable,navigable,True
pp_nav_00084,qashliq,navigable,navigable,True
pp_nav_00085,pp_nav_00088,navigable,navigable,False
pp_nav_00085,kargasok,navigable,navigable,True
pp_nav_00085,vasyugan,navigable,navigable,True
pp_nav_00085,upper_ob,navigable,navigable,True
pp_nav_00086,pp_nav_00093,navigable,navigable,False
pp_nav_00086,chyormoz,navigable,navigable,True
pp_nav_00086,yusva,navigable,navigable,True
pp_nav_00086,dobryanka,navigable,navigable,True
pp_nav_00087,pp_nav_00091,navigable,navigable,False
pp_nav_00087,novgorod,navigable,navigable,True
pp_nav_00087,chudovo,navigable,navigable,True
pp_nav_00087,gruzino,navigable,navigable,True
pp_nav_00088,pp_nav_00089,navigable,navigable,False
pp_nav_00088,kargasok,navigable,navigable,True
pp_nav_00088,upper_ob,navigable,navigable,True
pp_nav_00089,pp_nav_00092,navigable,navigable,False
pp_nav_00090,pp_nav_00094,navigable,navigable,False
pp_nav_00090,qashliq,navigable,navigable,True
pp_nav_00091,novgorod,navigable,navigable,True
pp_nav_00091,chudovo,navigable,navigable,True
pp_nav_00092,pp_nav_00095,navigable,navigable,False
pp_nav_00092,kolpashevo,navigable,navigable,True
pp_nav_00093,pp_nav_00096,navigable,navigable,False
pp_nav_00093,chyormoz,navigable,navigable,True
pp_nav_00093,dobryanka,navigable,navigable,True
pp_nav_00094,pp_nav_00102,navigable,navigable,False
pp_nav_00094,qashliq,navigable,navigable,True
pp_nav_00094,tobolsk,navigable,navigable,True
pp_nav_00095,pp_nav_00097,navigable,navigable,False
pp_nav_00095,pp_nav_00098,navigable,navigable,False
pp_nav_00095,kolpashevo,navigable,navigable,True
pp_nav_00096,perm,navigable,navigable,True
pp_nav_00096,pp_nav_00101,navigable,navigable,False
pp_nav_00096,nytva,navigable,navigable,True
pp_nav_00096,chyormoz,navigable,navigable,True
pp_nav_00096,dobryanka,navigable,navigable,True
pp_nav_00097,pp_nav_00108,navigable,navigable,False
pp_nav_00097,kolpashevo,navigable,navigable,True
pp_nav_00098,kolpashevo,navigable,navigable,True
pp_nav_00099,bolshoye_selo,navigable,navigable,True
pp_nav_00099,pp_nav_00100,navigable,navigable,False
pp_nav_00099,pp_nav_00103,navigable,navigable,False
pp_nav_00099,ust_sheksna,navigable,navigable,True
pp_nav_00099,mologa,navigable,navigable,True
pp_nav_00100,bolshoye_selo,navigable,navigable,True
pp_nav_00100,pp_nav_00105,navigable,navigable,False
pp_nav_00100,ust_sheksna,navigable,navigable,True
pp_nav_00100,kurba,navigable,navigable,True
pp_nav_00100,romanov,navigable,navigable,True
pp_nav_00101,perm,navigable,navigable,True
pp_nav_00101,pp_nav_00109,navigable,navigable,False
pp_nav_00101,nytva,navigable,navigable,True
pp_nav_00102,pp_nav_00104,navigable,navigable,False
pp_nav_00102,pp_nav_00106,navigable,navigable,False
pp_nav_00102,tobolsk,navigable,navigable,True
pp_nav_00103,bolshoye_selo,navigable,navigable,True
pp_nav_00103,pp_nav_00116,navigable,navigable,False
pp_nav_00103,mologa,navigable,navigable,True
pp_nav_00103,uglich,navigable,navigable,True
pp_nav_00104,pp_nav_00110,navigable,navigable,False
pp_nav_00104,tavdinsky_sloboda,navigable,navigable,True
pp_nav_00104,tobolsk,navigable,navigable,True
pp_nav_00105,pp_nav_00112,navigable,navigable,False
pp_nav_00105,yaroslavl,navigable,navigable,True
pp_nav_00105,kurba,navigable,navigable,True
pp_nav_00105,romanov,navigable,navigable,True
pp_nav_00106,tobolsk,navigable,navigable,True
pp_nav_00107,pp_nav_00111,navigable,navigable,False
pp_nav_00107,pp_nav_00112,navigable,navigable,False
pp_nav_00107,yaroslavl,navigable,navigable,True
pp_nav_00107,nerekhta,navigable,navigable,True
pp_nav_00107,kostroma,navigable,navigable,True
pp_nav_00107,danilov,navigable,navigable,True
pp_nav_00108,pp_nav_00113,navigable,difficult,False
pp_nav_00108,molchanovo,navigable,navigable,True
pp_nav_00108,kolpashevo,navigable,navigable,True
pp_nav_00109,perm,navigable,navigable,True
pp_nav_00109,pp_nav_00117,navigable,navigable,False
pp_nav_00109,kungur,navigable,navigable,True
pp_nav_00109,okhannoye,navigable,navigable,True
pp_nav_00110,pp_nav_00118,navigable,navigable,False
pp_nav_00110,tavdinsky_sloboda,navigable,navigable,True
pp_nav_00110,tobolsk,navigable,navigable,True
pp_nav_00110,yurginskoye,navigable,navigable,True
pp_nav_00111,pp_nav_00114,navigable,navigable,False
pp_nav_00111,nerekhta,navigable,navigable,True
pp_nav_00111,yakovlevskoye_bolshoye,navigable,navigable,True
pp_nav_00111,kostroma,navigable,navigable,True
pp_nav_00112,yaroslavl,navigable,navigable,True
pp_nav_00113,pp_nav_00120,navigable,difficult,False
pp_nav_00113,tomsk,navigable,difficult,True
pp_nav_00113,molchanovo,navigable,difficult,True
pp_nav_00113,melnikovo,navigable,difficult,True
pp_nav_00114,pp_nav_00115,navigable,navigable,False
pp_nav_00114,kostroma,navigable,navigable,True
pp_nav_00114,ostrovskoye,navigable,navigable,True
pp_nav_00115,pp_nav_00119,navigable,navigable,False
pp_nav_00115,ostrovskoye,navigable,navigable,True
pp_nav_00115,kadyy,navigable,navigable,True
pp_nav_00116,pp_nav_00122,navigable,navigable,False
pp_nav_00116,uglich,navigable,navigable,True
pp_nav_00116,kashin,navigable,navigable,True
pp_nav_00117,pp_nav_00124,navigable,navigable,False
pp_nav_00117,osa,navigable,navigable,True
pp_nav_00117,okhannoye,navigable,navigable,True
pp_nav_00117,chastye,navigable,navigable,True
pp_nav_00118,pp_nav_00121,navigable,navigable,False
pp_nav_00118,tavdinsky_sloboda,navigable,navigable,True
pp_nav_00118,yurginskoye,navigable,navigable,True
pp_nav_00119,pp_nav_00127,navigable,navigable,False
pp_nav_00119,korenevo,navigable,navigable,True
pp_nav_00119,kadyy,navigable,navigable,True
pp_nav_00119,yuryev_povolzhsk,navigable,navigable,True
pp_nav_00119,gorodets,navigable,navigable,True
pp_nav_00119,vasilyeva_sloboda,navigable,navigable,True
pp_nav_00120,pp_nav_00128,navigable,difficult,False
pp_nav_00120,tomsk,navigable,difficult,True
pp_nav_00120,melnikovo,navigable,difficult,True
pp_nav_00121,pp_nav_00123,navigable,navigable,False
pp_nav_00121,chimgi_tura,navigable,navigable,True
pp_nav_00121,tavdinsky_sloboda,navigable,navigable,True
pp_nav_00122,pp_nav_00130,navigable,navigable,False
pp_nav_00122,dubna,navigable,navigable,True
pp_nav_00122,kashin,navigable,navigable,True
pp_nav_00122,kalyazin,navigable,navigable,True
pp_nav_00122,kimra,navigable,navigable,True
pp_nav_00123,chimgi_tura,navigable,navigable,True
pp_nav_00124,pp_nav_00126,navigable,navigable,False
pp_nav_00124,yelovo,navigable,navigable,True
pp_nav_00124,chastye,navigable,navigable,True
pp_nav_00124,votkings,navigable,navigable,True
pp_nav_00125,pp_nav_00131,improvable,improvable,False
pp_nav_00125,gulf_of_riga,navigable,navigable,False
pp_nav_00125,salaspils,navigable,navigable,True
pp_nav_00125,riga,navigable,navigable,True
pp_nav_00125,koknese,navigable,navigable,True
pp_nav_00126,pp_nav_00132,navigable,navigable,False
pp_nav_00126,sarapul,navigable,navigable,True
pp_nav_00126,yelovo,navigable,navigable,True
pp_nav_00126,votkings,navigable,navigable,True
pp_nav_00126,saygatsky,navigable,navigable,True
pp_nav_00127,pp_nav_00135,navigable,navigable,False
pp_nav_00127,rastyapino,navigable,navigable,True
pp_nav_00127,nizhny_novgorod,navigable,navigable,True
pp_nav_00127,gorodets,navigable,navigable,True
pp_nav_00127,vasilyeva_sloboda,navigable,navigable,True
pp_nav_00128,bolotnye,navigable,difficult,True
pp_nav_00128,tomsk,navigable,difficult,True
pp_nav_00128,melnikovo,navigable,difficult,True
pp_nav_00129,pp_nav_00130,navigable,navigable,False
pp_nav_00129,tver,navigable,navigable,True
pp_nav_00129,vertyazin,navigable,navigable,True
pp_nav_00130,dubna,navigable,navigable,True
pp_nav_00130,vertyazin,navigable,navigable,True
pp_nav_00130,kimra,navigable,navigable,True
pp_nav_00131,pp_nav_00133,improvable,improvable,False
pp_nav_00131,salaspils,improvable,improvable,True
pp_nav_00131,aizkraukle,improvable,improvable,True
pp_nav_00131,koknese,improvable,improvable,True
pp_nav_00132,pp_nav_00139,navigable,navigable,False
pp_nav_00132,sarapul,navigable,navigable,True
pp_nav_00132,saygatsky,navigable,navigable,True
pp_nav_00133,pp_nav_00134,improvable,improvable,False
pp_nav_00133,selpils,improvable,improvable,True
pp_nav_00133,aizkraukle,improvable,improvable,True
pp_nav_00133,jekabpils,improvable,improvable,True
pp_nav_00133,koknese,improvable,improvable,True
pp_nav_00134,pp_nav_00145,navigable,navigable,False
pp_nav_00134,selpils,navigable,navigable,True
pp_nav_00134,jekabpils,navigable,navigable,True
pp_nav_00134,daugavpils,navigable,navigable,True
pp_nav_00134,kraslava,navigable,navigable,True
pp_nav_00135,pp_nav_00137,navigable,navigable,False
pp_nav_00135,pp_nav_00138,navigable,navigable,False
pp_nav_00135,rastyapino,navigable,navigable,True
pp_nav_00135,nizhny_novgorod,navigable,navigable,True
pp_nav_00135,meshchersk,navigable,navigable,True
pp_nav_00136,pp_nav_00140,navigable,navigable,False
pp_nav_00136,pp_nav_00141,navigable,navigable,False
pp_nav_00136,voskresenskoye,navigable,navigable,True
pp_nav_00136,raznezhye,navigable,navigable,True
pp_nav_00136,vasilsursk,navigable,navigable,True
pp_nav_00136,kozmodemyansk,navigable,navigable,True
pp_nav_00137,pp_nav_00142,navigable,navigable,False
pp_nav_00137,dalneye_konstantinovo,navigable,navigable,True
pp_nav_00137,nizhny_novgorod,navigable,navigable,True
pp_nav_00137,khakhaly,navigable,navigable,True
pp_nav_00138,pp_nav_00143,navigable,navigable,False
pp_nav_00138,rastyapino,navigable,navigable,True
pp_nav_00138,gorokhovets,navigable,navigable,True
pp_nav_00138,meshchersk,navigable,navigable,True
pp_nav_00139,pp_nav_00146,navigable,navigable,False
pp_nav_00139,sarapul,navigable,navigable,True
pp_nav_00139,saygatsky,navigable,navigable,True
pp_nav_00139,kasevo,navigable,navigable,True
pp_nav_00140,pp_nav_00142,navigable,navigable,False
pp_nav_00140,raznezhye,navigable,navigable,True
pp_nav_00140,vasilsursk,navigable,navigable,True
pp_nav_00140,lyskovo,navigable,navigable,True
pp_nav_00140,kurmysh,navigable,navigable,True
pp_nav_00141,pp_nav_00144,navigable,navigable,False
pp_nav_00141,tsivilsk,navigable,navigable,True
pp_nav_00141,kabachischi,navigable,navigable,True
pp_nav_00141,kozmodemyansk,navigable,navigable,True
pp_nav_00141,cheboksary,navigable,navigable,True
pp_nav_00142,raznezhye,navigable,navigable,True
pp_nav_00142,lyskovo,navigable,navigable,True
pp_nav_00142,khakhaly,navigable,navigable,True
pp_nav_00143,pp_nav_00148,navigable,navigable,False
pp_nav_00143,gorokhovets,navigable,navigable,True
pp_nav_00143,pavlovo,navigable,navigable,True
pp_nav_00143,meshchersk,navigable,navigable,True
pp_nav_00143,starodub_votsky,navigable,navigable,True
pp_nav_00144,pp_nav_00150,navigable,navigable,False
pp_nav_00144,tsivilsk,navigable,navigable,True
pp_nav_00144,atishchevo,navigable,navigable,True
pp_nav_00144,kabachischi,navigable,navigable,True
pp_nav_00145,pp_nav_00149,navigable,navigable,False
pp_nav_00145,daugavpils,navigable,navigable,True
pp_nav_00145,kraslava,navigable,navigable,True
pp_nav_00146,pp_nav_00147,navigable,navigable,False
pp_nav_00146,lower_aktanyshbash,navigable,navigable,True
pp_nav_00146,sarapul,navigable,navigable,True
pp_nav_00146,chalninsky_pochinok,navigable,navigable,True
pp_nav_00146,menzelinsk,navigable,navigable,True
pp_nav_00146,kasevo,navigable,navigable,True
pp_nav_00147,pp_nav_00152,navigable,navigable,False
pp_nav_00147,sarapul,navigable,navigable,True
pp_nav_00147,chalninsky_pochinok,navigable,navigable,True
pp_nav_00147,yelabuga,navigable,navigable,True
pp_nav_00148,pp_nav_00157,navigable,navigable,False
pp_nav_00148,starodub_votsky,navigable,navigable,True
pp_nav_00148,murom,navigable,navigable,True
pp_nav_00149,pp_nav_00151,navigable,navigable,False
pp_nav_00149,asvieja,navigable,navigable,True
pp_nav_00149,miory,navigable,navigable,True
pp_nav_00149,daugavpils,navigable,navigable,True
pp_nav_00149,kraslava,navigable,navigable,True
pp_nav_00149,braslaw,navigable,navigable,True
pp_nav_00150,pp_nav_00154,navigable,navigable,False
pp_nav_00150,dobyaz,navigable,navigable,True
pp_nav_00150,atishchevo,navigable,navigable,True
pp_nav_00150,kabachischi,navigable,navigable,True
pp_nav_00150,sviyazhsk,navigable,navigable,True
pp_nav_00150,kazan,navigable,navigable,True
pp_nav_00151,pp_nav_00156,navigable,navigable,False
pp_nav_00151,dzisna,navigable,navigable,True
pp_nav_00151,ushachy,navigable,navigable,True
pp_nav_00151,asvieja,navigable,navigable,True
pp_nav_00151,miory,navigable,navigable,True
pp_nav_00152,pp_nav_00155,navigable,navigable,False
pp_nav_00152,zainsk,navigable,navigable,True
pp_nav_00152,chalninsky_pochinok,navigable,navigable,True
pp_nav_00152,yelabuga,navigable,navigable,True
pp_nav_00153,pp_nav_00159,navigable,navigable,False
pp_nav_00153,odintsovo,navigable,navigable,True
pp_nav_00153,moscow,navigable,navigable,True
pp_nav_00153,bronnitsy,navigable,navigable,True
pp_nav_00154,pp_nav_00164,navigable,navigable,False
pp_nav_00154,sviyazhsk,navigable,navigable,True
pp_nav_00154,kazan,navigable,navigable,True
pp_nav_00155,pp_nav_00158,navigable,navigable,False
pp_nav_00155,mamadysh,navigable,navigable,True
pp_nav_00155,cukataw,navigable,navigable,True
pp_nav_00155,zainsk,navigable,navigable,True
pp_nav_00155,yelabuga,navigable,navigable,True
pp_nav_00156,pp_nav_00161,navigable,navigable,False
pp_nav_00156,dzisna,navigable,navigable,True
pp_nav_00156,ushachy,navigable,navigable,True
pp_nav_00156,polotsk,navigable,navigable,True
pp_nav_00157,melenki,navigable,navigable,True
pp_nav_00157,pp_nav_00167,navigable,navigable,False
pp_nav_00157,ardatov,navigable,navigable,True
pp_nav_00157,kasimov,navigable,navigable,True
pp_nav_00157,murom,navigable,navigable,True
