location_tag,good,predicted,target,reason
mudhaykirah,dyes,-0.39,-0.0866,predicted below floor -0.2
ouargla,dyes,-0.37,,not viable in the efficiency data
pocheon,dyes,-0.31,-0.3022,predicted below floor -0.2
rieti,dyes,-0.3,-0.2304,predicted below floor -0.2
sehwan,dyes,-0.13,,not viable in the efficiency data
silla,dyes,-0.37,,not viable in the efficiency data
sinop,dyes,-0.31,-0.0929,predicted below floor -0.2
teguise,dyes,-0.33,,not viable in the efficiency data
the_hague,dyes,-0.21,-0.1018,predicted below floor -0.2
trencin,dyes,-0.31,-0.1766,predicted below floor -0.2
troyes,dyes,-0.21,-0.1395,predicted below floor -0.2
wenteche,dyes,-0.38,-0.3434,predicted below floor -0.2
yenecamu,dyes,-0.37,-0.1925,predicted below floor -0.2
zhending,dyes,-0.22,-0.1282,predicted below floor -0.2
adirondacks,fiber_crops,-0.38,-0.6359,predicted below floor -0.2
agh_qala,fiber_crops,-0.25,-0.1048,predicted below floor -0.2
aizkraukle,fiber_crops,-0.25,-0.3295,predicted below floor -0.2
al_madar,fiber_crops,-0.31,-0.4929,predicted below floor -0.2
altan_gadas,fiber_crops,-0.7,,not viable in the efficiency data
amiskwaciwiy,fiber_crops,-0.52,-0.5515,predicted below floor -0.2
andegerebenha,fiber_crops,-0.36,-0.1538,predicted below floor -0.2
anelo,fiber_crops,-0.42,-0.1497,predicted below floor -0.2
anso,fiber_crops,-0.27,0.0392,predicted below floor -0.2
arequipa,fiber_crops,-0.53,-0.0715,predicted below floor -0.2
atfih,fiber_crops,-0.41,0.1351,predicted below floor -0.2
bagh_iran,fiber_crops,-0.42,-0.3953,predicted below floor -0.2
bakhmach,fiber_crops,-0.23,-0.2025,predicted below floor -0.2
bardejov,fiber_crops,-0.26,-0.2265,predicted below floor -0.2
bardsir,fiber_crops,-0.55,-0.3058,predicted below floor -0.2
barza,fiber_crops,-0.27,-0.0885,predicted below floor -0.2
bayan_tumen,fiber_crops,-0.21,,not viable in the efficiency data
becaguimec,fiber_crops,-0.37,,not viable in the efficiency data
beljamen,fiber_crops,-0.25,-0.1449,predicted below floor -0.2
benewah,fiber_crops,-0.31,-0.2470,predicted below floor -0.2
berlin,fiber_crops,-0.25,-0.1717,predicted below floor -0.2
biskra,fiber_crops,-0.47,-0.1257,predicted below floor -0.2
boorj,fiber_crops,-0.58,,not viable in the efficiency data
borisogleb,fiber_crops,-0.29,-0.5789,predicted below floor -0.2
busiyn,fiber_crops,-0.76,,not viable in the efficiency data
cantavieja,fiber_crops,-0.21,-0.1310,predicted below floor -0.2
chanchacc,fiber_crops,-0.21,0.0773,predicted below floor -0.2
chitolah,fiber_crops,-0.21,0.1219,predicted below floor -0.2
chortolisy,fiber_crops,-0.3,-0.2315,predicted below floor -0.2
cumumba,fiber_crops,-0.38,-0.2326,predicted below floor -0.2
deh_kord,fiber_crops,-0.21,-0.2073,predicted below floor -0.2
dilzhee,fiber_crops,-0.23,0.0312,predicted below floor -0.2
djalendi,fiber_crops,-0.36,-0.1945,predicted below floor -0.2
drysvyaty,fiber_crops,-0.25,-0.3673,predicted below floor -0.2
duba,fiber_crops,-0.58,,not viable in the efficiency data
dukagjini,fiber_crops,-0.24,-0.1582,predicted below floor -0.2
durbe,fiber_crops,-0.25,-0.3055,predicted below floor -0.2
evur,fiber_crops,-0.41,,not viable in the efficiency data
fastiv,fiber_crops,-0.23,-0.1500,predicted below floor -0.2
gdov,fiber_crops,-0.24,-0.5293,predicted below floor -0.2
golino,fiber_crops,-0.28,-0.4993,predicted below floor -0.2
gorouol,fiber_crops,-0.36,-0.2041,predicted below floor -0.2
grodek,fiber_crops,-0.21,-0.2493,predicted below floor -0.2
hangu_romania,fiber_crops,-0.44,-0.3831,predicted below floor -0.2
hjo,fiber_crops,-0.31,-0.3465,predicted below floor -0.2
huancachaca,fiber_crops,-0.21,-0.0463,predicted below floor -0.2
ischigualasto,fiber_crops,-0.31,0.0365,predicted below floor -0.2
islay,fiber_crops,-0.26,-0.4684,predicted below floor -0.2
jinigudera,fiber_crops,-0.43,-0.2316,predicted below floor -0.2
juru_hoton,fiber_crops,-0.31,-0.5061,predicted below floor -0.2
karamergen,fiber_crops,-0.21,-0.6149,predicted below floor -0.2
karuwali,fiber_crops,-0.3,-0.3085,predicted below floor -0.2
kehek_aike,fiber_crops,-0.63,,not viable in the efficiency data
khoiniki,fiber_crops,-0.23,-0.1957,predicted below floor -0.2
kholm_tver,fiber_crops,-0.29,-0.5797,predicted below floor -0.2
kickatari,fiber_crops,-0.25,-0.0749,predicted below floor -0.2
kldekari,fiber_crops,-0.26,-0.5191,predicted below floor -0.2
klepiki,fiber_crops,-0.37,-0.4961,predicted below floor -0.2
koostaaka,fiber_crops,-0.25,-0.5318,predicted below floor -0.2
koponovo,fiber_crops,-0.29,-0.4807,predicted below floor -0.2
kopyshche,fiber_crops,-0.25,-0.2119,predicted below floor -0.2
krasavino,fiber_crops,-0.56,-0.6678,predicted below floor -0.2
krasny_yar,fiber_crops,-0.25,-0.1900,predicted below floor -0.2
kremenets,fiber_crops,-0.29,-0.1764,predicted below floor -0.2
kulmbach,fiber_crops,-0.26,-0.1506,predicted below floor -0.2
kundal,fiber_crops,-0.36,-0.1550,predicted below floor -0.2
kwahada,fiber_crops,-0.21,0.0037,predicted below floor -0.2
lelow,fiber_crops,-0.21,-0.1784,predicted below floor -0.2
lezhnevo,fiber_crops,-0.23,-0.5797,predicted below floor -0.2
luninets,fiber_crops,-0.37,-0.3006,predicted below floor -0.2
lutava,fiber_crops,-0.32,-0.1774,predicted below floor -0.2
lyakhovichy,fiber_crops,-0.21,-0.5053,predicted below floor -0.2
maia,fiber_crops,-0.36,-0.4165,predicted below floor -0.2
maiawali,fiber_crops,-0.3,-0.2278,predicted below floor -0.2
main,fiber_crops,-0.65,-0.6824,predicted below floor -0.2
megrino,fiber_crops,-0.52,-0.6495,predicted below floor -0.2
mesuji,fiber_crops,-0.23,-0.0102,predicted below floor -0.2
mezhutka,fiber_crops,-0.62,,not viable in the efficiency data
mimbara,fiber_crops,-0.36,-0.1751,predicted below floor -0.2
minisose,fiber_crops,-0.21,-0.2542,predicted below floor -0.2
minizuahe,fiber_crops,-0.25,-0.5340,predicted below floor -0.2
mokowan,fiber_crops,-0.42,-0.5269,predicted below floor -0.2
muara_sabak,fiber_crops,-0.23,-0.1674,predicted below floor -0.2
nariguala,fiber_crops,-0.25,-0.0763,predicted below floor -0.2
nebesek,fiber_crops,-0.25,-0.5099,predicted below floor -0.2
ngatjumay,fiber_crops,-0.36,-0.1597,predicted below floor -0.2
nifi,fiber_crops,-0.64,,not viable in the efficiency data
nikolo_dor,fiber_crops,-0.31,-0.5766,predicted below floor -0.2
nizhelskoe,fiber_crops,-0.21,-0.5136,predicted below floor -0.2
nyaki_nyaki,fiber_crops,-0.21,-0.1664,predicted below floor -0.2
ossossane,fiber_crops,-0.24,-0.2713,predicted below floor -0.2
ostrechiny,fiber_crops,-0.56,-0.6773,predicted below floor -0.2
oweekeno,fiber_crops,-0.86,,not viable in the efficiency data
padise,fiber_crops,-0.31,-0.4912,predicted below floor -0.2
paikend,fiber_crops,-0.36,-0.3034,predicted below floor -0.2
parrusit,fiber_crops,-0.22,-0.0611,predicted below floor -0.2
patapsco,fiber_crops,-0.28,-0.0854,predicted below floor -0.2
pivehzhan,fiber_crops,-0.28,-0.3002,predicted below floor -0.2
pokegama,fiber_crops,-0.43,-0.4747,predicted below floor -0.2
pukiupukio,fiber_crops,-0.58,-0.2744,predicted below floor -0.2
qahqaheh,fiber_crops,-0.21,0.0662,predicted below floor -0.2
qeydar,fiber_crops,-0.21,-0.0547,predicted below floor -0.2
qonirat,fiber_crops,-0.2,,not viable in the efficiency data
raguli,fiber_crops,-0.25,-0.0226,predicted below floor -0.2
rakau,fiber_crops,-0.23,-0.3542,predicted below floor -0.2
rakitnya,fiber_crops,-0.29,-0.5805,predicted below floor -0.2
raznezhye,fiber_crops,-0.23,-0.4981,predicted below floor -0.2
rize,fiber_crops,-0.21,-0.4007,predicted below floor -0.2
selenge,fiber_crops,-0.71,,not viable in the efficiency data
shackamaxon,fiber_crops,-0.25,-0.0979,predicted below floor -0.2
shantsa,fiber_crops,-0.63,,not viable in the efficiency data
shenga_kurya,fiber_crops,-0.73,,not viable in the efficiency data
sogndal,fiber_crops,-0.82,,not viable in the efficiency data
sokilets,fiber_crops,-0.32,-0.1214,predicted below floor -0.2
sordavala,fiber_crops,-0.34,,not viable in the efficiency data
spasskoye,fiber_crops,-0.52,-0.6432,predicted below floor -0.2
spaxomin,fiber_crops,-0.69,-0.6265,predicted below floor -0.2
spoleto,fiber_crops,-0.33,-0.0747,predicted below floor -0.2
st_martin,fiber_crops,-0.31,-0.3737,predicted below floor -0.2
starodub_votsky,fiber_crops,-0.21,-0.4954,predicted below floor -0.2
svir_beloozero,fiber_crops,-0.56,-0.6849,predicted below floor -0.2
tanomah,fiber_crops,-0.49,-0.4411,predicted below floor -0.2
tedei,fiber_crops,-0.36,-0.2799,predicted below floor -0.2
teem,fiber_crops,-0.32,-0.3066,predicted below floor -0.2
tereshkovichy,fiber_crops,-0.23,-0.2575,predicted below floor -0.2
tsepina,fiber_crops,-0.24,0.1378,predicted below floor -0.2
tura,fiber_crops,-0.59,-0.6811,predicted below floor -0.2
ucluelet,fiber_crops,-0.23,-0.5667,predicted below floor -0.2
ust_tsimla,fiber_crops,-0.25,-0.0439,predicted below floor -0.2
vetlitsy,fiber_crops,-0.21,-0.5136,predicted below floor -0.2
vilaka,fiber_crops,-0.34,-0.4505,predicted below floor -0.2
vonnu,fiber_crops,-0.26,-0.4776,predicted below floor -0.2
voronizh_chernihiv,fiber_crops,-0.23,-0.2485,predicted below floor -0.2
vydreya,fiber_crops,-0.23,-0.4132,predicted below floor -0.2
wanbirujurari,fiber_crops,-0.36,-0.2786,predicted below floor -0.2
warluwarra,fiber_crops,-0.36,-0.2293,predicted below floor -0.2
wirangu,fiber_crops,-0.36,-0.2667,predicted below floor -0.2
wishkahuunu,fiber_crops,-0.25,-0.0000,predicted below floor -0.2
woonsocket,fiber_crops,-0.25,-0.3316,predicted below floor -0.2
ya_kti_ki,fiber_crops,-0.69,,not viable in the efficiency data
yabro,fiber_crops,-0.32,-0.1683,predicted below floor -0.2
yiman,fiber_crops,-0.37,,not viable in the efficiency data
yingisar,fiber_crops,-0.53,-0.4731,predicted below floor -0.2
zhizhets,fiber_crops,-0.29,-0.4953,predicted below floor -0.2
abiz,fruit,-0.32,,not viable in the efficiency data
acteon,fruit,-0.05,,not viable in the efficiency data
adilabad,fruit,-0.21,-0.5279,predicted below floor -0.2
afif,fruit,-0.08,,not viable in the efficiency data
ahel,fruit,-0.27,-0.5673,predicted below floor -0.2
ailinglaplap_atoll,fruit,0.03,,not viable in the efficiency data
ajdabiya,fruit,0.0,,not viable in the efficiency data
ajim,fruit,-0.53,,not viable in the efficiency data
akola,fruit,-0.79,-0.5668,predicted below floor -0.2
al_aythamah,fruit,-0.08,,not viable in the efficiency data
al_bad,fruit,-0.2,,not viable in the efficiency data
al_bayda,fruit,-0.24,-0.5662,predicted below floor -0.2
al_bidda,fruit,-0.08,,not viable in the efficiency data
al_fuqarah,fruit,-0.08,,not viable in the efficiency data
al_ghat,fruit,-0.27,-0.5667,predicted below floor -0.2
al_ghazalah,fruit,-0.27,,not viable in the efficiency data
al_hawra,fruit,0.0,,not viable in the efficiency data
al_hufayrah,fruit,-0.08,,not viable in the efficiency data
al_huwayyit,fruit,0.0,,not viable in the efficiency data
al_kharabah,fruit,0.0,,not viable in the efficiency data
al_khums,fruit,-0.57,-0.5550,predicted below floor -0.2
al_laghfiyyah,fruit,-0.08,,not viable in the efficiency data
al_mundassah,fruit,-0.08,,not viable in the efficiency data
al_muthainiyah,fruit,-0.31,-0.5673,predicted below floor -0.2
al_muwaylih,fruit,-0.08,,not viable in the efficiency data
al_qaiyah,fruit,0.0,,not viable in the efficiency data
al_qara,fruit,-0.31,-0.5673,predicted below floor -0.2
al_thulayma,fruit,-0.08,,not viable in the efficiency data
al_ukhaydir,fruit,0.0,,not viable in the efficiency data
albacete,fruit,-0.33,,not viable in the efficiency data
ali_sabieh,fruit,-0.27,,not viable in the efficiency data
alicante,fruit,-0.25,-0.1878,predicted below floor -0.2
anah,fruit,0.0,,not viable in the efficiency data
andranosoa,fruit,-0.39,,not viable in the efficiency data
andritsaina,fruit,-0.36,0.0927,predicted below floor -0.2
anew,fruit,-0.25,,not viable in the efficiency data
angkor_borei,fruit,-0.29,0.0825,predicted below floor -0.2
ar_rukai,fruit,0.0,,not viable in the efficiency data
arar,fruit,-0.08,,not viable in the efficiency data
aratika_atoll,fruit,-0.05,,not viable in the efficiency data
ardakan,fruit,0.0,,not viable in the efficiency data
ardestan,fruit,-0.21,-0.5578,predicted below floor -0.2
ariste,fruit,-0.33,0.1123,predicted below floor -0.2
arno_atoll,fruit,0.03,,not viable in the efficiency data
aroas,fruit,-0.31,-0.5673,predicted below floor -0.2
arta,fruit,-0.24,0.0078,predicted below floor -0.2
aryaru,fruit,-0.21,0.1309,predicted below floor -0.2
as_salafiyah,fruit,-0.32,-0.3722,predicted below floor -0.2
ash_shibahah,fruit,-0.08,,not viable in the efficiency data
assa,fruit,0.0,,not viable in the efficiency data
asuf,fruit,0.0,,not viable in the efficiency data
auwe,fruit,-0.48,,not viable in the efficiency data
az_zilfi,fruit,-0.27,-0.5656,predicted below floor -0.2
bacuma,fruit,-0.5,-0.4683,predicted below floor -0.2
bagalkot,fruit,-0.42,-0.5169,predicted below floor -0.2
baghin,fruit,-0.13,,not viable in the efficiency data
bajdah,fruit,-0.27,-0.5672,predicted below floor -0.2
balanggarra,fruit,-0.31,,not viable in the efficiency data
bam_esfarayen,fruit,-0.37,-0.5658,predicted below floor -0.2
bandar_rig,fruit,-0.57,,not viable in the efficiency data
banjabi,fruit,-0.26,0.1164,predicted below floor -0.2
barkdiz,fruit,-0.25,-0.5582,predicted below floor -0.2
bechar,fruit,0.0,,not viable in the efficiency data
bengkalis,fruit,-0.06,,not viable in the efficiency data
bent,fruit,-0.08,,not viable in the efficiency data
beyza,fruit,-0.33,-0.5501,predicted below floor -0.2
bikini_atoll,fruit,-0.32,,not viable in the efficiency data
bilghah,fruit,-0.08,,not viable in the efficiency data
bir_al_qurr,fruit,-0.08,,not viable in the efficiency data
birjand,fruit,-0.21,-0.5665,predicted below floor -0.2
borun,fruit,-0.29,0.1851,predicted below floor -0.2
bria,fruit,-0.3,-0.4675,predicted below floor -0.2
bukhara,fruit,-0.25,-0.5576,predicted below floor -0.2
buraydah,fruit,-0.27,-0.5619,predicted below floor -0.2
cabinda_kongo,fruit,-0.27,0.1017,predicted below floor -0.2
calkini,fruit,-0.4,,not viable in the efficiency data
cantagalo,fruit,-0.29,0.1878,predicted below floor -0.2
carteret_atoll,fruit,0.03,,not viable in the efficiency data
cazorla,fruit,-0.36,0.1234,predicted below floor -0.2
chayrama,fruit,-0.21,0.2240,predicted below floor -0.2
chi_la,fruit,-0.25,-0.2634,predicted below floor -0.2
chibuene,fruit,-0.58,-0.5478,predicted below floor -0.2
chiluane,fruit,-0.39,,not viable in the efficiency data
chuchures,fruit,-0.25,0.1665,predicted below floor -0.2
chuuk,fruit,0.03,,not viable in the efficiency data
cutzamala,fruit,-0.22,-0.5030,predicted below floor -0.2
dangbon,fruit,-0.3,-0.5064,predicted below floor -0.2
dar_es_salaam,fruit,-0.38,-0.2145,predicted below floor -0.2
dashahai,fruit,-0.21,,not viable in the efficiency data
debarq,fruit,-0.34,-0.3460,predicted below floor -0.2
deyhuk,fruit,0.0,,not viable in the efficiency data
dia,fruit,-0.64,-0.5662,predicted below floor -0.2
dingnan_anshun,fruit,-0.25,0.1455,predicted below floor -0.2
dire_dawa,fruit,-0.72,-0.2714,predicted below floor -0.2
djanet,fruit,0.0,,not viable in the efficiency data
djiralay,fruit,-0.16,,not viable in the efficiency data
durun,fruit,-0.25,-0.3198,predicted below floor -0.2
el_bayadh,fruit,-0.32,-0.5672,predicted below floor -0.2
eleuthera,fruit,-0.47,-0.2064,predicted below floor -0.2
eqlid,fruit,-0.21,-0.5633,predicted below floor -0.2
fayd,fruit,-0.27,-0.5670,predicted below floor -0.2
fengjie,fruit,-0.28,-0.1454,predicted below floor -0.2
firabr,fruit,-0.4,-0.5594,predicted below floor -0.2
gaiman,fruit,-0.32,,not viable in the efficiency data
galkayo,fruit,-0.19,,not viable in the efficiency data
gamrun,fruit,-0.27,-0.5611,predicted below floor -0.2
gbabiri,fruit,-0.3,-0.0404,predicted below floor -0.2
ghadames,fruit,-0.08,,not viable in the efficiency data
ghazni,fruit,-0.25,,not viable in the efficiency data
ghumayqah,fruit,-0.39,-0.5671,predicted below floor -0.2
gogodala,fruit,0.1,,not viable in the efficiency data
guanay,fruit,-0.21,-0.0484,predicted below floor -0.2
gunupur,fruit,-0.26,-0.3836,predicted below floor -0.2
haapai,fruit,0.03,,not viable in the efficiency data
habana,fruit,-0.21,-0.1936,predicted below floor -0.2
hajar,fruit,-0.19,,not viable in the efficiency data
hami,fruit,-0.21,-0.0426,predicted below floor -0.2
hanagal,fruit,-0.43,-0.5237,predicted below floor -0.2
haniguayagua,fruit,-0.26,0.0676,predicted below floor -0.2
hapur,fruit,-0.29,-0.2539,predicted below floor -0.2
haylan,fruit,-0.19,,not viable in the efficiency data
