attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cloves,output_cocoa,output_coffee,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine,game_key
vegetation,scrubland,-0.0,-0.0,1214,-0.0,False,-0.13,-0.08,,0.14,,,,,,-0.06,-0.1,-0.09,-0.07,-0.07,-0.11,,-0.08,-0.05,,,-0.13,-0.05,-0.04,,,ha1300_veg_scrubland
vegetation,sparse,-0.0,-0.0,54,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,sparse
vegetation,swamp,1300.0,0.0490536720463773,1243,11300.0,False,-0.08,,-0.17,,-0.13,-0.07,-0.06,,-0.12,-0.06,0.12,-0.05,,-0.04,-0.15,-0.07,,-0.07,-0.07,-0.02,-0.11,,,,-0.11,ha1300_veg_swamp
vegetation,thicket,2800.0,0.1056540628691204,929,-0.0,False,,-0.08,-0.14,-0.07,,,,-0.08,,,,-0.04,,,0.08,0.06,,-0.13,,0.09,-0.1,-0.13,,,,ha1300_veg_thicket
vegetation,tundra,0.0,0.0,353,-0.0,False,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,ha1300_veg_tundra
vegetation,woods,-0.0,-0.0,136,-0.0,False,,,-0.1,0.13,-0.12,,-0.09,-0.07,-0.07,-0.08,0.09,,-0.17,-0.16,,,,,-0.14,,,,-0.11,-0.05,-0.17,woods
soil_type,clay,1100.0,0.0415069532700116,881,-0.0,False,,,-0.14,0.09,,,0.06,-0.05,,-0.07,,,,,,-0.1,,,-0.09,,-0.1,,,,-0.06,ha1300_soil_is_clay
soil_type,peat,1000.0,0.0377335938818287,144,1300.0,False,-0.08,-0.09,,,,-0.08,-0.19,-0.16,-0.09,,0.05,,-0.2,,,-0.2,,-0.07,-0.09,-0.14,,,,,-0.14,ha1300_soil_is_peat
soil_type,sand,900.0,0.0339602344936458,4036,2300.0,False,,,-0.08,,,,,-0.08,,-0.06,,,,,-0.08,,,-0.07,-0.05,,,,,-0.05,,ha1300_soil_is_sand
soil_type,silt,200.0,0.0075467187763657,1079,300.0,False,-0.06,,,,,,-0.09,,,,,,-0.05,,,0.07,,0.07,,-0.11,,-0.1,0.06,,,ha1300_soil_is_silt
soil_type,stony,0.0,0.0,2744,-0.0,False,,-0.05,,,,,,,,,0.04,,,,,,,,,,,,,,,ha1300_soil_is_stony
fertility,high,3800.0,0.1433876567509492,4248,16700.0,False,,,0.07,0.03,0.11,,0.08,0.09,,0.03,,0.07,0.07,0.07,,0.15,0.13,0.05,0.06,,0.04,,0.1,0.03,,ha1300_fertility_is_high
fertility,low,-4800.0,-0.1811212506327779,3964,-19000.0,False,-0.13,-0.09,-0.27,-0.1,-0.13,-0.09,-0.06,-0.19,-0.05,-0.22,,-0.15,-0.1,-0.12,-0.13,,-0.17,-0.2,-0.06,-0.09,-0.17,,-0.15,-0.19,-0.11,ha1300_fertility_is_low
fertility,very_high,5600.0,0.2113081257382409,4669,28400.0,False,0.15,,0.15,0.03,0.31,0.11,0.2,0.17,0.08,0.07,,0.16,0.18,0.14,0.09,0.27,0.17,0.14,0.08,0.11,0.14,,0.29,0.06,0.05,ha1300_fertility_is_very_high
fertility,very_low,-11400.0,-0.4301629702528476,3853,-39800.0,False,-0.36,-0.15,-0.27,-0.1,-0.29,-0.13,-0.17,-0.26,-0.09,-0.43,-0.13,-0.25,-0.33,-0.35,-0.36,-0.14,-0.41,-0.25,-0.16,-0.27,-0.21,,-0.25,-0.36,-0.28,ha1300_fertility_is_very_low
river_level,1,-0.0,-0.0,5806,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,1
river_level,2,-0.0,-0.0,2479,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,2
river_level,3,0.0,0.0,1494,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,3
river_level,4,0.0,0.0,437,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,4
river_level,5,0.0,0.0,2477,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,5
is_coastal,True,0.0,0.0,4419,0.0,False,,,,,,,,,,,0.07,,,,,,,,,,,,,,,
is_adjacent_to_lake,True,0.0,0.0,1486,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
