location_tag,climate,topography,vegetation,soil_type,fertility,river_level,is_coastal,is_adjacent_to_lake,province,super_region,calibrated_lon,calibrated_lat
abakasnk,subarctic,hills,mixed_forest,loam,low,3,False,False,minusinsk_province,asia,90.39718485628566,53.76739079718632
abala,hot_steppe,mountains,thicket,sand,very_low,0,False,False,enderta_province,africa,39.91859268437722,13.516519837085289
abalak,arid,flatland,grasslands,sand,very_low,0,False,False,ader_province,africa,6.412704275238127,15.784976201349513
abalessa,arid,valleys,desert,sand,very_low,0,False,False,central_sahara,africa,5.449680063427564,22.575048889976927
aban,subarctic,flatland,mixed_forest,silt,moderate,2,False,False,manzaya_province,asia,96.3636252934158,56.86158015375511
abare_i,subtropical,plateau,jungle,sand,very_high,5,False,False,itapeva_province,america,-48.556425496957615,-22.949737742596433
abarkuh,cold_arid,plateau,desert,loam,very_low,0,False,False,abarkuh_province,asia,53.1298058673508,31.250676380471702
abashiri,continental,flatland,mixed_forest,silt,moderate,0,True,False,kitami_province,asia,144.21089430275595,43.97252960753206
abau,tropical,valleys,jungle,loam,moderate,5,False,False,maia_province,oceania,141.04603578770343,-4.386243311385793
abbeville,oceanic,flatland,farmland,stony,very_high,1,True,False,ponthieu_province,europe,1.7254441177727244,50.14274319331032
abdanan,hot_steppe,flatland,scrubland,sand,low,0,False,False,wasit_province,asia,47.60897366862693,32.52893464387786
abdas,arid,wetlands,marsh,loam,very_low,5,False,False,basra_province,asia,47.17153805374136,31.436625323984668
abdulino,continental,flatland,savanna,loam,moderate,0,False,False,bavly_province,europe,53.4480492635127,53.634163759316614
abe,continental,mountains,mixed_forest,loam,very_high,0,False,False,suruga_province,asia,138.24778103754744,35.18126838264334
abemama_atoll,tropical,atoll,jungle,loam,very_low,0,True,False,tungaru_province,oceania,173.8231056564876,0.4089304786525041
abengourou,savanna,rolling,jungle,loam,very_high,2,False,False,nzima_province,africa,-3.1591207702134625,6.136551567519932
aberdeen,oceanic,flatland,farmland,sand,low,0,True,False,aberdeenshire_province,europe,-2.2648561875305404,57.14163016125166
aberfeldy,subpolar_oceanic,hills,grasslands,stony,very_low,0,False,False,perthshire_province,europe,-4.1413428885543055,56.685670219978725
aberystwyth,oceanic,hills,farmland,loam,low,0,True,False,deheubarth_province,europe,-3.9371892381572025,52.40924760901262
abesehir,hot_steppe,flatland,savanna,sand,low,0,False,False,wadai_province,africa,20.80755916287987,13.504830284470675
abha,arid,plateau,scrubland,stony,very_low,0,False,False,abha_province,asia,42.77640795180167,18.26657399591192
abhar,cold_steppe,plateau,grasslands,loam,low,0,False,False,qazvin_province,asia,49.18781882532045,36.179171258369216
abihka,subtropical,flatland,coniferous_forest,sand,high,2,False,False,abihka_province,america,-85.61192074794695,33.666744700756766
abil,arid,plateau,desert,stony,very_low,0,False,False,abha_province,asia,42.53195380975228,18.87802871037953
abimatinu,continental,flatland,coniferous_forest,peat,low,5,False,False,moosonee_province,america,-81.97599476204132,50.031112036989235
abingdon,oceanic,flatland,farmland,loam,high,0,False,False,berkshire_province,europe,-1.4017728788915065,51.64840275255234
abisko,subarctic,mountains,mixed_forest,stony,very_low,0,False,True,torne_lappmark_province,europe,19.295770084176752,67.73261615434825
abitau,subarctic,wetlands,swamp,stony,very_low,0,False,True,dubawnt_province,america,-107.80089819627946,60.02296344589487
abiward,cold_arid,hills,scrubland,loam,low,0,False,False,tejend_province,asia,59.503779813070594,37.48885838320831
abiy_addi,savanna,hills,savanna,loam,moderate,1,False,False,tigray_province,africa,38.977556476473325,13.380394210671609
abiz,cold_steppe,plateau,scrubland,loam,very_low,0,False,False,qaen_province,asia,59.942607223071235,33.95046240132034
abo,continental,flatland,coniferous_forest,sand,low,0,True,False,finland_province,europe,22.200598729439264,60.238336229474214
abomey,savanna,flatland,jungle,sand,high,2,False,False,fon_province,africa,2.137100963070907,7.280230346869378
abong,savanna,rolling,jungle,clay,very_high,1,False,False,sanaga_province,africa,13.13298497158246,3.949629657992938
aborlan,tropical_monsoon,mountains,jungle,loam,high,0,True,False,palawan_province,asia,118.32197096124435,9.393577741290256
abrahamtelke,continental,flatland,swamp,loam,very_high,4,False,False,pest_province,europe,19.37358255039959,47.2576324678608
abu,subtropical,hills,mixed_forest,loam,very_high,0,True,False,nagato_province,asia,131.51521837148448,34.4465281950228
abu_dhabi,arid,flatland,desert,loam,very_low,0,True,False,julfar_province,asia,54.69303554818029,24.19938499986229
abu_hamed,arid,flatland,desert,stony,very_low,4,False,False,makuria_province,africa,32.8617131800994,19.469956580970287
abu_kemal,arid,flatland,scrubland,loam,very_low,3,False,False,furat_province,asia,40.62444617878441,34.30017795700222
abu_qasr,arid,flatland,desert,stony,very_low,0,False,False,sirhan_province,asia,38.85662504827255,30.013022328903954
abu_rakah,arid,valleys,desert,stony,very_low,0,False,False,turbah_province,asia,41.20846088141377,20.81664291683097
abun,tropical,mountains,jungle,loam,low,1,True,False,doberai_province,oceania,132.0804146363315,-0.6950678092310569
aburra,oceanic,mountains,jungle,loam,very_low,0,False,False,nechi_province,america,-75.41444904155955,6.300381685631433
abuta,continental,hills,swamp,silt,moderate,0,True,False,iburi_province,asia,140.81719732461931,42.824294325994124
abutua,hot_steppe,plateau,savanna,sand,very_high,3,False,False,middle_zambezi_province,africa,28.113240877838535,-17.74577587220466
abyy,subarctic,wetlands,swamp,silt,very_low,5,False,False,south_yandin_province,asia,144.95044982376692,67.5457943572458
acambaro,highland_monsoon,plateau,thicket,loam,high,0,False,True,ihuatzio_province,america,-100.62922327236325,20.16131820764843
acanti,tropical_monsoon,hills,swamp,peat,moderate,4,True,False,kuna_province,america,-77.04517892442036,8.136910904640278
acaponeta,savanna,flatland,jungle,loam,very_high,1,True,False,guarisamey_province,america,-105.21038846035222,22.4645351847391
acarau,savanna,hills,thicket,stony,very_high,1,False,False,acarau_province,america,-40.929902571337436,-3.4975552750433665
acari,cold_arid,flatland,desert,sand,very_low,0,True,False,ica_province,america,-74.56064065820351,-15.380358846351943
acasaguastlan,savanna,plateau,jungle,loam,moderate,5,False,False,cuauhtemallan_province,america,-89.60509423392281,14.961953944525563
acatic,subtropical_monsoon,plateau,savanna,loam,high,0,False,False,tonala_province,america,-102.93947020192627,20.631809872137904
acayucan,tropical_monsoon,flatland,farmland,loam,very_high,3,True,False,coatzacoalco_province,america,-94.80924639174887,17.99054973722146
accomac,subtropical,flatland,mixed_forest,sand,moderate,0,True,False,chesapeake_province,america,-75.66706350913137,37.69954484549909
accra,savanna,flatland,jungle,loam,very_high,0,True,False,fante_province,africa,-0.2706994156004612,5.757726407606192
acerenza,mediterranean,hills,farmland,loam,high,0,False,False,basilicata_province,europe,16.018598216005074,40.778926893818095
achacachi,arctic,plateau,grasslands,sand,very_low,0,False,True,tiwanaku_province,america,-68.57947238870224,-16.029675943183264
achachiwa,arctic,mountains,grasslands,sand,low,1,False,False,kanamarca_province,america,-72.04573262057926,-15.7864335717372
achaivayam,subarctic,hills,mixed_forest,stony,very_low,5,False,False,east_koryak_province,asia,170.33361644206786,61.28082896351484
achaka,subarctic,wetlands,mixed_forest,silt,very_low,0,False,False,north_kolyma_province,asia,157.76498401495053,67.82123673420736
acham,subtropical_monsoon,mountains,mixed_forest,stony,high,5,False,False,lower_ghaghara_province,asia,81.30380630403948,29.113476403945047
achan,continental_monsoon,wetlands,marsh,stony,low,5,False,True,bolon_province,asia,136.70128797932557,50.01411326598975
achava,subarctic,hills,mixed_forest,stony,very_low,2,True,False,east_itelmen_province,asia,158.36500594121367,53.1619632368941
achen,oceanic,hills,woods,loam,very_low,0,True,False,chubut_province,america,-73.99659287135225,-45.181544935049835
achikamii,continental,flatland,mixed_forest,stony,low,5,False,False,kenogami_province,america,-84.17823945764175,49.93715852038161
achim,oceanic,floodplains,farmland,loam,moderate,2,False,False,aller_province,europe,9.126426473304292,53.02415913081973
achit_nuur,cold_steppe,plateau,scrubland,loam,very_low,1,False,True,khovd_province,asia,90.56765467779593,49.44565990773164
acholi,savanna,plateau,savanna,stony,very_high,5,False,False,albert_nile_province,africa,32.76530062528161,3.2186890113466595
achomawi,dry_summer_continental,hills,grasslands,loam,low,0,False,False,klamath_province,america,-120.4864357634084,41.3548500897481
aco,savanna,hills,dry_forest,sand,very_high,5,False,False,anbamba_province,africa,15.505468663653062,-9.99515647440591
aconca_hue,mediterranean,mountains,mixed_forest,loam,low,0,False,False,pikunmapu_province,america,-70.48395039613189,-32.78750420207302
aconchi,hot_steppe,hills,dry_forest,sand,low,0,False,False,tahejoc_province,america,-110.10819342639073,29.83527583554331
aconquija,cold_steppe,hills,grasslands,loam,moderate,0,False,True,lule_province,america,-66.0313062158466,-27.475102293204195
acoroazes,hot_steppe,flatland,thicket,stony,moderate,4,False,False,grande_province,america,-42.67701606413934,-9.750664820963603
acqui,subtropical,hills,farmland,loam,moderate,1,False,False,monferrato_province,europe,8.323238729275488,44.76447153724417
acre,mediterranean,flatland,marsh,clay,high,0,True,False,filastin_province,asia,35.18237625105576,32.78119882317553
acroas,savanna,flatland,savanna,loam,high,5,False,False,tocantins_province,america,-48.552784328175676,-9.238841042905033
acteon,tropical,atoll,mixed_forest,stony,very_low,0,True,False,tuamotu_province,oceania,-136.4265429724491,-21.392367428246843
acuera,subtropical,floodplains,swamp,sand,very_high,1,False,True,jororo_province,america,-81.41080956608775,28.72943584877275
ad_dawasir,arid,valleys,desert,sand,very_low,2,False,False,dawasir_province,asia,43.89409330012114,21.15444577073238
ad_dilam,arid,valleys,desert,sand,very_low,0,False,False,yamama_province,asia,46.72805930172933,24.103436595102156
ad_disah,arid,hills,desert,stony,very_low,0,False,False,duba_province,asia,36.49239872202395,27.475144671432933
ad_dughmiyah,arid,plateau,desert,sand,very_low,0,False,False,turbah_province,asia,42.21412938348129,21.797468082626818
adachi,continental,plateau,swamp,silt,very_high,1,False,False,iwase_province,asia,140.40971029247004,37.59495752720332
adachi_kanto,subtropical,floodplains,marsh,loam,very_high,1,False,False,musashi_province,asia,139.59115013463747,35.946453936105684
adakli,dry_summer_continental,mountains,savanna,stony,low,0,False,False,harput_province,europe,40.43816862168012,39.33420150963673
adalaga,continental,valleys,grasslands,loam,high,1,False,False,izium_province,europe,36.44437972044375,49.489922262786074
adan,arid,flatland,desert,sand,very_low,0,True,False,aden_province,asia,44.986681775124424,12.974789634507747
adana,mediterranean,wetlands,thicket,clay,moderate,2,True,False,adana_province,asia,35.33960739850508,36.90163210553663
adanki,hot_steppe,flatland,marsh,clay,high,0,False,False,kamma_nadu,asia,79.7715282308069,15.788631168350486
adare,oceanic,wetlands,marsh,loam,low,0,True,False,limerick_province,europe,-9.178648654674873,52.43150855024996
addu_atoll,tropical,atoll,woods,loam,very_low,0,True,False,maldives_province,asia,73.29104897903383,0.45297903983406784
adena,subtropical,rolling,forest,loam,very_high,0,False,False,kentucky_province,america,-84.42565274336482,37.36797484211523
adeqiu,arctic,mountains,grasslands,loam,low,3,False,False,lanzhou_province,asia,98.89687802179151,28.6747491219778
aderbissinat,arid,flatland,grasslands,sand,very_low,0,False,False,marandet_province,africa,8.120976309098268,15.415051365808946
adham,arid,mountains,desert,sand,very_low,0,False,False,hali_province,asia,40.93198307761705,20.299610213370947
adigrat,hot_steppe,hills,desert,sand,low,0,False,False,enderta_province,africa,39.81370441532022,14.375198209156586
adilabad,savanna,hills,dry_forest,loam,very_high,1,False,False,sirpur_province,asia,78.49813400225662,19.51913793524579
adirondacks,continental,mountains,forest,stony,low,0,False,False,adirondacks_province,america,-74.63754879818072,43.879017216405735
adixoodagoorahareesh,continental,rolling,grasslands,loam,moderate,3,False,False,awatixa_province,america,-103.39045203464084,47.83507973403456
adjud,continental,flatland,forest,silt,very_high,2,False,False,barlad_province,europe,26.99648448982356,46.16339689770274
adlur,savanna,valleys,marsh,loam,very_high,1,False,False,warangal_province,asia,78.2209717775587,18.28643786500018
ado_ekiti,savanna,hills,jungle,sand,very_high,0,False,False,north_benin_province,africa,5.442135910220713,7.707914132132305
adoni,hot_steppe,flatland,dry_forest,clay,low,0,False,False,northern_rayalaseema,asia,77.25494756356687,15.547619459953228
adony,continental,flatland,marsh,loam,very_high,4,False,False,fejer_province,europe,18.71617921218069,47.015717681884446
adra,mediterranean,hills,thicket,loam,low,0,True,False,granada_province,europe,-2.8568166964142847,36.83527591865881
adrada,mediterranean,hills,thicket,loam,low,0,False,False,avila_province,europe,-4.7674837841022395,40.262447956493105
adranos,mediterranean,hills,forest,loam,high,1,False,True,hudavendigar_province,asia,28.909413761495784,39.957448093216854
adrar,arid,flatland,desert,stony,very_low,0,False,False,gourara_province,africa,-0.10942162766721708,27.400180397838266
adraskan,dry_summer_continental,mountains,grasslands,sand,very_low,0,False,False,adraskan_province,asia,62.639227234914244,33.79680704875469
adshusheer,subtropical,flatland,forest,sand,very_high,5,False,False,waxhaw_province,america,-78.79518873294748,36.34355606617481
aduma,savanna,rolling,jungle,clay,high,5,False,False,north_sangha_province,africa,14.905983851834833,-0.6846615293047456
adwa,highland_monsoon,hills,savanna,sand,moderate,0,False,False,tigray_province,africa,39.157382088478045,13.946302053178757
adyukh,continental,hills,grasslands,loam,very_high,1,False,False,labinsk_province,europe,41.628468734153444,44.2959351686441
adyumba,savanna,flatland,jungle,loam,moderate,5,True,False,ogoowe_benje_province,africa,9.598595295820246,-0.5273965578010151
adzera,tropical,plateau,jungle,loam,moderate,1,False,False,adzera_province,oceania,146.20480651565663,-6.314834649659759
aekyom,tropical,flatland,jungle,loam,low,5,False,False,iwur_province,oceania,141.35381667747998,-5.751842498925104
aerzhai,cold_steppe,valleys,scrubland,sand,very_low,3,False,False,ordos_province,asia,107.99327948458802,40.19587504023734
afade,hot_steppe,floodplains,marsh,sand,low,0,False,False,mser_province,africa,14.484984205666933,11.87559950571747
afanasyevo,subarctic,flatland,coniferous_forest,loam,moderate,1,False,False,omutninsk_province,europe,53.121687866735215,58.888139574756124
afif,arid,plateau,desert,sand,very_low,0,False,False,afif_province,asia,42.6976951876573,23.993264320663126
afikpo,tropical_monsoon,flatland,savanna,loam,very_high,5,False,False,east_igbo_province,africa,8.30268338364229,5.955139972195855
afmadow,hot_steppe,floodplains,thicket,loam,very_low,5,False,False,jubaland_province,africa,42.020491839964876,0.9951499516385939
afrera,arid,flatland,desert,sand,very_low,0,False,False,dobea_province,africa,40.79432690003247,12.712096889673047
afrin,mediterranean,flatland,scrubland,loam,moderate,0,False,False,antakya_province,asia,36.841391528538054,36.52942244855457
afsin,dry_summer_continental,mountains,grasslands,stony,low,0,False,False,marash_province,asia,36.87086967710246,38.495751295166365
afso,cold_steppe,hills,desert,loam,low,1,False,False,kert_province,africa,-3.2347213664221215,34.72836514542328
aga,subarctic,hills,grasslands,loam,moderate,2,False,False,lower_onon_province,asia,114.79974028119818,51.22393921736899
agadem,arid,flatland,desert,sand,very_low,0,False,False,kawar_province,africa,13.079953636671007,17.282329126714647
agadez,arid,plateau,scrubland,sand,very_low,0,False,False,air_province,africa,8.05449828905006,17.275761339752403
agadir,hot_steppe,flatland,scrubland,loam,low,0,True,False,sus_province,africa,-9.394056297719345,30.427395833898213
agaes,subtropical,wetlands,marsh,loam,very_high,2,False,False,ibera_province,america,-57.63738640268426,-26.339055099614594
agai_ticutta,dry_summer_continental,hills,scrubland,loam,low,0,False,False,ticutta_province,america,-120.19023171086315,40.385015680816615
agaidika,subarctic,mountains,coniferous_forest,sand,low,1,False,False,agaidika_province,america,-113.84952067499444,45.19705902153981
agar,savanna,flatland,dry_forest,clay,low,1,False,False,western_malwa,asia,76.08005447064386,23.816095471339487
agaro,mediterranean,hills,jungle,clay,high,1,False,False,ennarea_province,africa,36.5777441311572,8.017411722628545
agartala,subtropical_monsoon,floodplains,marsh,loam,high,2,False,False,tripura_province,asia,91.26299824880971,23.838702261741986
agatsuma,continental,hills,forest,loam,high,0,False,False,kouzuke_province,asia,138.67445181087317,36.61887683354383
agawa,subtropical,hills,mixed_forest,loam,moderate,1,True,False,tosa_province,asia,133.25056586787497,33.62374505806715
agawa_superior,continental,plateau,mixed_forest,stony,low,1,True,False,baawitigong_province,america,-84.53560025269516,47.597304234782726
agawam,continental,flatland,forest,stony,low,2,False,False,agawam_province,america,-72.64509548598389,42.24112553119382
agayakan,subarctic,hills,mixed_forest,silt,very_low,0,False,False,agayakan_province,asia,141.0518502458791,62.96671698536944
agbonle,savanna,flatland,jungle,sand,moderate,0,False,False,borgu_province,africa,3.2361742792585346,9.192624447903896
agde,mediterranean,flatland,farmland,stony,moderate,1,True,False,narbonnais_province,europe,3.532274083951677,43.46224663874539
agdez,arid,hills,desert,sand,very_low,1,False,False,hascora_province,africa,-6.321331587120483,30.62447710221503
agen,oceanic,rolling,farmland,loam,very_high,5,False,False,agenais_province,europe,0.7868870734981783,44.354752335337814
agh_qala,cold_arid,plateau,scrubland,loam,low,0,False,False,esfarayen_province,asia,57.432828948977914,36.62436362938224
agham_kot,arid,floodplains,marsh,loam,very_low,0,False,False,tharparkar_province,asia,68.87660869964236,25.157902341628958
aghkand,cold_steppe,hills,grasslands,loam,low,2,False,False,miyaneh_province,asia,47.54853311444279,37.228662662387606
aghmat,mediterranean,mountains,thicket,loam,moderate,0,False,False,marrakesh_province,africa,-7.745589620849842,31.464285753508953
agikuyu,savanna,plateau,scrubland,stony,high,2,False,False,upper_tana_province,africa,37.783826668803385,-0.43730602363906523
agnam_civol,arid,flatland,grasslands,sand,very_low,0,False,False,takrur_province,africa,-14.278851586251477,15.710325801183755
agno,tropical_monsoon,mountains,jungle,loam,high,1,False,False,samtoy_province,asia,120.74219731944368,16.122011316517728
agob,tropical,flatland,savanna,loam,high,0,True,False,suki_province,oceania,142.35726974099424,-8.850209287139533
agoo,tropical_monsoon,mountains,jungle,loam,moderate,0,True,False,samtoy_province,asia,120.48695447046953,16.488838047780806
agordat,hot_steppe,hills,grasslands,sand,low,1,False,False,hamasien_province,africa,37.64014306131233,15.216596111511258
agori,subtropical_monsoon,hills,dry_forest,loam,very_high,5,False,False,baghelkhand,asia,83.04166501689025,24.227009593221794
agouasaque,continental,flatland,marsh,loam,very_high,2,False,False,piankeshaw_province,america,-87.10876038549128,38.910448511478386
agra,hot_steppe,floodplains,dry_forest,loam,moderate,5,False,False,braj_province,asia,78.0814668280351,27.003158545742668
agramunt,oceanic,hills,thicket,loam,low,0,False,False,urgell_province,europe,1.2622279180181977,42.00684594017168
agreda,oceanic,hills,forest,loam,moderate,0,False,False,soria_province,europe,-2.108942390107444,41.98577420342749
agror,subtropical,mountains,scrubland,loam,very_high,3,False,False,hazara,asia,72.952315253841,34.52863365328368
agsu,continental,hills,forest,loam,moderate,0,False,False,shaki_province,europe,48.408942656334574,40.63220228331863
aguacadiba,tropical,hills,jungle,clay,very_high,0,True,False,xaymaca_province,america,-77.3336513066337,18.306927492811308
aguacana,savanna,hills,mixed_forest,clay,very_high,1,False,False,patzcuaro_province,america,-101.7119826511811,18.90635230703403
aguacay,subtropical,hills,mixed_forest,sand,very_high,0,False,False,ouachita_province,america,-93.85001048361221,34.5163463182892
aguanish,continental,wetlands,swamp,sand,very_low,1,True,False,minganie_province,america,-62.390716175853896,50.41324604174031
aguasabon,continental,hills,coniferous_forest,stony,low,0,True,False,baawitigong_province,america,-87.10691378053488,48.993729447733166
aguere,mediterranean,hills,desert,sand,low,0,True,False,canary_islands_province,africa,-16.520248883280317,28.28755064216699
aguiar,mediterranean,hills,savanna,loam,very_low,0,False,False,tras_os_montes,europe,-7.741823300094978,41.540398686516106
aguilar_de_campoo,mediterranean,hills,savanna,loam,low,0,False,False,palencia_province,europe,-4.454541196017203,42.90732082768594
agula,highland_monsoon,plateau,savanna,sand,moderate,0,False,False,enderta_province,africa,39.60339202335018,13.83563105565201
agulhas,mediterranean,flatland,thicket,sand,moderate,0,True,False,chainouqua_province,africa,19.780136398936065,-34.6267806735636
aguyaq,subarctic,wetlands,mixed_forest,silt,very_low,5,True,False,nushagagmiut_province,america,-157.74481383571978,58.864643583881445
aguz,hot_steppe,flatland,grasslands,loam,low,1,True,False,dukkala_province,africa,-9.079827038723863,32.03913042407984
agvituk,subarctic,flatland,mixed_forest,sand,very_low,2,True,False,nunatsiavut_province,america,-60.55172039787337,55.364975825227404
agw_aneq,subarctic,hills,mixed_forest,sand,very_low,0,True,False,kaniagmiut_province,america,-152.55491376969218,58.151724184440766
agwarmin,hot_steppe,plateau,savanna,sand,moderate,0,False,False,mayi_kutuna_province,oceania,143.7394847367367,-18.459167016531115
aha_macav,arid,hills,scrubland,sand,very_low,3,False,False,hwalbay_province,america,-114.26933099474573,34.86489899551554
ahar,dry_summer_continental,hills,grasslands,sand,moderate,0,False,False,ardabil_province,asia,46.99369313600829,38.518962916492676
ahaus,oceanic,flatland,grasslands,sand,high,0,False,False,munsterland_province,europe,6.925675988011278,51.9448145862948
ahe,tropical_monsoon,flatland,jungle,loam,moderate,5,False,False,madeira_brazil_province,america,-64.54411815137954,-9.446624554192015
ahel,arid,hills,scrubland,sand,very_low,0,False,False,siraf_province,asia,53.72483692682033,27.189619677643858
aheri,savanna,valleys,dry_forest,loam,high,5,False,False,chanda_province,asia,80.24535181415541,19.508557546229113
aheyya_fagg,highland_monsoon,mountains,savanna,loam,high,1,False,False,amhara_province,africa,39.22915729332715,10.40714270047923
ahkwesasne,continental,floodplains,marsh,loam,high,5,False,True,hochelaga_province,america,-74.00018646999484,45.18149244105567
ahkwesasne_ny,continental,flatland,swamp,sand,moderate,5,False,False,oswegatchie_province,america,-74.41318143353172,44.941798570012075
ahlat,dry_summer_continental,hills,farmland,loam,low,0,False,True,van_province,europe,42.48308279939636,38.82058354239555
ahmad_khan,arid,valleys,scrubland,sand,very_low,0,False,False,lower_sindh_province,asia,67.63824073155575,25.345660621525802
ahmednagar,hot_steppe,plateau,thicket,clay,moderate,2,False,False,upper_marathwada,asia,74.959340717224,19.26185365939289
ahna_wate,continental,mountains,forest,sand,low,1,False,False,oswegatchie_province,america,-74.41514279672856,44.647937813123626
ahobalam,hot_steppe,flatland,dry_forest,clay,high,0,False,False,northern_rayalaseema,asia,78.43505051523226,15.130976805038848
ahome,hot_steppe,flatland,dry_forest,loam,moderate,1,True,False,sinaloa_province,america,-108.59151175843459,26.22880151954323
ahouenro,continental,valleys,forest,silt,very_high,0,True,False,wenro_province,america,-78.05739431147117,43.08598942442555
ahrweiler,oceanic,hills,swamp,stony,moderate,4,False,False,eifel_province,europe,7.061151186134225,50.47743479241399
ahsenisiipi,continental,floodplains,marsh,loam,very_high,5,False,False,kishwaukee_province,america,-90.28845048165778,41.390473122195566
ahtopol,oceanic,hills,savanna,loam,high,0,True,False,edirne_province,europe,27.74541044582699,41.97261633477258
ahuacatlan,highland_monsoon,plateau,jungle,loam,very_high,0,False,False,ahuacatlan_province,america,-104.36335777396025,21.01139605063783
ahuilizapan,oceanic,mountains,mixed_forest,loam,high,0,False,False,cuauhtochco_province,america,-97.05758064459022,18.816122671430882
ahurei,oceanic,hills,grasslands,loam,moderate,1,True,False,waikato_province,oceania,174.9443908914924,-38.412209192472794
ahuya_yari,tropical,wetlands,swamp,loam,high,3,True,False,wayas_province,america,-83.60625606120465,15.145155039060606
ahvaz,arid,floodplains,marsh,loam,very_low,3,False,False,ahvaz_province,asia,48.583623425398486,31.21764629513126
ahwar,arid,flatland,desert,sand,very_low,0,True,False,dathina_province,asia,47.07492492088335,13.7413052626501
ahwendoe,continental,flatland,mixed_forest,sand,low,0,True,False,stadacona_province,america,-70.85078608388793,47.0078305034087
ai_ais,arid,hills,desert,sand,very_low,2,True,False,ai_ais_province,africa,17.186690848984853,-28.434589188172254
aichi,subtropical,flatland,marsh,sand,high,0,True,False,owari_province,asia,136.893209182379,35.01828779812434
aignay,oceanic,rolling,farmland,stony,very_high,0,False,False,auxerrois_province,europe,4.802601181102659,47.66099786092406
aigun,continental_monsoon,plateau,mixed_forest,silt,moderate,5,False,False,lower_bureya_province,asia,126.97236603252554,50.26072861604412
aikana,savanna,flatland,jungle,loam,very_high,1,False,False,guapore_province,america,-61.14366499815429,-12.749893726536643
aikhal,subarctic,plateau,mixed_forest,loam,very_low,1,False,False,aikhal_province,asia,112.00289444991893,65.54573964689311
aikou,subtropical,hills,coniferous_forest,loam,very_high,0,True,False,sagami_province,asia,139.2015185573964,35.499789537260334
ailinglaplap_atoll,tropical,atoll,jungle,loam,very_low,0,True,False,ralik_province,oceania,168.73559718609948,7.405140002508877
