attribute,value,capacity_people,capacity_share_of_reference,locations,maximum_capacity_people_info,is_reference,output_chili,output_cocoa,output_cotton,output_dyes,output_fiber_crops,output_fruit,output_incense,output_legumes,output_lumber,output_maize,output_medicaments,output_millet,output_olives,output_pepper,output_potato,output_rice,output_saffron,output_silk,output_sugar,output_tea,output_tobacco,output_wheat,output_wine
climate,tropical_monsoon,-100.0,-0.0037733593881828,553,700.0,False,,,,,0.45,-0.17,,-0.33,0.12,,,-0.31,,,,0.27,-0.36,,-0.28,,,,
topography,atoll,-1500.0,-0.0566003908227431,83,-5100.0,False,,,,,,0.13,,,0.27,,,,,,,,,,,,,,
topography,deltas,0.0,0.0,173,23900.0,False,,,-0.16,,0.11,,,,-0.12,,,,,,,0.13,,,,,,,
topography,floodplains,0.0,0.0,1701,6200.0,False,,,,,,,,,,,,,,,,,,,,,,,
topography,hills,-900.0,-0.0339602344936458,4327,-3400.0,False,,,,,,,,,,,,,,,,,,,,,,,-0.08
topography,mountain_wasteland,-1400.0,-0.0528270314345602,4,-5100.0,False,,,,,,,,,,,,,,,,,,,,,,,
topography,mountains,-1500.0,-0.0566003908227431,2390,-5100.0,False,-0.18,,-0.05,,,,,,-0.16,,-0.19,,,-0.17,,,,,,,,,-0.22
topography,plateau,600.0,0.0226401563290972,2465,100.0,False,,,,,,,,,,,,,,,,,,,,,,,
topography,rolling,0.0,0.0,382,-4700.0,False,,,,,,,,,,,-0.11,,,,,,,,,,,,
topography,valleys,2000.0,0.0754671877636574,571,6500.0,False,,,,,,,,,,,,,,,,,,,,,,,
topography,wetlands,-700.0,-0.0264135157172801,1268,-5100.0,False,,,,,,,,,,,,,,,,,,,,,,,
vegetation,coniferous_forest,-0.0,-0.0,1893,400.0,False,,,-0.14,,,,,,0.14,,-0.17,,,,,,,,,0.2,,,
vegetation,desert,-0.0,-0.0,891,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
vegetation,dry_forest,4400.0,0.1660278130800464,870,18700.0,False,,,-0.08,0.12,,-0.1,,,0.25,,,,,,,,,,,,,,
vegetation,farmland,1400.0,0.0528270314345602,931,27400.0,False,,,,,,,,,0.11,,,,,,,,,,,,,,0.15
vegetation,forest,-0.0,-0.0,1682,4100.0,False,,,-0.17,,,,,,0.08,,,,,,,,,-0.16,,-0.06,,,
vegetation,jungle,-0.0,-0.0,1806,-0.0,False,-0.13,,-0.18,0.16,,,,,0.31,,-0.13,-0.2,,,0.13,,-0.15,,-0.21,,-0.27,,
vegetation,marsh,1000.0,0.0377335938818287,2241,26800.0,False,,,-0.1,,,,,,,,,,,,,,,,,,,,
vegetation,mixed_forest,-0.0,-0.0,2064,500.0,False,,,-0.19,,,,,,0.12,,-0.19,,,-0.13,,,,-0.14,,,,,
vegetation,savanna,9200.0,0.3471490637128244,2127,1000.0,False,,,,,,,,,0.16,,,,0.14,,,,,,,,,,
vegetation,scrubland,-0.0,-0.0,1214,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
vegetation,sparse,-0.0,-0.0,54,-0.0,False,,,,,,,,,0.22,,,,,,,,,,,,,,
vegetation,swamp,1300.0,0.0490536720463773,1243,13100.0,False,,,-0.24,,,,,,0.19,,-0.17,,,-0.14,,,,,,,,,
vegetation,thicket,2900.0,0.1094274222573033,929,-0.0,False,,,,,,,0.12,,,,,,0.13,,,,,,,,,,
vegetation,tundra,0.0,0.0,353,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
vegetation,woods,-0.0,-0.0,136,100.0,False,,,,,,,,,0.2,,,,,,,,,,,,,,
soil_type,clay,1200.0,0.0452803126581944,881,-0.0,False,,-0.14,,,,,,,,,,,,,,,-0.16,,,,,,
soil_type,peat,1300.0,0.0490536720463773,144,700.0,False,,,,,,-0.13,,,,,,,,,,,,,,,,,
soil_type,sand,1000.0,0.0377335938818287,4036,1500.0,False,,,,,,,,,,,,,,,,,-0.13,,,,,,
soil_type,silt,200.0,0.0075467187763657,1079,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
soil_type,stony,0.0,0.0,2744,-0.0,False,,,,,,,,,,,,,,,,,-0.16,,,,,,
fertility,high,3900.0,0.147161016139132,4177,20300.0,False,,0.07,,,,,,0.15,,0.18,,0.1,,0.1,,,,,0.15,,0.11,0.12,
fertility,low,-5100.0,-0.1924413287973265,4177,-17700.0,False,,-0.25,,,,-0.22,,-0.23,,-0.19,,-0.17,,,-0.39,-0.13,,,-0.19,,,-0.2,
fertility,very_high,6000.0,0.2264015632909724,4178,34300.0,False,0.15,0.1,0.26,0.16,0.19,0.1,0.15,0.31,,0.43,0.18,0.27,,0.29,,0.17,,,0.26,-0.14,0.3,0.2,0.11
fertility,very_low,-13300.0,-0.5018567986283222,4184,-39800.0,False,,,,-0.23,,-0.34,,-0.37,-0.17,-0.27,-0.09,-0.41,0.26,,-0.49,,-0.08,,-0.25,,,-0.35,-0.14
river_level,1,-0.0,-0.0,3917,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
river_level,2,-0.0,-0.0,2452,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
river_level,3,0.0,0.0,1354,-0.0,False,,,,,,,,,,,,,,,,,,,,,,,
river_level,4,0.0,0.0,439,0.0,False,,,,,,,,,,,,,,,,,,,,,,,
river_level,5,0.0,0.0,2404,0.0,False,,,,,,,,,,,,,,,,,,,,0.06,,,-0.11
is_coastal,True,0.0,0.0,4419,0.0,False,,,,,,,,,,,,,,,,,,,,,,,
is_adjacent_to_lake,True,0.0,0.0,1486,0.0,False,,,,,,,,,,,,,,,,,,,,,,,
